                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3957,                 3.5391,                 1.2438,                0.00139,                0.39507,                0.06884,                0.03891,                 1.1523,                 4.0405,                 1.1752,             0.00054304,             0.00054304,             0.00054304
                      2,                 1.2074,                 2.3536,                 1.1338,                0.32847,                  0.473,                0.27841,                0.17246,                 1.2294,                 2.7005,                 1.1923,              0.0010933,              0.0010933,              0.0010933
                      3,                 1.2342,                  2.204,                 1.1658,                0.42909,                0.63539,                0.43227,                0.27771,                 1.2263,                   2.14,                 1.1761,               0.001638,               0.001638,               0.001638
                      4,                 1.2147,                 1.9158,                 1.1549,                0.46533,                0.53141,                0.42926,                0.26803,                 1.2974,                  2.523,                 1.2353,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.2036,                  1.703,                 1.1215,                0.42925,                0.74776,                0.47493,                0.32293,                 1.1147,                 1.8784,                 1.1342,               0.001634,               0.001634,               0.001634
                      6,                 1.1922,                 1.6256,                 1.1293,                0.47622,                0.82578,                0.49096,                0.34085,                 1.1173,                 1.5636,                 1.1118,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.1777,                 1.5467,                 1.1289,                0.48721,                0.70877,                0.47113,                0.32487,                 1.0924,                  1.547,                 1.0963,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1205,                 1.4422,                 1.1071,                 0.4448,                0.83068,                 0.5029,                0.33615,                 1.0773,                 1.3485,                 1.0768,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1443,                  1.388,                  1.101,                0.49272,                0.84656,                0.54082,                0.38381,                 1.0876,                 1.1954,                 1.0693,               0.001601,               0.001601,               0.001601
                     10,                 1.1464,                 1.3523,                 1.1131,                0.48015,                0.86879,                0.53884,                0.38239,                  1.061,                 1.1639,                 1.0836,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.0893,                 1.2989,                 1.0896,                0.48773,                0.78084,                0.52122,                0.35004,                 1.1575,                 1.2739,                 1.1259,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.0818,                 1.2322,                 1.0861,                0.47173,                0.83388,                0.55179,                0.38212,                 1.0048,                 1.1816,                 1.0587,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1156,                 1.2489,                 1.0875,                0.47206,                0.85097,                0.52934,                0.35832,                 1.0872,                 1.2204,                 1.0872,               0.001568,               0.001568,               0.001568
                     14,                  1.066,                 1.2317,                 1.0653,                0.48868,                0.87855,                0.55175,                0.41036,                0.99509,                 1.0912,                 1.0486,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.0364,                 1.2035,                 1.0606,                0.49281,                0.86242,                0.57498,                0.41461,                0.99908,                 1.1022,                 1.0422,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0199,                 1.1639,                 1.0506,                0.48976,                0.79464,                0.58663,                0.43785,                0.95368,                 1.1144,                 1.0299,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0411,                  1.173,                 1.0687,                 0.4946,                0.86293,                0.55956,                0.42076,                0.97038,                 1.0757,                 1.0315,               0.001535,               0.001535,               0.001535
                     18,                 1.0397,                 1.1692,                 1.0589,                0.49775,                0.81847,                0.59384,                0.43534,                 1.0068,                 1.1061,                 1.0389,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0448,                 1.1544,                 1.0657,                0.49275,                0.82971,                 0.5661,                0.42293,                0.98224,                 1.0935,                 1.0344,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0206,                 1.1529,                 1.0528,                0.49055,                0.87463,                0.59577,                0.43313,                0.99162,                 1.0596,                 1.0367,              0.0015102,              0.0015102,              0.0015102
                     21,                  1.034,                 1.1674,                 1.0555,                0.47196,                0.84037,                0.56159,                0.41427,                 1.0078,                 1.1269,                 1.0637,               0.001502,               0.001502,               0.001502
                     22,                 1.0082,                 1.1428,                 1.0413,                0.50445,                0.91815,                0.58632,                0.42921,                 1.0137,                 1.0461,                 1.0398,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.0144,                 1.1396,                 1.0576,                0.50053,                0.84704,                0.61384,                0.46226,                0.93725,                 1.0237,                 1.0137,              0.0014855,              0.0014855,              0.0014855
                     24,                0.99928,                 1.1533,                 1.0478,                0.47179,                0.85361,                0.62138,                0.42758,                 1.0244,                  1.066,                  1.062,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.0096,                  1.112,                 1.0422,                0.49021,                0.84535,                0.59917,                0.45069,                0.94484,                 1.0427,                 1.0212,               0.001469,               0.001469,               0.001469
                     26,                0.99634,                 1.1262,                 1.0535,                0.54468,                 0.8131,                0.66739,                0.49245,                0.93465,                 1.0239,                 1.0238,              0.0014607,              0.0014607,              0.0014607
                     27,                0.95782,                   1.09,                 1.0276,                0.51647,                0.87003,                0.59537,                0.44061,                0.95455,                  1.069,                 1.0175,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.0062,                 1.0682,                 1.0405,                0.52488,                0.84705,                0.66152,                0.49279,                0.97894,                  1.033,                  1.039,              0.0014442,              0.0014442,              0.0014442
                     29,                0.96777,                 1.0715,                 1.0437,                0.52056,                0.84555,                 0.6615,                0.49545,                0.90135,                 1.0046,                  1.001,               0.001436,               0.001436,               0.001436
                     30,                0.96002,                 1.0869,                 1.0376,                0.55653,                0.79148,                 0.6805,                0.50843,                0.96425,                 1.0171,                 1.0229,              0.0014277,              0.0014277,              0.0014277
                     31,                0.98552,                 1.0564,                 1.0305,                0.60533,                 0.7465,                0.72482,                0.53482,                 0.9789,                0.96381,                 1.0308,              0.0014195,              0.0014195,              0.0014195
                     32,                0.95241,                 1.0416,                 1.0212,                0.62472,                0.77738,                0.74964,                0.56005,                0.96472,                 0.9737,                 1.0267,              0.0014112,              0.0014112,              0.0014112
                     33,                0.95226,                 1.0518,                 1.0247,                0.54376,                0.83019,                0.74091,                0.55252,                0.94674,                  1.013,                 1.0111,              0.0014029,              0.0014029,              0.0014029
                     34,                0.91099,                 1.0298,                  1.003,                0.55188,                0.78072,                0.68505,                0.50527,                0.94146,                  1.034,                 1.0198,              0.0013947,              0.0013947,              0.0013947
                     35,                0.95652,                 1.0447,                 1.0271,                0.62339,                0.74895,                0.73579,                0.53955,                0.95329,                0.94945,                 1.0191,              0.0013864,              0.0013864,              0.0013864
