                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4104,                 3.5611,                 1.2401,                0.00179,                0.51112,                0.06082,                0.03532,                  1.127,                 4.1015,                 1.1368,             0.00054304,             0.00054304,             0.00054304
                      2,                 1.2239,                 2.4309,                 1.1557,                0.34348,                0.42542,                0.26978,                0.18588,                 1.1309,                 2.9311,                 1.1536,              0.0010933,              0.0010933,              0.0010933
                      3,                 1.2542,                 2.3215,                 1.1979,                0.44131,                0.64891,                0.45443,                0.28435,                 1.2685,                 2.7045,                 1.2168,               0.001638,               0.001638,               0.001638
                      4,                 1.2231,                 1.9808,                 1.1621,                0.45282,                  0.742,                0.48407,                0.31315,                 1.1796,                 1.8483,                 1.1591,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.1801,                 1.7003,                 1.1289,                0.45018,                0.86824,                0.50816,                0.33724,                 1.1363,                 1.5425,                 1.1379,               0.001634,               0.001634,               0.001634
                      6,                 1.1762,                 1.5714,                  1.128,                0.46901,                0.80297,                 0.5197,                0.33193,                 1.1984,                 1.4477,                 1.1297,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.1927,                 1.5028,                 1.1276,                0.48007,                0.75712,                0.47376,                0.32398,                 1.1617,                 1.5808,                 1.1562,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1253,                  1.451,                 1.1184,                0.47691,                0.86928,                0.53383,                0.37916,                 1.0057,                 1.2345,                 1.0613,              0.0016092,              0.0016092,              0.0016092
                      9,                  1.139,                  1.383,                 1.1058,                0.47703,                0.83998,                 0.5336,                 0.3734,                 1.0409,                 1.1861,                 1.0451,               0.001601,               0.001601,               0.001601
                     10,                 1.0713,                  1.327,                 1.0799,                0.48196,                 0.8407,                0.52753,                0.38296,                 1.0233,                 1.1556,                 1.0693,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.0938,                 1.2854,                 1.0919,                0.48655,                0.84094,                0.55278,                0.39768,                 1.0444,                 1.1524,                 1.0659,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.0736,                 1.2518,                 1.0906,                0.48084,                0.83925,                0.53764,                0.37495,                 1.0267,                 1.1726,                 1.0742,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1009,                 1.2642,                 1.0833,                0.49162,                 0.8793,                0.55785,                 0.4067,                0.99525,                 1.1255,                 1.0415,               0.001568,               0.001568,               0.001568
                     14,                 1.0429,                 1.2048,                 1.0578,                0.48115,                0.88521,                0.56295,                 0.3768,                 1.1263,                  1.147,                 1.1159,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.0709,                  1.219,                 1.0761,                0.49609,                0.80627,                0.55281,                0.38704,                 1.0339,                 1.0846,                 1.0633,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0069,                 1.1702,                 1.0399,                0.48847,                0.82995,                0.56122,                0.41499,                 1.0562,                 1.1781,                 1.0812,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0288,                 1.1753,                 1.0595,                0.50656,                 0.8935,                0.59886,                0.43453,                 1.0035,                 1.0924,                 1.0511,               0.001535,               0.001535,               0.001535
                     18,                 1.0432,                 1.1846,                 1.0742,                0.51947,                0.76659,                0.63663,                0.46156,                  1.009,                 1.0801,                  1.055,              0.0015267,              0.0015267,              0.0015267
                     19,                  1.026,                 1.1523,                 1.0604,                0.49014,                0.85752,                0.56374,                0.40211,                 1.0264,                 1.0764,                 1.0663,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0613,                 1.1538,                 1.0691,                0.53213,                0.77066,                0.56681,                0.39997,                 1.0512,                 1.1499,                 1.1028,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.0274,                 1.1506,                 1.0678,                0.50914,                0.84137,                0.62542,                0.46972,                0.96586,                 1.0445,                 1.0349,               0.001502,               0.001502,               0.001502
                     22,                 1.0059,                 1.1418,                 1.0515,                0.52281,                0.81799,                0.66085,                0.48082,                0.97921,                  1.072,                 1.0563,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.0455,                 1.1575,                 1.0721,                 0.5512,                0.77933,                0.68936,                0.50919,                0.94744,                 1.0151,                  1.041,              0.0014855,              0.0014855,              0.0014855
                     24,                  1.002,                 1.1385,                 1.0476,                0.54929,                0.82361,                0.68589,                 0.5002,                 1.0073,                 1.0673,                 1.0774,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.0018,                 1.0803,                 1.0309,                0.53689,                  0.796,                0.63699,                0.45298,                 1.0346,                 1.0678,                 1.0648,               0.001469,               0.001469,               0.001469
                     26,                  1.021,                 1.1195,                 1.0693,                0.56929,                  0.796,                0.71372,                0.51052,                 0.9905,                 1.0299,                 1.0413,              0.0014607,              0.0014607,              0.0014607
                     27,                0.98568,                 1.0852,                 1.0338,                0.55152,                0.80259,                0.70065,                0.52512,                0.96329,                 0.9966,                 1.0307,              0.0014525,              0.0014525,              0.0014525
                     28,                0.97958,                 1.0547,                 1.0327,                0.51033,                0.77154,                0.64488,                0.46376,                  1.013,                  1.105,                 1.0593,              0.0014442,              0.0014442,              0.0014442
                     29,                 0.9579,                 1.0624,                 1.0393,                0.64507,                0.78899,                0.77575,                0.55348,                 0.9858,                0.92776,                 1.0504,               0.001436,               0.001436,               0.001436
                     30,                0.97962,                 1.0893,                  1.054,                 0.6061,                0.79328,                 0.7531,                0.53544,                 1.0069,                 0.9631,                 1.0552,              0.0014277,              0.0014277,              0.0014277
                     31,                0.97487,                 1.0404,                  1.035,                0.67347,                0.75909,                0.77458,                0.57479,                0.94987,                0.92254,                 1.0388,              0.0014195,              0.0014195,              0.0014195
                     32,                0.95319,                 1.0058,                 1.0256,                0.67184,                0.73284,                0.77949,                0.57577,                0.97304,                0.93086,                 1.0543,              0.0014112,              0.0014112,              0.0014112
                     33,                 0.9565,                 1.0225,                 1.0334,                0.71628,                0.73162,                0.77238,                0.56019,                 0.9851,                0.92445,                 1.0455,              0.0014029,              0.0014029,              0.0014029
                     34,                0.92868,                0.97842,                 1.0069,                0.64165,                 0.8021,                0.77993,                 0.5662,                0.98819,                0.89654,                 1.0404,              0.0013947,              0.0013947,              0.0013947
                     35,                0.96517,                 1.0169,                 1.0343,                0.69988,                0.78084,                 0.7933,                0.58736,                  0.926,                0.85624,                  1.034,              0.0013864,              0.0013864,              0.0013864
                     36,                0.96072,                0.98813,                 1.0382,                0.68452,                0.74876,                0.79212,                0.60375,                 0.9394,                0.86914,                 1.0248,              0.0013782,              0.0013782,              0.0013782
                     37,                0.92326,                0.98147,                  1.006,                0.63392,                 0.7816,                0.75159,                0.55685,                0.96319,                0.93496,                 1.0449,              0.0013699,              0.0013699,              0.0013699
