                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7515,                 4.4763,                 1.5373,                0.00315,                0.91429,                 0.1192,                0.07814,                 1.1628,                 4.0723,                 1.2055,             0.00023338,             0.00023338,             0.00023338
                      2,                  1.297,                 3.0158,                  1.129,                0.00312,                0.69643,                0.30077,                0.19642,                 1.0497,                 3.7256,                 1.0337,             0.00048104,             0.00048104,             0.00048104
                      3,                 1.2233,                 2.4982,                 1.1316,                0.00257,                0.74405,                0.28147,                0.19485,                 1.2067,                 3.5478,                 1.0905,             0.00072622,             0.00072622,             0.00072622
                      4,                 1.1767,                 2.2441,                 1.0772,                0.42737,                 0.4869,                0.37909,                0.23488,                 1.1416,                 3.1896,                 1.0155,             0.00096892,             0.00096892,             0.00096892
                      5,                 1.1851,                 2.0881,                 1.1095,                0.57212,                0.30119,                0.46363,                0.25587,                 1.2567,                  2.967,                 1.1808,              0.0012092,              0.0012092,              0.0012092
                      6,                 1.2197,                  2.121,                 1.1297,                0.58506,                0.49643,                0.56702,                0.38774,                 1.1547,                 2.3803,                 1.1651,              0.0014469,              0.0014469,              0.0014469
                      7,                  1.197,                 2.0303,                 1.1291,                0.31942,                0.60595,                0.38427,                0.24079,                 1.1822,                 5.5146,                 1.1577,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.2384,                 1.9238,                 1.1202,                0.64023,                0.62262,                0.60453,                0.39654,                 1.2372,                 2.0694,                 1.2147,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1879,                 1.9084,                 1.1363,                0.33496,                0.32857,                0.33687,                0.21424,                 1.2952,                 3.3556,                 1.3099,               0.001601,               0.001601,               0.001601
                     10,                 1.1584,                 1.7154,                 1.1011,                0.43339,                0.66429,                0.52329,                 0.3393,                  1.146,                 5.3306,                  1.175,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1848,                 1.6825,                 1.1089,                0.54112,                0.69611,                0.60138,                 0.4093,                  1.314,                 1.8252,                 1.2411,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.1192,                 1.6038,                 1.0967,                0.44737,                0.74455,                0.57883,                0.37772,                 1.1461,                 1.7541,                 1.1363,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1226,                 1.4889,                 1.0767,                0.58391,                  0.225,                0.13776,                0.07416,                 1.4994,                 4.7105,                 1.3982,               0.001568,               0.001568,               0.001568
                     14,                 1.1653,                 1.4773,                 1.0914,                0.43369,                0.76908,                0.67403,                 0.4259,                 1.0441,                 4.0066,                 1.0996,              0.0015597,              0.0015597,              0.0015597
                     15,                  1.106,                 1.3632,                 1.0564,                 0.5871,                0.78651,                0.73654,                0.50902,                 1.0738,                 1.4811,                 1.1271,              0.0015515,              0.0015515,              0.0015515
                     16,                  1.005,                 1.1905,                 1.0296,                0.53289,                0.78876,                0.63785,                0.40666,                 1.1094,                 1.9922,                 1.1176,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0984,                 1.3335,                 1.0638,                0.64882,                0.72215,                0.73748,                0.51227,                 1.0778,                 1.3525,                 1.1149,               0.001535,               0.001535,               0.001535
                     18,                 1.0537,                 1.2092,                 1.0496,                0.73292,                0.73637,                0.74958,                0.53488,                 1.1005,                 1.2378,                 1.1369,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0531,                 1.1897,                 1.0678,                0.75487,                0.73976,                0.76599,                0.52115,                 1.1349,                 1.2871,                 1.1649,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0135,                 1.0907,                 1.0516,                0.90927,                0.81429,                0.88848,                0.63257,                 1.0224,                0.99553,                 1.0838,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.0306,                 1.1334,                  1.069,                0.64544,                  0.575,                0.64343,                0.46133,                 1.0705,                 1.5538,                 1.1004,               0.001502,               0.001502,               0.001502
