                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5383,                 4.3655,                 1.3766,                0.00282,                0.80476,                 0.0643,                0.03882,                 1.0995,                 4.1669,                 1.2113,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.1889,                 2.9023,                 1.1285,                0.00269,                0.75476,                0.20855,                  0.136,                 1.1401,                 3.8798,                 1.1177,             0.00048104,             0.00048104,             0.00048104
                      3,                 1.2079,                 2.4251,                 1.0966,                0.00198,                0.53333,                0.05074,                0.03017,                 1.2929,                 4.0281,                 1.3282,             0.00072622,             0.00072622,             0.00072622
                      4,                 1.1771,                 2.1713,                 1.0769,                0.00155,                0.36071,                0.06431,                0.05578,                 1.1867,                 3.8792,                 1.2337,             0.00096892,             0.00096892,             0.00096892
                      5,                 1.1739,                 2.0705,                  1.124,                0.55545,                0.14873,                0.45793,                0.28981,                 1.2106,                  2.996,                 1.1341,              0.0012092,              0.0012092,              0.0012092
                      6,                 1.1902,                 2.1532,                 1.1698,                0.48453,                0.63214,                 0.5071,                0.32851,                 1.1452,                 2.5516,                 1.2196,              0.0014469,              0.0014469,              0.0014469
                      7,                 1.2201,                 2.1225,                 1.1863,                0.57886,                0.51786,                 0.4802,                0.28518,                   1.36,                 2.7106,                 1.3393,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.2266,                 2.0069,                 1.1418,                0.61711,                0.54835,                0.53707,                0.35836,                  1.255,                 2.1665,                 1.2883,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1557,                 1.9707,                 1.1489,                0.39994,                0.36071,                0.09732,                0.06195,                 1.9231,                 18.741,                 1.6989,               0.001601,               0.001601,               0.001601
                     10,                 1.1347,                 1.7288,                 1.1048,                0.22705,                0.55296,                0.38392,                0.21155,                 1.6898,                 12.586,                 1.5472,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1685,                 1.8228,                  1.157,                0.53245,                0.79847,                0.61064,                0.40073,                 1.0846,                 1.7712,                 1.1515,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.1144,                 1.6063,                 1.1108,                0.51659,                0.86429,                0.66779,                0.47192,                 1.0945,                 1.7276,                 1.1578,              0.0015762,              0.0015762,              0.0015762
                     13,                  1.122,                  1.493,                 1.0978,                0.72364,                0.80784,                0.75551,                0.49373,                 1.1113,                 1.4826,                 1.1334,               0.001568,               0.001568,               0.001568
                     14,                  1.088,                 1.3714,                   1.08,                0.61024,                0.63943,                0.65814,                0.43529,                 1.1393,                  1.448,                 1.1581,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1233,                 1.4475,                 1.0804,                0.52969,                0.85238,                0.64574,                0.43311,                 1.1389,                 1.5887,                 1.1517,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0432,                 1.3091,                 1.0691,                0.71369,                0.64127,                0.72833,                 0.5225,                 1.0515,                 1.4206,                 1.0985,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0379,                 1.2311,                 1.0518,                0.70251,                0.39881,                0.46338,                 0.3099,                 1.2446,                 2.2644,                 1.2063,               0.001535,               0.001535,               0.001535
                     18,                 1.0953,                 1.2371,                 1.0659,                0.60107,                0.71548,                0.71407,                0.50464,                 1.1478,                 1.4784,                 1.1483,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0314,                 1.2187,                 1.0666,                0.76956,                0.77322,                0.84428,                0.60872,                 1.0079,                 1.0852,                 1.0833,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0192,                 1.0856,                 1.0508,                0.73933,                 0.6748,                 0.8187,                0.59565,                 1.0624,                 1.1098,                 1.1147,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.0778,                 1.1547,                 1.0952,                 0.6552,                0.71548,                0.72278,                0.48919,                 1.1394,                   1.51,                 1.1708,               0.001502,               0.001502,               0.001502
                     22,                0.99517,                  1.131,                 1.0627,                0.65211,                0.82893,                0.78204,                0.54787,                 1.0346,                 1.3536,                  1.088,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.0109,                  1.093,                 1.0773,                0.72227,                0.75192,                0.77046,                0.55983,                0.95482,                 1.2397,                 1.0849,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.0118,                 1.0068,                 1.0504,                0.73122,                0.73144,                0.76424,                0.51948,                0.98931,                 1.1573,                 1.0922,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.0199,                 1.0104,                 1.0689,                 0.6542,                0.81548,                0.76168,                0.52535,                 1.0318,                 1.0176,                 1.0958,               0.001469,               0.001469,               0.001469
                     26,                0.94681,                0.92632,                 1.0122,                0.73056,                0.86429,                0.85265,                0.63579,                0.98304,                0.96939,                 1.0542,              0.0014607,              0.0014607,              0.0014607
                     27,                0.98709,                0.89058,                 1.0397,                0.78212,                0.75698,                0.80627,                0.60555,                0.99791,                 1.1779,                 1.0767,              0.0014525,              0.0014525,              0.0014525
                     28,                0.97316,                0.89434,                  1.026,                0.81518,                0.72738,                0.78895,                0.58442,                0.98493,                 1.1559,                 1.0644,              0.0014442,              0.0014442,              0.0014442
                     29,                0.93897,                0.89393,                 1.0209,                0.80267,                0.83929,                0.89735,                0.65938,                0.98983,                0.79789,                 1.0629,               0.001436,               0.001436,               0.001436
                     30,                 0.9804,                0.95552,                 1.0337,                0.74997,                0.81431,                0.77718,                0.56278,                0.98012,                0.99547,                 1.0537,              0.0014277,              0.0014277,              0.0014277
