                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6723,                 4.4692,                  1.489,                0.00253,                0.70476,                0.09869,                0.07016,                 1.1704,                 4.1347,                 1.1739,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.2867,                  3.001,                  1.132,                0.00311,                0.91548,                  0.364,                0.25676,                 1.0288,                 3.6573,                 1.0248,             0.00048104,             0.00048104,             0.00048104
                      3,                 1.2305,                 2.5697,                 1.0939,                0.00283,                0.77857,                0.38642,                0.29178,                0.99769,                 3.3766,                0.98302,             0.00072622,             0.00072622,             0.00072622
                      4,                 1.1716,                 2.2472,                 1.0647,                0.55618,                0.19643,                0.41411,                0.27254,                 1.1704,                 3.0754,                 1.0627,             0.00096892,             0.00096892,             0.00096892
                      5,                 1.2232,                 2.1757,                 1.0976,                0.20247,                0.15833,                0.08253,                0.04914,                 1.2425,                 4.2192,                 1.1634,              0.0012092,              0.0012092,              0.0012092
                      6,                 1.1703,                 2.1785,                 1.1242,                0.39809,                0.31389,                0.50515,                0.34524,                 1.1337,                 2.5368,                 1.1851,              0.0014469,              0.0014469,              0.0014469
                      7,                 1.2042,                 2.1239,                 1.1767,                0.52155,                0.47715,                0.50701,                0.31409,                 1.2327,                 2.6107,                 1.2666,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1778,                 1.9472,                 1.1074,                0.47146,                0.56683,                0.52714,                   0.33,                   1.26,                 2.0253,                 1.2316,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1453,                 1.9481,                 1.1363,                0.44935,                0.54405,                0.51618,                0.30734,                 1.3016,                 2.3187,                 1.2042,               0.001601,               0.001601,               0.001601
                     10,                 1.1488,                 1.7606,                 1.1018,                0.52539,                0.62135,                0.55885,                0.38075,                  1.215,                 2.1924,                 1.2188,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1501,                  1.761,                 1.1271,                0.58008,                0.54604,                0.57639,                0.39563,                 1.1792,                 1.7427,                 1.2209,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.1156,                 1.6531,                 1.1022,                0.79312,                0.52704,                0.61132,                0.40421,                 1.1633,                 1.9668,                 1.2165,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1607,                 1.5518,                 1.1034,                0.54712,                0.53916,                0.46647,                0.31177,                 1.3077,                 2.2409,                 1.2899,               0.001568,               0.001568,               0.001568
                     14,                 1.1142,                 1.4134,                 1.0779,                0.74576,                0.47258,                0.46621,                0.33224,                 1.1409,                 2.7022,                 1.1521,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1334,                 1.4103,                 1.0806,                0.59752,                 0.5274,                0.58667,                 0.4124,                 1.0656,                 1.6599,                  1.077,              0.0015515,              0.0015515,              0.0015515
                     16,                  1.011,                 1.2872,                 1.0514,                0.41191,                0.55599,                0.52892,                0.34576,                  1.224,                 1.8234,                 1.1592,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0851,                 1.3465,                 1.0864,                0.85754,                0.41667,                0.50343,                0.31755,                 1.2233,                 1.9471,                 1.1638,               0.001535,               0.001535,               0.001535
                     18,                 1.0788,                 1.2241,                 1.0724,                0.82732,                0.42875,                0.46186,                0.30813,                 1.1391,                 2.0802,                 1.1354,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0515,                 1.2168,                 1.0618,                0.62227,                0.83929,                0.78862,                0.52893,                 1.0745,                 1.1997,                 1.0911,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0386,                 1.1512,                 1.0631,                0.76567,                0.77738,                0.85203,                0.58983,                 1.0454,                 1.0368,                 1.0736,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.0824,                 1.2136,                 1.1054,                0.66978,                0.66845,                0.72765,                0.50852,                 1.0461,                  1.275,                 1.0744,               0.001502,               0.001502,               0.001502
                     22,                 1.0058,                 1.1577,                 1.0667,                0.85089,                0.72659,                0.83901,                0.58926,                 1.0115,                 1.0318,                 1.0809,              0.0014937,              0.0014937,              0.0014937
                     23,                0.99997,                 1.0629,                 1.0677,                0.70826,                0.74048,                0.79154,                0.55894,                0.98263,                 1.1603,                 1.0631,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.0191,                 1.0391,                 1.0459,                0.83461,                0.90238,                0.90599,                0.63751,                  0.984,                0.93258,                 1.0631,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.0177,                 1.0294,                  1.067,                0.72288,                0.80339,                0.80455,                0.58418,                 1.0067,                  1.073,                 1.0817,               0.001469,               0.001469,               0.001469
                     26,                0.92394,                0.93507,                0.99492,                0.79127,                0.74167,                0.80897,                0.58492,                 0.9901,                0.93575,                 1.0664,              0.0014607,              0.0014607,              0.0014607
                     27,                0.98744,                0.93755,                 1.0291,                0.85495,                0.60238,                0.74177,                0.54171,                0.98628,                 1.0791,                 1.0465,              0.0014525,              0.0014525,              0.0014525
                     28,                0.92367,                 0.9709,                0.98962,                0.62174,                0.62293,                0.63399,                0.43013,                 1.2804,                 1.6785,                 1.2345,              0.0014442,              0.0014442,              0.0014442
                     29,                0.92404,                0.86936,                 1.0056,                0.81216,                0.71611,                0.81313,                0.57544,                 1.0878,                  1.061,                 1.1391,               0.001436,               0.001436,               0.001436
                     30,                0.98905,                0.95277,                 1.0472,                0.72645,                0.79156,                0.84898,                 0.6267,                  1.025,                0.97402,                 1.0625,              0.0014277,              0.0014277,              0.0014277
                     31,                0.94691,                0.89361,                 1.0249,                0.84069,                0.74889,                0.84217,                0.63488,                0.95362,                0.86985,                 1.0354,              0.0014195,              0.0014195,              0.0014195
                     32,                0.95163,                0.84606,                 1.0289,                0.59678,                0.73412,                0.69712,                0.49884,                 1.0653,                 1.8248,                 1.1106,              0.0014112,              0.0014112,              0.0014112
                     33,                0.92679,                0.82872,                 1.0268,                0.54056,                0.77804,                0.69593,                 0.4934,                 1.0387,                 1.6637,                 1.0812,              0.0014029,              0.0014029,              0.0014029
                     34,                0.91225,                0.77517,                 1.0135,                0.67131,                0.60611,                0.70304,                0.50651,                 1.0227,                  1.614,                 1.0961,              0.0013947,              0.0013947,              0.0013947
                     35,                 0.9454,                0.82484,                 1.0232,                0.79987,                0.78929,                0.85786,                0.60088,                  1.023,                0.89618,                 1.1023,              0.0013864,              0.0013864,              0.0013864
                     36,                0.90176,                0.76418,                0.99418,                 0.7189,                 0.7631,                 0.7845,                0.55772,                 1.0252,                 1.0739,                 1.0915,              0.0013782,              0.0013782,              0.0013782
                     37,                0.98549,                0.81891,                 1.0207,                0.67098,                0.78214,                0.74041,                 0.5482,                0.97486,                 1.0447,                 1.0613,              0.0013699,              0.0013699,              0.0013699
                     38,                0.92317,                0.80297,                 1.0052,                0.83069,                0.75476,                0.87144,                0.62722,                 1.0031,                0.77705,                 1.0443,              0.0013617,              0.0013617,              0.0013617
                     39,                0.90177,                0.75658,                0.99498,                 0.8052,                 0.7961,                0.87819,                0.63067,                 0.9798,                0.79895,                 1.0528,              0.0013534,              0.0013534,              0.0013534
                     40,                0.85299,                0.74427,                0.97151,                0.77071,                0.77367,                0.84533,                0.64934,                0.96068,                   0.87,                  1.055,              0.0013452,              0.0013452,              0.0013452
                     41,                0.89108,                0.73609,                 1.0062,                0.84653,                0.78581,                 0.8895,                0.66554,                0.95125,                0.84361,                  1.034,              0.0013369,              0.0013369,              0.0013369
                     42,                0.84025,                0.68704,                0.96211,                0.85989,                0.81429,                 0.8942,                0.66544,                0.97093,                0.77894,                 1.0445,              0.0013287,              0.0013287,              0.0013287
                     43,                0.88939,                0.73627,                 1.0114,                0.77789,                0.79048,                0.86385,                0.64383,                0.98531,                0.75579,                 1.0637,              0.0013204,              0.0013204,              0.0013204
                     44,                0.90236,                0.75311,                0.99473,                0.77383,                0.79048,                0.87033,                 0.6294,                0.97875,                0.80533,                 1.0586,              0.0013122,              0.0013122,              0.0013122
                     45,                0.83594,                0.69427,                0.96708,                0.70075,                 0.7582,                0.79377,                0.59021,                 1.0306,                0.88976,                 1.0844,              0.0013039,              0.0013039,              0.0013039
                     46,                0.86021,                0.69177,                0.96642,                0.59109,                0.77862,                0.74775,                0.54855,                  1.024,                  1.407,                 1.0813,              0.0012957,              0.0012957,              0.0012957
                     47,                0.88521,                0.66009,                 1.0031,                0.79512,                0.77619,                0.81814,                0.62207,                0.96755,                0.92513,                 1.0608,              0.0012874,              0.0012874,              0.0012874
                     48,                0.87904,                0.70293,                0.98566,                0.90252,                0.74048,                0.82792,                 0.6345,                0.98907,                0.84206,                 1.0661,              0.0012792,              0.0012792,              0.0012792
                     49,                0.84411,                0.62154,                0.97457,                0.84281,                0.74659,                0.79818,                0.59788,                 1.0214,                0.94657,                  1.061,              0.0012709,              0.0012709,              0.0012709
                     50,                0.85845,                 0.6608,                0.98125,                0.88167,                 0.7401,                 0.8892,                0.67906,                 0.9592,                0.77167,                 1.0427,              0.0012627,              0.0012627,              0.0012627
                     51,                0.80112,                0.64955,                0.95093,                0.61957,                0.75251,                0.76725,                0.57306,                 1.0099,                 1.6076,                 1.0784,              0.0012544,              0.0012544,              0.0012544
                     52,                 0.8358,                0.67297,                0.96778,                0.82185,                0.67322,                 0.7979,                0.59255,                0.98858,                 0.9584,                 1.0661,              0.0012462,              0.0012462,              0.0012462
                     53,                0.82697,                0.62469,                0.94805,                0.78167,                0.76296,                0.87303,                0.64085,                 1.0171,                0.93752,                 1.0892,              0.0012379,              0.0012379,              0.0012379
                     54,                0.84087,                0.65299,                0.96842,                0.82421,                0.82377,                0.90026,                0.68002,                0.98099,                0.73383,                 1.0748,              0.0012297,              0.0012297,              0.0012297
                     55,                0.83657,                0.66729,                0.99497,                0.94943,                0.83929,                0.91433,                0.68767,                0.95509,                0.72213,                 1.0462,              0.0012214,              0.0012214,              0.0012214
                     56,                0.80874,                0.61391,                0.96272,                0.60202,                0.84221,                0.82717,                0.61606,                 1.0586,                 1.3077,                 1.0788,              0.0012132,              0.0012132,              0.0012132
                     57,                0.89195,                0.67913,                 1.0172,                0.85393,                0.75476,                0.87155,                0.62797,                 1.0355,                0.78846,                 1.0852,              0.0012049,              0.0012049,              0.0012049
                     58,                0.83454,                0.67546,                 0.9731,                0.78922,                0.82247,                0.86982,                 0.6457,                 1.0335,                0.73069,                 1.0735,              0.0011967,              0.0011967,              0.0011967
                     59,                0.83813,                  0.605,                0.98152,                0.86029,                0.80697,                0.88199,                0.66547,                0.99533,                0.73469,                 1.0686,              0.0011884,              0.0011884,              0.0011884
                     60,                 0.8274,                0.64007,                0.96923,                0.79214,                0.88221,                0.86873,                0.65927,                0.98518,                0.75344,                 1.0535,              0.0011802,              0.0011802,              0.0011802
                     61,                0.82704,                0.64334,                0.96916,                0.77852,                0.84048,                0.84251,                0.62343,                0.99399,                0.81237,                 1.0587,              0.0011719,              0.0011719,              0.0011719
                     62,                0.81852,                0.63432,                0.96418,                0.85013,                0.81752,                 0.8753,                0.65295,                0.98134,                0.78005,                 1.0776,              0.0011636,              0.0011636,              0.0011636
                     63,                0.76434,                 0.5951,                0.94617,                 0.9203,                0.85876,                0.91663,                0.68094,                0.94577,                 0.6427,                 1.0502,              0.0011554,              0.0011554,              0.0011554
                     64,                0.80513,                0.59896,                0.94947,                0.90443,                0.83929,                0.92389,                0.67992,                0.96365,                0.71656,                 1.0507,              0.0011471,              0.0011471,              0.0011471
                     65,                0.77326,                0.60272,                0.96767,                 0.9264,                0.82857,                0.92282,                0.70599,                0.97293,                0.66012,                 1.0634,              0.0011389,              0.0011389,              0.0011389
                     66,                0.78029,                0.57822,                0.97239,                0.85425,                0.84976,                0.89882,                0.67967,                0.93952,                0.76102,                 1.0433,              0.0011306,              0.0011306,              0.0011306
                     67,                0.78589,                0.56725,                0.94648,                0.90355,                0.74048,                0.87202,                0.65391,                 0.9382,                0.77303,                 1.0487,              0.0011224,              0.0011224,              0.0011224
                     68,                0.81029,                0.61832,                0.96751,                 0.6895,                0.86714,                0.82191,                0.60476,                 1.0412,                 1.0225,                 1.1155,              0.0011141,              0.0011141,              0.0011141
                     69,                0.77532,                0.60801,                0.95602,                0.82292,                0.85487,                0.91935,                0.68092,                0.96223,                0.68823,                 1.0692,              0.0011059,              0.0011059,              0.0011059
                     70,                0.73051,                 0.5507,                0.93447,                0.87819,                0.82738,                0.90035,                0.67483,                0.93512,                0.69063,                 1.0237,              0.0010976,              0.0010976,              0.0010976
                     71,                0.75036,                0.55607,                0.93772,                0.84103,                0.88403,                0.92906,                0.70016,                0.90938,                0.65271,                 1.0295,              0.0010894,              0.0010894,              0.0010894
                     72,                0.76888,                0.57736,                0.96383,                0.90476,                0.81667,                0.92514,                0.70874,                0.91962,                0.67438,                 1.0532,              0.0010811,              0.0010811,              0.0010811
                     73,                0.72441,                0.53154,                0.93637,                0.84051,                0.86429,                0.92757,                0.71486,                 0.9132,                0.61418,                 1.0259,              0.0010729,              0.0010729,              0.0010729
                     74,                0.77457,                0.54599,                0.94737,                0.76126,                 0.8376,                0.84931,                0.63248,                  1.021,                0.87851,                   1.06,              0.0010646,              0.0010646,              0.0010646
                     75,                0.81705,                0.58426,                0.95045,                0.83675,                0.79048,                0.82693,                0.61905,                0.95441,                0.78962,                 1.0443,              0.0010564,              0.0010564,              0.0010564
                     76,                0.79614,                0.55247,                0.97126,                0.88983,                0.78247,                0.88329,                0.67329,                0.92217,                0.74029,                 1.0238,              0.0010481,              0.0010481,              0.0010481
                     77,                0.74247,                0.53664,                0.94876,                0.87749,                0.83717,                0.90187,                0.70318,                0.92605,                 0.6718,                  1.018,              0.0010399,              0.0010399,              0.0010399
                     78,                 0.7396,                0.52206,                0.93432,                0.63172,                0.84418,                0.82555,                 0.6193,                 0.9883,                 1.3144,                 1.0378,              0.0010316,              0.0010316,              0.0010316
                     79,                0.76621,                0.54568,                0.96673,                0.85428,                0.85238,                0.89464,                0.67344,                 0.9452,                0.67907,                 1.0224,              0.0010234,              0.0010234,              0.0010234
                     80,                0.74125,                0.52526,                0.94572,                0.86528,                0.82857,                0.89727,                0.69256,                0.89893,                0.66817,                 1.0149,              0.0010151,              0.0010151,              0.0010151
                     81,                0.71865,                0.49023,                0.93526,                0.78307,                0.85119,                0.91582,                0.70278,                0.93024,                0.73378,                  1.031,              0.0010069,              0.0010069,              0.0010069
                     82,                0.71595,                0.50663,                  0.921,                 0.8537,                0.85238,                0.89605,                 0.6749,                0.96486,                0.75791,                 1.0492,             0.00099862,             0.00099862,             0.00099862
                     83,                0.71273,                 0.4787,                0.92701,                0.86108,                0.78348,                0.85845,                0.65441,                0.92151,                0.74473,                 1.0322,             0.00099036,             0.00099036,             0.00099036
                     84,                0.75692,                0.55307,                0.95282,                0.90712,                0.83009,                 0.9097,                0.71561,                0.89611,                0.68056,                 1.0261,             0.00098211,             0.00098211,             0.00098211
                     85,                 0.6923,                0.48389,                0.92321,                0.85372,                0.83212,                0.91431,                0.69884,                0.92155,                0.68489,                 1.0286,             0.00097386,             0.00097386,             0.00097386
                     86,                0.73264,                0.49454,                0.94111,                 0.9101,                0.84045,                0.91446,                0.71555,                0.92296,                 0.6503,                 1.0254,             0.00096561,             0.00096561,             0.00096561
                     87,                0.72877,                 0.5441,                0.94254,                 0.8741,                 0.8351,                0.91118,                0.69122,                 0.9766,                 0.6518,                 1.0689,             0.00095736,             0.00095736,             0.00095736
                     88,                0.68606,                0.49801,                0.90454,                0.90316,                0.77006,                0.89099,                 0.6565,                 1.0113,                0.69973,                 1.0801,             0.00094911,             0.00094911,             0.00094911
                     89,                0.71665,                0.51153,                0.94079,                0.80834,                0.86575,                0.90851,                 0.6737,                 1.0029,                0.70418,                 1.0948,             0.00094085,             0.00094085,             0.00094085
                     90,                0.67768,                0.51869,                0.90928,                 0.8363,                0.79855,                0.89646,                0.66833,                 0.9764,                0.69858,                 1.0869,              0.0009326,              0.0009326,              0.0009326
                     91,                0.70959,                0.48693,                0.92761,                0.86676,                0.89908,                0.90529,                0.66733,                0.97876,                0.70193,                 1.0767,             0.00092435,             0.00092435,             0.00092435
                     92,                0.67518,                 0.4704,                0.92635,                0.84726,                0.91728,                0.91777,                0.68675,                0.97602,                 0.6521,                 1.0699,              0.0009161,              0.0009161,              0.0009161
                     93,                0.72139,                0.48667,                 0.9564,                0.86598,                0.89021,                0.88655,                0.66828,                0.97246,                0.69416,                  1.064,             0.00090785,             0.00090785,             0.00090785
                     94,                 0.6785,                0.49172,                0.91012,                0.77455,                0.83467,                0.85097,                0.62183,                 1.0586,                 1.0146,                 1.0939,              0.0008996,              0.0008996,              0.0008996
                     95,                0.71728,                0.50542,                0.92843,                 0.8032,                0.81331,                0.87387,                0.63484,                 1.0352,                0.84574,                 1.1059,             0.00089134,             0.00089134,             0.00089134
                     96,                0.68327,                0.47882,                0.91657,                0.83495,                0.84286,                0.89405,                0.66862,                0.97571,                0.79863,                 1.0691,             0.00088309,             0.00088309,             0.00088309
                     97,                0.68204,                0.48511,                 0.9242,                0.85198,                0.87469,                0.91409,                0.69741,                0.90163,                 0.6521,                 1.0301,             0.00087484,             0.00087484,             0.00087484
                     98,                0.70319,                0.48999,                0.92779,                0.87782,                0.84989,                0.89126,                0.66884,                0.97083,                0.71871,                  1.104,             0.00086659,             0.00086659,             0.00086659
                     99,                 0.6884,                0.48099,                0.90153,                0.82406,                0.82146,                0.89899,                0.66919,                0.95885,                0.71742,                 1.0748,             0.00085834,             0.00085834,             0.00085834
                    100,                0.65726,                0.44331,                0.90737,                0.93204,                0.83257,                0.93013,                0.70371,                  0.973,                0.64001,                 1.0694,             0.00085009,             0.00085009,             0.00085009
                    101,                0.65714,                0.45534,                0.89144,                 0.9329,                0.85119,                0.93503,                0.70541,                0.96422,                 0.6199,                 1.0598,             0.00084184,             0.00084184,             0.00084184
                    102,                0.67899,                 0.4463,                 0.8976,                0.87973,                0.88495,                0.94666,                0.72161,                 0.9115,                0.57197,                 1.0353,             0.00083358,             0.00083358,             0.00083358
                    103,                0.69441,                0.45576,                0.92118,                0.92505,                0.84274,                0.93429,                0.70759,                0.93946,                0.63173,                 1.0635,             0.00082533,             0.00082533,             0.00082533
