                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5703,                 4.5083,                  1.404,                0.00273,                0.80476,                0.06567,                 0.0396,                 1.1308,                 4.1632,                 1.2103,             0.00023338,             0.00023338,             0.00023338
                      2,                  1.309,                 2.9905,                 1.2073,                0.00252,                0.67976,                0.18328,                0.10104,                 1.4225,                 3.9842,                 1.3272,             0.00048104,             0.00048104,             0.00048104
                      3,                 1.2067,                 2.5726,                 1.1422,                0.00261,                0.69167,                0.23835,                0.16189,                 1.0535,                 3.7137,                 1.0827,             0.00072622,             0.00072622,             0.00072622
                      4,                 1.2063,                 2.2156,                 1.1343,                 0.0025,                0.64286,                0.32961,                0.20544,                 1.0665,                 3.5507,                 1.1428,             0.00096892,             0.00096892,             0.00096892
                      5,                 1.1699,                 2.2317,                 1.1402,                0.79132,                0.05952,                0.28105,                0.16281,                 1.4907,                 3.6501,                 1.4381,              0.0012092,              0.0012092,              0.0012092
                      6,                 1.1673,                 2.0676,                 1.1186,                0.51077,                  0.411,                0.45017,                0.21007,                 1.7358,                 3.7909,                  1.728,              0.0014469,              0.0014469,              0.0014469
                      7,                 1.2084,                 1.8602,                 1.1301,                0.55698,                0.47143,                0.44729,                0.25296,                 1.5888,                 2.7415,                 1.4702,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.2451,                 1.8512,                 1.1542,                0.34383,                0.69881,                0.51312,                 0.2892,                 1.2678,                 3.4733,                 1.2595,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1728,                 1.7308,                  1.117,                0.67498,                0.64167,                0.65211,                0.41156,                 1.1894,                 2.3916,                 1.1879,               0.001601,               0.001601,               0.001601
                     10,                 1.1006,                 1.6608,                 1.1104,                0.66381,                0.35833,                  0.367,                0.23804,                 1.2696,                 2.6081,                 1.2973,              0.0015927,              0.0015927,              0.0015927
                     11,                  1.128,                 1.6094,                 1.1183,                0.76047,                0.24301,                0.28132,                0.18494,                 1.4619,                 3.0088,                 1.4368,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.0717,                 1.4642,                 1.0971,                0.33228,                0.25119,                0.19803,                 0.0927,                 1.7798,                   3.44,                 1.6264,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.0847,                 1.3609,                 1.0875,                0.78566,                0.59405,                0.74777,                0.52547,                 1.0119,                 1.4981,                 1.1068,               0.001568,               0.001568,               0.001568
                     14,                 1.0944,                 1.3264,                 1.0737,                0.67503,                0.65357,                0.76489,                0.52276,                 1.0767,                 1.4221,                 1.1087,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.0859,                 1.2875,                 1.0833,                0.57656,                 0.7311,                0.68103,                0.48095,                 1.0429,                 1.4511,                 1.0815,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0495,                 1.2212,                 1.0905,                0.54106,                0.78672,                0.72701,                0.51086,                0.97243,                 1.3314,                 1.0674,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0588,                 1.1609,                 1.0533,                0.66979,                0.79286,                0.77329,                0.53773,                 1.1146,                  1.395,                  1.103,               0.001535,               0.001535,               0.001535
                     18,                 1.0756,                 1.1148,                 1.0578,                0.80043,                0.70907,                0.81462,                0.56926,                 1.0718,                 1.1615,                 1.1069,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0358,                 1.1116,                 1.0416,                0.81744,                0.58181,                0.74847,                0.50288,                 1.1436,                 1.2966,                 1.1259,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0289,                 1.1198,                 1.0752,                0.54321,                0.80714,                0.69808,                 0.4852,                 1.0888,                  1.857,                 1.1144,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.0112,                 1.0118,                 1.0302,                0.72971,                0.74167,                0.78054,                0.55827,                 1.0186,                 1.1769,                 1.1004,               0.001502,               0.001502,               0.001502
                     22,                0.94372,                0.96237,                0.99757,                0.71113,                0.84048,                0.81373,                0.56988,                 1.1106,                 1.0918,                 1.1393,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.0104,                0.93042,                 1.0584,                0.89898,                 0.6968,                0.81577,                0.61697,                 1.0008,                 1.0598,                 1.0526,              0.0014855,              0.0014855,              0.0014855
                     24,                0.97071,                0.90641,                 1.0392,                0.92191,                0.73176,                0.85709,                0.62722,                0.92247,                 1.0274,                 1.0262,              0.0014772,              0.0014772,              0.0014772
                     25,                 0.9819,                0.91223,                 1.0219,                0.85252,                0.81415,                0.86081,                 0.5904,                 1.0227,                 1.0006,                 1.0725,               0.001469,               0.001469,               0.001469
                     26,                0.98487,                0.90088,                 1.0343,                0.78981,                0.85357,                0.88791,                 0.6385,                0.99887,                0.84674,                 1.0887,              0.0014607,              0.0014607,              0.0014607
