                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4035,                 3.8283,                 1.4627,                0.00289,                0.84286,                0.30712,                0.17292,                 1.3574,                 3.6179,                 1.2362,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.1724,                 2.5995,                 1.1739,                0.41473,                0.58333,                0.46478,                0.31762,                 1.1758,                 3.0173,                 1.1911,             0.00048104,             0.00048104,             0.00048104
                      3,                 1.1642,                 2.2902,                 1.1503,                0.33673,                0.73214,                0.50019,                0.30422,                 1.3206,                 3.1603,                 1.2887,             0.00072622,             0.00072622,             0.00072622
                      4,                 1.2292,                 2.2101,                 1.1715,                0.51079,                0.58881,                0.51391,                0.34123,                 1.1844,                 2.6201,                 1.1596,             0.00096892,             0.00096892,             0.00096892
                      5,                 1.1424,                 2.0367,                 1.1247,                0.44202,                0.48544,                0.45876,                0.28357,                  1.234,                 2.6339,                 1.1974,              0.0012092,              0.0012092,              0.0012092
                      6,                 1.1436,                 2.0785,                  1.134,                0.47741,                0.21071,                0.21589,                0.12452,                 1.5361,                 3.7475,                 1.7216,              0.0014469,              0.0014469,              0.0014469
                      7,                 1.1798,                 2.0262,                 1.1593,                0.31533,                 0.2539,                0.21607,                0.11159,                 1.5635,                 3.4637,                 1.6971,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1881,                 1.9604,                  1.155,                 0.2835,                0.37857,                0.20708,                0.10812,                 1.5281,                 3.4409,                 1.5635,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1984,                 1.8729,                 1.1897,                0.50157,                0.34286,                0.34732,                0.20303,                  1.606,                 3.4249,                   1.45,               0.001601,               0.001601,               0.001601
                     10,                 1.1339,                  1.678,                 1.1235,                0.51549,                0.68452,                 0.6465,                0.40637,                 1.2429,                 2.4376,                 1.1743,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1861,                 1.6721,                 1.1692,                0.40844,                0.37996,                0.29099,                 0.1578,                 1.4456,                 3.0288,                 1.3129,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.1082,                 1.6183,                 1.1238,                0.67516,                0.54524,                0.57725,                0.37773,                 1.2553,                  2.092,                 1.2273,              0.0015762,              0.0015762,              0.0015762
                     13,                  1.118,                  1.535,                 1.1206,                0.64176,                0.66885,                0.61775,                0.43692,                 1.1174,                 1.8002,                 1.1613,               0.001568,               0.001568,               0.001568
                     14,                 1.1074,                 1.4087,                 1.1072,                0.45573,                0.74762,                 0.5323,                0.34341,                 1.1649,                 2.5504,                 1.1842,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1328,                 1.4106,                 1.1188,                0.41365,                0.74524,                0.57705,                0.39361,                 1.1799,                 2.3533,                 1.1403,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0945,                 1.3345,                 1.1213,                0.68445,                0.43619,                0.66386,                0.42877,                 1.2208,                 2.3537,                 1.2065,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0675,                 1.3424,                 1.1022,                0.60572,                0.66058,                0.57746,                0.37944,                 1.1345,                 1.6238,                 1.1614,               0.001535,               0.001535,               0.001535
                     18,                 1.0365,                 1.2251,                 1.1011,                0.58761,                0.48438,                0.47793,                0.29885,                 1.1926,                   2.44,                 1.2013,              0.0015267,              0.0015267,              0.0015267
