                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5656,                 4.3697,                 1.3784,                0.00256,                0.73095,                0.05512,                0.03923,                 1.1048,                 4.1642,                 1.2177,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.2511,                 3.0272,                 1.1134,                0.00215,                 0.5369,                0.27704,                0.18339,                 1.1237,                 3.7754,                 1.0816,             0.00048104,             0.00048104,             0.00048104
                      3,                 1.1678,                 2.5104,                 1.0989,                0.00203,                0.59762,                0.27131,                0.17565,                 1.1256,                 3.5849,                 1.0736,             0.00072622,             0.00072622,             0.00072622
                      4,                 1.2056,                 2.2239,                 1.0988,                0.56605,                0.10007,                0.18384,                0.11063,                 1.1646,                 3.4605,                 1.0787,             0.00096892,             0.00096892,             0.00096892
                      5,                 1.1912,                 2.1513,                 1.1042,                0.22699,                  0.075,                0.06526,                0.03503,                 1.1725,                 3.5881,                 1.1517,              0.0012092,              0.0012092,              0.0012092
                      6,                 1.1525,                 2.1273,                  1.124,                0.94122,                  0.125,                0.31222,                0.17953,                 1.2953,                 3.2511,                 1.1927,              0.0014469,              0.0014469,              0.0014469
                      7,                 1.1665,                 2.0105,                 1.1054,                0.29388,                0.30133,                0.18214,                0.11196,                  1.267,                 3.7178,                 1.2549,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1301,                 1.8868,                 1.0734,                0.48316,                0.66267,                0.55831,                0.36524,                 1.2195,                 1.9751,                 1.1992,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1012,                 1.9097,                  1.107,                0.45418,                0.45944,                 0.4563,                0.28664,                 1.1923,                 2.6868,                 1.1523,               0.001601,               0.001601,               0.001601
                     10,                 1.1375,                 1.7161,                 1.0785,                0.47366,                0.61905,                  0.502,                0.31979,                 1.2154,                 2.1104,                 1.1491,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.2109,                 1.7732,                 1.1494,                0.39892,                0.65595,                0.49597,                0.32362,                 1.1781,                 2.1854,                 1.1572,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.1361,                 1.5477,                 1.1059,                0.28873,                0.44524,                0.32604,                0.20923,                 1.1512,                 10.386,                 1.1469,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1213,                 1.4449,                 1.0895,                0.39188,                0.44405,                0.42267,                0.28201,                 1.1131,                 3.7071,                 1.1105,               0.001568,               0.001568,               0.001568
                     14,                 1.1199,                 1.3758,                 1.0782,                0.43497,                0.62619,                 0.4681,                0.30772,                  1.146,                  1.838,                 1.1476,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.0873,                 1.3238,                 1.0623,                0.63572,                0.50833,                 0.4977,                0.32171,                 1.1277,                 2.6629,                 1.1534,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0107,                 1.2376,                 1.0409,                0.77754,                0.46905,                0.47912,                0.31981,                 1.1196,                 1.8284,                 1.1534,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0508,                 1.2208,                 1.0501,                0.56983,                0.56263,                0.57013,                0.38529,                 1.2369,                 1.9387,                  1.259,               0.001535,               0.001535,               0.001535
                     18,                 1.0546,                 1.2217,                   1.06,                0.56946,                0.60764,                0.60001,                0.43991,                 1.1001,                  1.685,                 1.1126,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0336,                  1.203,                 1.0624,                0.61624,                0.78201,                0.81383,                0.57697,                 1.0766,                 1.4967,                 1.0924,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0446,                 1.0991,                 1.0527,                0.64593,                0.68257,                0.71645,                0.50259,                 1.0338,                 1.4821,                 1.1054,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.0421,                 1.0965,                 1.0798,                0.79915,                0.74048,                0.82982,                0.55901,                 1.0519,                 1.3449,                  1.107,               0.001502,               0.001502,               0.001502
                     22,                 1.0021,                 1.0736,                 1.0379,                0.89744,                0.72553,                0.84291,                0.61037,                  1.005,                 1.0804,                  1.064,              0.0014937,              0.0014937,              0.0014937
                     23,                0.98491,                 1.0233,                 1.0504,                 0.8117,                0.70124,                0.75365,                 0.5468,                0.99959,                 1.2388,                 1.0734,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.0252,                0.97009,                 1.0375,                0.76986,                 0.7709,                0.83469,                0.58876,                0.97782,                0.93473,                 1.0598,              0.0014772,              0.0014772,              0.0014772
                     25,                0.98534,                0.97401,                 1.0372,                0.65045,                0.74524,                0.82919,                0.60673,                0.99969,                 1.1273,                 1.0855,               0.001469,               0.001469,               0.001469
                     26,                0.92367,                0.91824,                 1.0014,                0.68771,                0.74643,                0.74039,                0.53927,                0.97285,                 1.1706,                 1.0631,              0.0014607,              0.0014607,              0.0014607
                     27,                0.93395,                 0.8548,                 1.0067,                0.53151,                0.80626,                0.64311,                0.43816,                 1.0708,                 1.4746,                 1.0719,              0.0014525,              0.0014525,              0.0014525
                     28,                0.92146,                0.88188,                0.99044,                0.75245,                0.70799,                 0.7322,                0.50655,                 1.1021,                   1.18,                 1.1424,              0.0014442,              0.0014442,              0.0014442
                     29,                0.92988,                0.84675,                 1.0186,                0.79015,                0.72024,                0.79285,                0.57889,                0.97712,                 1.0233,                  1.055,               0.001436,               0.001436,               0.001436
                     30,                0.94647,                0.92353,                 1.0336,                0.72696,                0.86408,                0.85219,                0.63293,                0.95185,                0.89079,                 1.0224,              0.0014277,              0.0014277,              0.0014277
                     31,                0.93977,                0.87768,                 1.0297,                0.75014,                0.71429,                0.80842,                 0.5776,                 1.0103,                0.94135,                 1.0627,              0.0014195,              0.0014195,              0.0014195
                     32,                0.92495,                0.79862,                 1.0155,                0.66011,                 0.8285,                0.83116,                0.60174,                 1.0494,                 0.9266,                 1.0981,              0.0014112,              0.0014112,              0.0014112
                     33,                0.90803,                0.80734,                 1.0255,                0.84259,                0.72176,                0.83797,                 0.6031,                0.99571,                 1.0206,                  1.074,              0.0014029,              0.0014029,              0.0014029
                     34,                0.92085,                0.76705,                 1.0142,                0.83695,                0.79388,                 0.8319,                0.64011,                0.94581,                0.86491,                 1.0492,              0.0013947,              0.0013947,              0.0013947
                     35,                 0.8895,                0.74838,                0.99758,                0.89935,                0.81681,                0.86652,                0.64611,                0.93441,                0.87615,                 1.0447,              0.0013864,              0.0013864,              0.0013864
                     36,                0.89091,                0.74527,                0.99414,                0.80979,                0.63677,                0.62987,                0.43647,                 1.1207,                 1.4591,                 1.1477,              0.0013782,              0.0013782,              0.0013782
                     37,                0.89516,                0.79939,                0.99177,                0.66849,                0.77031,                0.76475,                0.56504,                0.99603,                 1.0978,                   1.06,              0.0013699,              0.0013699,              0.0013699
                     38,                0.92027,                0.80044,                 1.0045,                0.73867,                0.72619,                0.75182,                0.54022,                0.96858,                 1.0331,                 1.0433,              0.0013617,              0.0013617,              0.0013617
                     39,                0.88855,                0.75398,                0.98611,                0.71341,                 0.7008,                0.79168,                0.59939,                 1.0091,                0.89398,                 1.0535,              0.0013534,              0.0013534,              0.0013534
