                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.0086,                 4.2973,                 1.5743,                 0.0021,                0.60833,                0.02454,                0.00323,                0.00778,                 4.8945,                 1.6125,               0.098797,               0.012797,               0.012797
                      2,                0.00801,                  3.283,                 1.4049,                0.00247,                0.66905,                0.16357,                0.06718,                0.00856,                 4.3984,                 1.4766,               0.097403,               0.026403,               0.026403
                      3,                0.00818,                 3.2894,                 1.3638,                0.54373,                 0.2417,                0.27504,                0.09502,                0.00896,                 3.6372,                 1.5541,                 0.0959,                 0.0399,                 0.0399
                      4,                0.00871,                 3.3241,                 1.4674,                0.72345,                0.21429,                0.19737,                0.07351,                0.01015,                 6.3693,                 1.7995,               0.094287,               0.053287,               0.053287
                      5,                0.01025,                 3.7311,                  1.717,                0.51355,                0.08333,                0.00983,                0.00289,                 0.0123,                  49.71,                 3.2258,               0.092566,               0.066566,               0.066566
                      6,                0.01047,                 4.2689,                 1.7433,                0.00375,                0.52143,                0.01349,                0.00257,                0.01391,                 6.7046,                 2.9521,               0.090735,               0.079735,               0.079735
                      7,                0.01181,                 4.0705,                 2.0756,                 0.0004,                  0.325,                0.00065,                 0.0002,                0.01332,                 4.7868,                 2.7027,               0.089227,               0.089227,               0.089227
                      8,                 0.0108,                 3.8755,                 2.1088,                0.09721,                0.50238,                 0.1241,                0.04296,                 0.0133,                 80.111,                 3.9376,               0.088863,               0.088863,               0.088863
                      9,                0.01183,                 3.7848,                 2.0685,                0.00652,                0.09762,                0.00384,                0.00127,                0.01238,                 11.923,                 2.5031,                 0.0885,                 0.0885,                 0.0885
                     10,                0.01131,                  3.664,                 1.9159,                 0.0018,                0.44167,                0.03989,                0.01115,                0.01226,                 4.6885,                 2.1013,               0.088136,               0.088136,               0.088136
                     11,                0.01113,                 3.7286,                 1.8382,                0.10361,                0.21667,                0.08198,                0.02203,                0.01408,                 11.884,                 2.9362,               0.087772,               0.087772,               0.087772
                     12,                0.01137,                 3.3746,                 1.9127,                0.19216,                0.47143,                0.12821,                0.05414,                0.01046,                 69.456,                 1.9694,               0.087409,               0.087409,               0.087409
                     13,                0.01042,                 3.5017,                 1.7254,                0.00099,                0.29405,                0.00075,                0.00029,                0.01341,                 4.6762,                 2.7217,               0.087045,               0.087045,               0.087045
                     14,                0.00991,                 3.6139,                 1.8058,                0.00233,                   0.55,                0.00381,                 0.0012,                0.01121,                 6.5342,                 2.0446,               0.086681,               0.086681,               0.086681
                     15,                0.01005,                 3.3782,                 1.8402,                0.08712,                0.39643,                0.04786,                0.01389,                0.00985,                 80.461,                 1.9701,               0.086318,               0.086318,               0.086318
                     16,                0.00997,                 4.3281,                 1.7879,                0.00553,                0.95119,                0.12621,                0.05837,                0.00906,                  3.296,                 1.6577,               0.085954,               0.085954,               0.085954
                     17,                0.01024,                 3.0979,                 1.8307,                 0.1944,                0.36071,                0.15511,                0.04809,                0.01067,                 3.2363,                 1.9177,               0.085591,               0.085591,               0.085591
                     18,                0.00946,                 3.1258,                 1.6928,                0.00518,                0.77976,                0.28591,                0.13259,                0.00921,                 3.4308,                 1.6134,               0.085227,               0.085227,               0.085227
                     19,                0.00961,                 2.8906,                 1.7383,                0.00433,                0.38333,                0.00807,                0.00361,                 0.0116,                 7.4261,                 2.2025,               0.084863,               0.084863,               0.084863
                     20,                0.00905,                 2.6059,                 1.5687,                0.63904,                 0.2381,                0.15845,                0.06004,                0.00961,                 2.9364,                 1.7293,                 0.0845,                 0.0845,                 0.0845
                     21,                0.00937,                 2.5158,                  1.657,                 0.4699,                 0.4631,                 0.3978,                0.23381,                0.00826,                  2.427,                  1.423,               0.084136,               0.084136,               0.084136
                     22,                0.00872,                 2.4307,                  1.569,                0.00682,                 0.0619,                0.00504,                0.00203,                0.01215,                 4.7361,                 2.1049,               0.083772,               0.083772,               0.083772
                     23,                0.00915,                 2.2605,                 1.6385,                0.51592,                0.40357,                0.42386,                 0.2359,                0.00836,                 2.8641,                 1.4193,               0.083409,               0.083409,               0.083409
                     24,                0.00836,                 2.3454,                 1.5504,                 0.6231,                0.32345,                0.38505,                0.18849,                0.01027,                 3.3493,                 1.6668,               0.083045,               0.083045,               0.083045
                     25,                0.00823,                 2.3483,                 1.4804,                0.44499,                0.61786,                0.43769,                0.21009,                0.00798,                 1.7145,                 1.3772,               0.082681,               0.082681,               0.082681
                     26,                0.00877,                 2.2356,                 1.5923,                0.40754,                0.70476,                0.51513,                0.28463,                0.00658,                 1.6174,                 1.2554,               0.082318,               0.082318,               0.082318
                     27,                0.00844,                 2.1468,                 1.5191,                0.37436,                0.58214,                0.44839,                0.21506,                0.00814,                 2.1013,                  1.412,               0.081954,               0.081954,               0.081954
                     28,                0.00905,                 2.0926,                  1.619,                0.43623,                0.63755,                0.45836,                0.27622,                 0.0075,                 1.9234,                 1.3502,               0.081591,               0.081591,               0.081591
                     29,                0.00812,                 2.0945,                 1.4734,                0.29491,                0.71905,                0.48399,                0.25716,                0.00745,                 1.8366,                 1.3463,               0.081227,               0.081227,               0.081227
                     30,                0.00816,                 2.0194,                 1.4984,                0.31428,                  0.425,                0.35872,                 0.1818,                0.00822,                  2.728,                 1.5055,               0.080863,               0.080863,               0.080863
                     31,                 0.0078,                 1.9726,                 1.4547,                0.46582,                 0.5728,                0.39869,                0.18474,                0.00911,                 2.4234,                 1.4393,                 0.0805,                 0.0805,                 0.0805
                     32,                0.00803,                 1.9791,                  1.461,                0.51573,                0.66306,                0.55137,                0.27152,                0.00822,                 1.6137,                  1.445,               0.080136,               0.080136,               0.080136
                     33,                0.00813,                 2.0726,                 1.4823,                0.48446,                0.68151,                0.54281,                0.29816,                0.00747,                 1.5826,                 1.3224,               0.079772,               0.079772,               0.079772
                     34,                0.00832,                 1.9526,                 1.4791,                0.52686,                0.58214,                0.59339,                0.35346,                 0.0075,                 1.5231,                 1.3139,               0.079409,               0.079409,               0.079409
