metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00164,0.42381,0.02517,0.01152,0.02794,6.87434,1.31648,0,1720019228,,False,1,d44cc_00000,2024-07-03_15-07-08,35.232420682907104,35.232420682907104,20522,b70a672424f1,172.17.0.3,35.232420682907104,1
0.00196,0.54762,0.1579,0.05943,0.03136,6.78296,1.36957,1,1720019231,,False,2,d44cc_00000,2024-07-03_15-07-11,2.8692755699157715,38.101696252822876,20522,b70a672424f1,172.17.0.3,38.101696252822876,2
0.00223,0.64643,0.21609,0.05948,0.03457,6.44725,1.38869,2,1720019234,,False,3,d44cc_00000,2024-07-03_15-07-14,3.0265791416168213,41.1282753944397,20522,b70a672424f1,172.17.0.3,41.1282753944397,3
0.43915,0.15883,0.34592,0.1404,0.03742,5.35804,1.39532,3,1720019236,,False,4,d44cc_00000,2024-07-03_15-07-16,2.510991334915161,43.63926672935486,20522,b70a672424f1,172.17.0.3,43.63926672935486,4
0.30026,0.1763,0.17091,0.05793,0.04109,5.88803,1.54541,4,1720019239,,False,5,d44cc_00000,2024-07-03_15-07-19,2.742471933364868,46.38173866271973,20522,b70a672424f1,172.17.0.3,46.38173866271973,5
0.52466,0.53554,0.45418,0.19029,0.04031,5.66066,1.60967,5,1720019241,,False,6,d44cc_00000,2024-07-03_15-07-21,2.5221738815307617,48.90391254425049,20522,b70a672424f1,172.17.0.3,48.90391254425049,6
0.29249,0.26667,0.2658,0.10049,0.04286,4.98008,1.77146,6,1720019244,,False,7,d44cc_00000,2024-07-03_15-07-24,2.4322333335876465,51.336145877838135,20522,b70a672424f1,172.17.0.3,51.336145877838135,7
0.39741,0.41668,0.42484,0.15346,0.04614,4.40232,1.80903,7,1720019246,,False,8,d44cc_00000,2024-07-03_15-07-26,2.3123323917388916,53.648478269577026,20522,b70a672424f1,172.17.0.3,53.648478269577026,8
0.36624,0.34762,0.38796,0.16626,0.0424,4.44804,1.74038,8,1720019249,,False,9,d44cc_00000,2024-07-03_15-07-29,2.503713369369507,56.15219163894653,20522,b70a672424f1,172.17.0.3,56.15219163894653,9
0.56444,0.62857,0.5668,0.22812,0.04217,3.65615,1.70765,9,1720019251,,False,10,d44cc_00000,2024-07-03_15-07-31,2.5392181873321533,58.69140982627869,20522,b70a672424f1,172.17.0.3,58.69140982627869,10
0.43334,0.63095,0.51104,0.22112,0.04078,3.65845,1.54531,10,1720019254,,True,11,d44cc_00000,2024-07-03_15-07-34,2.5133187770843506,61.20472860336304,20522,b70a672424f1,172.17.0.3,61.20472860336304,11
