metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.0022,0.60952,0.03099,0.02772,0.02706,23.07754,1.43696,0,1720020320,,False,1,d44cc_00009,2024-07-03_15-25-20,40.37051749229431,40.37051749229431,34627,b70a672424f1,172.17.0.3,40.37051749229431,1
0.00279,0.83095,0.09178,0.05306,0.02725,21.15897,1.32353,1,1720020323,,False,2,d44cc_00009,2024-07-03_15-25-23,3.072816848754883,43.443334341049194,34627,b70a672424f1,172.17.0.3,43.443334341049194,2
0.00172,0.5131,0.00227,0.00099,0.03384,22.85883,1.56057,2,1720020326,,False,3,d44cc_00009,2024-07-03_15-25-26,2.724818229675293,46.16815257072449,34627,b70a672424f1,172.17.0.3,46.16815257072449,3
0.55411,0.15439,0.4349,0.19778,0.03338,16.74699,1.47275,3,1720020329,,False,4,d44cc_00009,2024-07-03_15-25-29,3.004258394241333,49.17241096496582,34627,b70a672424f1,172.17.0.3,49.17241096496582,4
0.64304,0.42738,0.53795,0.29517,0.03098,15.13895,1.42217,4,1720020331,,False,5,d44cc_00009,2024-07-03_15-25-31,2.8469512462615967,52.01936221122742,34627,b70a672424f1,172.17.0.3,52.01936221122742,5
0.4934,0.68214,0.5726,0.30581,0.03011,12.14769,1.42663,5,1720020334,,False,6,d44cc_00009,2024-07-03_15-25-34,2.8256046772003174,54.844966888427734,34627,b70a672424f1,172.17.0.3,54.844966888427734,6
0.53518,0.53452,0.51472,0.27317,0.03091,13.54496,1.40015,6,1720020337,,False,7,d44cc_00009,2024-07-03_15-25-37,2.5867841243743896,57.431751012802124,34627,b70a672424f1,172.17.0.3,57.431751012802124,7
0.44054,0.66786,0.47151,0.25991,0.0303,11.75298,1.40474,7,1720020340,,False,8,d44cc_00009,2024-07-03_15-25-40,2.623743772506714,60.05549478530884,34627,b70a672424f1,172.17.0.3,60.05549478530884,8
0.45917,0.67024,0.47298,0.25519,0.03066,11.4064,1.40644,8,1720020342,,False,9,d44cc_00009,2024-07-03_15-25-42,2.7269020080566406,62.78239679336548,34627,b70a672424f1,172.17.0.3,62.78239679336548,9
0.49703,0.65235,0.54462,0.3145,0.02696,10.32002,1.34299,9,1720020345,,False,10,d44cc_00009,2024-07-03_15-25-45,2.933293342590332,65.71569013595581,34627,b70a672424f1,172.17.0.3,65.71569013595581,10
0.43819,0.75714,0.53147,0.2977,0.03111,10.57567,1.46137,10,1720020348,,True,11,d44cc_00009,2024-07-03_15-25-48,2.8927173614501953,68.608407497406,34627,b70a672424f1,172.17.0.3,68.608407497406,11
