                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.588,                 4.8485,                 1.4879,                0.37086,                0.18333,                0.10472,                0.04501,                 1.3043,                 9.5466,                 1.3057,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.1791,                 2.8271,                 1.2689,                 0.0603,                0.18095,                 0.0261,                0.01369,                 1.4206,                    inf,                 1.4455,             0.00048104,             0.00048104,             0.00048104
                      3,                 1.1672,                 2.6116,                 1.2628,                0.00306,                0.68214,                0.00261,                0.00166,                 1.5223,                    inf,                 42.267,             0.00072622,             0.00072622,             0.00072622
                      4,                  1.286,                 1.8393,                 1.3547,                0.00306,                0.68214,                0.00261,                0.00166,                 3.9075,                    inf,                 20.469,             0.00096892,             0.00096892,             0.00096892
                      5,                 1.2284,                 1.9708,                 1.3259,                0.50279,                0.03571,                0.00171,                0.00045,                 3.4566,                 61.813,                 10.118,              0.0012092,              0.0012092,              0.0012092
                      6,                 1.2908,                 1.7326,                 1.3714,                 0.0002,                0.08333,                0.00022,                  5e-05,                 3.9442,                    inf,                 26.038,              0.0014469,              0.0014469,              0.0014469
                      7,                 1.3324,                 1.5311,                 1.3929,                 0.0002,                0.08333,                0.00022,                  5e-05,                 5.0343,                   17.1,                 22.421,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1946,                 1.5579,                 1.2751,                 0.0002,                0.08333,                0.00022,                  5e-05,                 3.9163,                  7.641,                 4.4981,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.2175,                 1.6449,                 1.3344,                0.27772,                 0.3728,                 0.1939,                0.11699,                 1.4564,                 3.0301,                 1.5689,               0.001601,               0.001601,               0.001601
                     10,                 1.1973,                 1.4588,                 1.2918,                0.38359,                0.25119,                0.21461,                0.12138,                 1.7622,                 5.2088,                 1.7941,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.2219,                 1.3746,                 1.3162,                0.00826,                0.02381,                0.00556,                0.00179,                  3.256,                 6.5889,                 5.7142,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.1295,                 1.2826,                 1.2806,                 0.0145,                0.09762,                 0.0087,                0.00419,                 2.4051,                 5.9976,                 2.3334,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1047,                 1.2624,                 1.2209,                0.36381,                0.50129,                0.36238,                0.24547,                 1.4701,                 2.2903,                 1.6155,               0.001568,               0.001568,               0.001568
                     14,                 1.1279,                 1.2818,                 1.2409,                0.06255,                0.14405,                0.09423,                0.06573,                 2.5171,                 4.9561,                 2.4216,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1592,                 1.2125,                 1.2683,                0.41387,                 0.1796,                0.24792,                0.16955,                 1.9354,                 3.9657,                 2.0976,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.1263,                  1.226,                 1.2755,                0.48855,                0.48206,                0.48794,                0.33555,                 1.3656,                 1.7048,                 1.4303,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.1031,                 1.2115,                 1.2209,                0.46238,                0.69352,                0.45455,                0.33427,                 1.1362,                 1.7472,                 1.2365,               0.001535,               0.001535,               0.001535
                     18,                 1.0958,                 1.2605,                 1.2029,                0.54006,                0.73272,                0.58727,                0.39644,                 1.0794,                   1.51,                 1.2208,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0914,                 1.1692,                 1.2025,                0.50628,                0.61905,                0.50935,                0.36349,                 1.1428,                 1.4536,                 1.3166,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.1007,                 1.1736,                  1.243,                 0.5648,                0.74276,                0.62662,                0.43156,                 1.2205,                 1.3184,                 1.3081,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.0326,                 1.0936,                 1.1827,                0.56643,                0.71049,                0.62156,                 0.4484,                0.99375,                 1.2092,                 1.1812,               0.001502,               0.001502,               0.001502
                     22,                0.99773,                 1.1042,                 1.1638,                0.50632,                0.78929,                0.67475,                0.48793,                 1.1066,                 1.0311,                 1.2267,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.0332,                 1.1102,                 1.2081,                 0.8341,                0.55476,                0.73034,                   0.52,                 1.0446,                 1.0116,                 1.2519,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.0364,                 1.0919,                 1.2254,                 0.5755,                 0.6666,                 0.7059,                0.48093,                  1.097,                  1.022,                 1.2777,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.0074,                 1.0438,                 1.1676,                0.49034,                   0.85,                0.66477,                0.43291,                 1.0771,                 1.0544,                 1.1882,               0.001469,               0.001469,               0.001469
                     26,                 1.0359,                 1.0111,                 1.1694,                 0.4771,                0.71429,                0.63502,                0.42538,                 1.0352,                 1.1374,                 1.1823,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.0155,                 1.0331,                 1.1741,                0.54184,                0.80119,                0.71057,                0.47444,                0.99255,                 1.0136,                  1.153,              0.0014525,              0.0014525,              0.0014525
                     28,                0.96135,                 1.0285,                 1.1283,                0.68552,                0.70639,                 0.7435,                0.54413,                 1.1288,                 1.0616,                  1.251,              0.0014442,              0.0014442,              0.0014442
                     29,                0.95523,                0.97965,                  1.107,                0.58054,                0.85238,                0.66889,                0.47525,                 1.0043,                 1.0151,                 1.1832,               0.001436,               0.001436,               0.001436
                     30,                0.95637,                0.99006,                 1.1289,                0.46834,                0.78547,                 0.5846,                0.40133,                 1.1861,                 1.2581,                 1.2783,              0.0014277,              0.0014277,              0.0014277
                     31,                0.94754,                0.93506,                 1.1522,                0.57608,                0.81429,                0.69443,                 0.4971,                 1.1416,                 1.1738,                 1.2948,              0.0014195,              0.0014195,              0.0014195
                     32,                0.92925,                0.99609,                 1.1301,                0.46652,                0.71429,                0.52733,                 0.3632,                 1.2371,                 1.3935,                 1.3361,              0.0014112,              0.0014112,              0.0014112
                     33,                0.99978,                0.97461,                 1.1514,                0.62266,                0.77738,                0.76388,                0.55573,                 1.0931,                0.98268,                 1.2533,              0.0014029,              0.0014029,              0.0014029
                     34,                0.95808,                0.97987,                 1.1226,                0.56717,                0.70238,                 0.6318,                0.41478,                 1.2374,                 1.2617,                 1.2806,              0.0013947,              0.0013947,              0.0013947
                     35,                0.95783,                 0.9047,                  1.123,                0.47315,                0.81802,                0.64268,                0.44173,                 1.0794,                 1.0554,                 1.2079,              0.0013864,              0.0013864,              0.0013864
                     36,                0.96108,                0.88794,                  1.147,                0.41911,                0.77976,                0.54149,                0.34938,                 1.0761,                  1.607,                  1.215,              0.0013782,              0.0013782,              0.0013782
                     37,                0.92185,                 0.8702,                 1.1227,                0.71651,                0.69048,                0.72662,                0.52447,                 1.0466,                0.92984,                 1.1957,              0.0013699,              0.0013699,              0.0013699
                     38,                0.89315,                0.97608,                 1.1161,                0.60964,                0.73929,                0.75296,                0.51478,                 1.0679,                 1.0304,                 1.2398,              0.0013617,              0.0013617,              0.0013617
                     39,                0.92403,                0.91207,                 1.1262,                0.77661,                  0.762,                0.83394,                0.58859,                 1.0915,                0.99132,                 1.2322,              0.0013534,              0.0013534,              0.0013534
                     40,                0.91737,                0.86989,                 1.0953,                 0.7876,                0.80575,                0.82992,                0.57933,                 1.0677,                0.93236,                  1.221,              0.0013452,              0.0013452,              0.0013452
                     41,                0.85723,                0.81328,                 1.0925,                0.73492,                0.80357,                0.81606,                0.57846,                 1.0477,                0.95559,                 1.2098,              0.0013369,              0.0013369,              0.0013369
                     42,                0.86592,                0.75671,                 1.0796,                0.72187,                0.71905,                0.76237,                0.54793,                 1.0423,                  1.041,                 1.2091,              0.0013287,              0.0013287,              0.0013287
