                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.574,                 4.5088,                 1.4043,                0.00273,                0.79167,                0.06984,                0.04229,                 1.1005,                 3.7987,                 1.1956,             0.00023338,             0.00023338,             0.00023338
                      2,                  1.273,                 2.8978,                 1.1544,                0.00295,                0.86548,                0.27839,                0.16301,                 1.0662,                 3.4736,                 1.1238,             0.00048104,             0.00048104,             0.00048104
                      3,                  1.205,                 2.5268,                 1.0989,                0.00318,                0.93929,                0.24246,                 0.1617,                 1.0575,                  3.321,                 1.0765,             0.00072622,             0.00072622,             0.00072622
                      4,                 1.2003,                 2.2537,                 1.1149,                0.00322,                0.95238,                0.41979,                0.30044,                  1.083,                 3.0918,                 1.1499,             0.00096892,             0.00096892,             0.00096892
                      5,                 1.1414,                 2.1582,                 1.0765,                0.67247,                0.11437,                0.37367,                0.25942,                 1.1011,                  2.913,                 1.1883,              0.0012092,              0.0012092,              0.0012092
                      6,                 1.2138,                 2.0652,                 1.1432,                0.33428,                0.19048,                0.32031,                0.21378,                 1.3862,                 2.9788,                 1.3805,              0.0014469,              0.0014469,              0.0014469
                      7,                 1.1819,                 1.8375,                    1.1,                0.88083,                0.22832,                0.34943,                0.21213,                  1.398,                 2.8561,                 1.3834,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1974,                 1.8011,                  1.129,                0.76264,                0.29048,                 0.3905,                0.24046,                 1.3436,                   2.45,                 1.2693,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.2144,                 1.7987,                 1.1468,                0.56293,                0.57916,                0.54664,                 0.3274,                 1.4335,                 1.9812,                 1.3395,               0.001601,               0.001601,               0.001601
                     10,                 1.1122,                 1.6149,                 1.0903,                0.63451,                0.65103,                0.72019,                0.47291,                 1.1486,                 1.8124,                 1.1488,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1249,                 1.4813,                 1.0984,                0.48302,                0.78608,                0.65452,                0.42376,                 1.0608,                 2.2568,                 1.1418,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.0697,                  1.432,                  1.086,                0.66304,                0.72794,                0.75665,                0.52184,                 1.1245,                 1.4497,                 1.1682,              0.0015762,              0.0015762,              0.0015762
                     13,                  1.059,                 1.3639,                 1.0667,                0.77581,                 0.6526,                0.82224,                0.54423,                 1.1696,                 1.2281,                 1.1544,               0.001568,               0.001568,               0.001568
                     14,                 1.0581,                 1.3365,                  1.066,                0.76999,                0.60647,                0.64976,                0.44266,                 1.1623,                 1.5229,                 1.1862,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1028,                 1.3502,                 1.0862,                0.77976,                0.68171,                0.76938,                0.51031,                 1.0615,                 1.3011,                 1.0965,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0959,                 1.2409,                 1.0926,                0.60954,                0.81138,                0.72577,                 0.4983,                0.97809,                  1.166,                 1.0626,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0691,                 1.1873,                 1.0455,                0.74967,                0.71429,                0.76178,                0.53928,                 1.0378,                 1.0258,                 1.0965,               0.001535,               0.001535,               0.001535
                     18,                 1.0613,                 1.1959,                 1.0563,                0.81429,                 0.7131,                0.79441,                0.55679,                0.99734,                 1.0532,                 1.0797,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0266,                 1.1078,                 1.0337,                 0.6513,                  0.725,                0.78302,                 0.5362,                 1.1235,                 1.3401,                 1.1006,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0624,                 1.1747,                 1.0745,                0.71005,                0.78929,                0.77039,                0.54922,                  1.038,                 1.0583,                 1.1157,              0.0015102,              0.0015102,              0.0015102
                     21,                0.96713,                 1.0366,                 1.0167,                0.81625,                0.71548,                0.78545,                0.54894,                  1.047,                0.99745,                 1.1088,               0.001502,               0.001502,               0.001502
                     22,                0.97383,                 1.0267,                 1.0122,                0.95764,                0.69699,                0.87051,                0.61456,                 1.0215,                0.86099,                 1.0839,              0.0014937,              0.0014937,              0.0014937
                     23,                0.97078,                0.97634,                 1.0447,                0.79747,                0.71017,                0.79737,                0.57628,                 1.0439,                0.94377,                 1.0803,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.0376,                0.99927,                 1.0766,                0.74053,                0.52717,                0.64985,                0.41398,                 1.1799,                 1.7404,                 1.2009,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.0393,                0.91324,                 1.0535,                0.90762,                0.73929,                0.83351,                0.57156,                 1.1219,                0.99899,                 1.1357,               0.001469,               0.001469,               0.001469
                     26,                0.99281,                0.89221,                 1.0272,                0.89979,                0.72058,                 0.8221,                0.57924,                 1.0383,                0.95345,                 1.0939,              0.0014607,              0.0014607,              0.0014607
