                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8203,                 5.2884,                 1.5977,                0.40518,                0.18452,                0.14389,                0.08562,                 1.2427,                 5.6537,                 1.3143,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.1959,                 2.3544,                 1.1503,                0.27744,                0.29763,                0.19802,                0.11978,                 1.2867,                  2.911,                 1.2677,             0.00048104,             0.00048104,             0.00048104
                      3,                 1.1886,                 1.7256,                 1.1643,                0.38791,                0.51505,                0.37328,                0.22663,                 1.3565,                  2.772,                  1.311,             0.00072622,             0.00072622,             0.00072622
                      4,                 1.1836,                 1.6363,                  1.124,                0.69391,                 0.4187,                0.50867,                0.30737,                 1.2554,                 1.5591,                 1.2517,             0.00096892,             0.00096892,             0.00096892
                      5,                 1.1798,                 1.4512,                 1.1271,                0.86258,                0.39286,                0.49888,                0.30902,                 1.2037,                 2.2462,                 1.2279,              0.0012092,              0.0012092,              0.0012092
                      6,                 1.2256,                 1.4727,                 1.1317,                0.39024,                0.46385,                0.36315,                0.22783,                 1.5174,                 2.4001,                  1.588,              0.0014469,              0.0014469,              0.0014469
                      7,                 1.1923,                  1.315,                 1.1212,                0.16287,                0.52024,                0.18777,                0.10408,                 1.4072,                 113.56,                 1.3689,              0.0016175,              0.0016175,              0.0016175
                      8,                  1.173,                 1.2966,                 1.1396,                0.35506,                 0.5598,                0.34429,                0.19593,                 1.2711,                  4.654,                 1.3076,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.2416,                 1.2052,                 1.1615,                0.33383,                0.65246,                0.38025,                0.25224,                 1.1989,                 6.5144,                 1.2342,               0.001601,               0.001601,               0.001601
                     10,                 1.1346,                 1.1833,                  1.111,                0.58571,                0.45119,                0.55155,                0.36362,                 1.2604,                 1.5255,                 1.3201,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1396,                 1.1108,                 1.1089,                0.43009,                0.41512,                0.36587,                0.22515,                  1.501,                  2.107,                 1.5689,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.0867,                 1.0702,                 1.1123,                0.36729,                 0.2884,                0.25239,                0.15655,                 1.3234,                 3.1892,                  1.326,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.0861,                 1.0337,                 1.0812,                0.63863,                 0.7431,                0.76215,                0.51208,                 1.1525,                 1.6812,                 1.1806,               0.001568,               0.001568,               0.001568
                     14,                 1.0866,                  1.065,                 1.0872,                0.83662,                0.68214,                0.82006,                0.56497,                 1.0634,                  1.046,                 1.1327,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1275,                 1.0386,                 1.1025,                0.79494,                0.62857,                0.72682,                 0.4891,                 1.0859,                 1.1633,                 1.1548,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.1054,                  1.028,                 1.1129,                0.69161,                0.76633,                0.76539,                0.53059,                 1.0462,                 1.0062,                 1.1139,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.1142,                 1.0088,                 1.0928,                0.60435,                0.59762,                0.60353,                0.40547,                 1.1249,                  1.246,                 1.1611,               0.001535,               0.001535,               0.001535
                     18,                 1.0728,                0.95971,                 1.0757,                0.66758,                0.78672,                0.75293,                0.50913,                 1.0304,                0.95843,                 1.0897,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0353,                0.92194,                 1.0583,                 0.5537,                0.44167,                0.48582,                0.32615,                 1.3153,                  1.931,                 1.2257,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0704,                  0.947,                 1.0928,                0.52387,                0.50058,                0.52978,                 0.3717,                 1.1274,                 1.9358,                 1.1295,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.0104,                 1.0096,                 1.0472,                0.76312,                0.63106,                0.70419,                0.48462,                 1.1465,                 1.0454,                 1.1444,               0.001502,               0.001502,               0.001502
                     22,                0.97798,                0.93713,                 1.0215,                0.66552,                0.66548,                0.63079,                0.42603,                 1.0077,                 1.0556,                 1.0841,              0.0014937,              0.0014937,              0.0014937
                     23,                0.99206,                0.85884,                 1.0642,                0.61356,                0.68095,                0.63638,                 0.4347,                 1.0005,                 1.1023,                 1.0643,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.0085,                0.84642,                 1.0566,                0.78099,                0.80476,                0.82743,                0.57109,                 1.1062,                0.87167,                 1.1165,              0.0014772,              0.0014772,              0.0014772
                     25,                0.99481,                0.85804,                 1.0355,                0.78103,                0.81548,                0.86346,                0.60749,                 1.0816,                0.84118,                 1.1095,               0.001469,               0.001469,               0.001469
                     26,                0.98638,                0.81464,                 1.0238,                0.80693,                0.75119,                0.79692,                0.57331,                 1.0183,                0.94116,                 1.0956,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.0104,                0.86415,                 1.0598,                0.82493,                 0.5365,                0.62048,                0.45317,                 1.0363,                 1.1535,                 1.0902,              0.0014525,              0.0014525,              0.0014525
                     28,                0.98889,                0.83957,                 1.0361,                 0.8262,                0.71544,                0.77165,                0.56531,                 1.0985,                 1.0291,                 1.1242,              0.0014442,              0.0014442,              0.0014442
                     29,                0.98658,                0.84002,                 1.0257,                0.70876,                 0.7631,                0.81824,                 0.5731,                 1.0631,                0.98895,                 1.0939,               0.001436,               0.001436,               0.001436
                     30,                0.95723,                 0.7557,                 1.0276,                0.55647,                 0.7881,                0.78172,                0.57465,                 1.0294,                 1.1442,                 1.0689,              0.0014277,              0.0014277,              0.0014277
                     31,                0.90915,                0.73663,                 1.0118,                0.73348,                0.79135,                0.83861,                 0.6054,                 1.0886,                0.99084,                 1.0962,              0.0014195,              0.0014195,              0.0014195
