                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5335,                 4.4111,                 1.3961,                0.00273,                0.80595,                0.04022,                0.02151,                 1.0709,                 4.1291,                 1.1756,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.3227,                 3.0958,                 1.2077,                0.00314,                0.90238,                 0.1872,                0.12204,                 1.0924,                 3.7517,                 1.1064,             0.00048104,             0.00048104,             0.00048104
                      3,                 1.2408,                 2.5136,                  1.161,                0.00181,                0.47143,                0.09458,                0.04421,                 1.1718,                 3.9228,                 1.1696,             0.00072622,             0.00072622,             0.00072622
                      4,                 1.1855,                 2.2119,                  1.099,                0.00169,                0.45119,                 0.1183,                0.09447,                 1.1273,                 3.6763,                 1.1491,             0.00096892,             0.00096892,             0.00096892
                      5,                 1.1437,                 2.0425,                 1.1063,                 0.6116,                0.17493,                0.47657,                0.30111,                 1.1903,                 2.9626,                 1.1817,              0.0012092,              0.0012092,              0.0012092
                      6,                 1.1841,                 2.0492,                 1.1543,                0.51384,                   0.45,                0.50206,                0.30814,                 1.1643,                 2.4379,                 1.1814,              0.0014469,              0.0014469,              0.0014469
                      7,                  1.161,                 1.9181,                  1.119,                0.68668,                0.19167,                0.21538,                0.11843,                 1.5285,                 3.9005,                 1.5773,              0.0016175,              0.0016175,              0.0016175
                      8,                  1.164,                 1.8766,                 1.1007,                0.35672,                0.44791,                0.39129,                0.22761,                 1.6014,                 5.5109,                 1.6407,              0.0016092,              0.0016092,              0.0016092
                      9,                  1.095,                 1.7719,                 1.0968,                0.28854,                0.30484,                0.25526,                0.14088,                  1.671,                 14.578,                 1.6054,               0.001601,               0.001601,               0.001601
                     10,                 1.1272,                 1.6422,                 1.0857,                0.28754,                0.40342,                0.25524,                0.15336,                 1.3855,                 4.5118,                 1.3617,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1338,                 1.6141,                 1.1154,                0.22173,                0.26786,                0.11496,                0.06262,                 1.9352,                 13.493,                 2.3999,              0.0015845,              0.0015845,              0.0015845
                     12,                  1.147,                 1.5877,                 1.1231,                0.65592,                0.56905,                0.57473,                0.35657,                 1.2094,                 2.8997,                 1.1743,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1634,                  1.423,                 1.1081,                0.53615,                0.77024,                 0.6986,                0.47062,                 1.1132,                 2.1218,                 1.1306,               0.001568,               0.001568,               0.001568
                     14,                 1.0856,                 1.3206,                 1.0611,                0.72875,                0.74524,                 0.7685,                0.51955,                 1.1364,                 1.5069,                 1.1347,              0.0015597,              0.0015597,              0.0015597
