                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7218,                 5.0143,                 1.4581,                0.00233,                0.66097,                0.01037,                0.00564,                 1.3114,                 4.5757,                  1.361,             0.00025005,             0.00025005,             0.00025005
                      2,                  1.286,                 3.2654,                 1.1527,                0.00258,                0.73077,                0.00907,                0.00522,                 1.2396,                 4.1017,                 1.0999,             0.00051421,             0.00051421,             0.00051421
                      3,                 1.1637,                 2.7252,                 1.0923,                0.00094,                0.26638,                0.00564,                0.00238,                 1.1705,                 3.9187,                 1.1013,             0.00077573,             0.00077573,             0.00077573
                      4,                 1.2231,                 2.5176,                 1.1286,                0.00287,                0.79202,                 0.4165,                 0.2807,                 1.2523,                 3.3231,                 1.1241,              0.0010346,              0.0010346,              0.0010346
                      5,                 1.1274,                 2.3277,                 1.0641,                0.45306,                0.32154,                0.44334,                0.24735,                 1.3217,                  2.782,                 1.1391,              0.0012909,              0.0012909,              0.0012909
                      6,                 1.1517,                 2.1612,                 1.0832,                0.45208,                0.51567,                0.41222,                0.26898,                 1.2783,                 2.7595,                 1.2525,              0.0015445,              0.0015445,              0.0015445
                      7,                 1.1956,                 2.1115,                  1.133,                0.44456,                0.71795,                0.47494,                0.30315,                  1.227,                 2.0898,                  1.176,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1639,                 2.0983,                  1.104,                0.52401,                0.50599,                0.49507,                0.32616,                 1.2577,                 2.3298,                 1.1869,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1662,                 1.8903,                 1.0773,                0.50886,                0.47578,                0.42218,                 0.2628,                 1.2986,                 2.3282,                 1.2083,               0.001601,               0.001601,               0.001601
                     10,                 1.1595,                 1.9309,                 1.0921,                0.39408,                0.23346,                0.23944,                0.12862,                 1.6311,                 3.3825,                 1.5621,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.0933,                  1.779,                 1.0646,                0.44285,                  0.758,                 0.5171,                0.33101,                 1.2029,                 1.8633,                 1.1686,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.0398,                 1.6117,                 1.0252,                0.48973,                 0.7248,                0.60483,                0.40541,                 1.1146,                 1.6143,                 1.0992,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.0744,                 1.5886,                 1.0531,                0.47436,                0.81538,                0.59774,                  0.376,                 1.1118,                 1.5968,                 1.1118,               0.001568,               0.001568,               0.001568
