                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6591,                 1.6608,                 1.5363,                0.74333,                 0.8193,                0.82699,                 0.5431,                 1.2685,                0.97414,                 1.3493,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.5142,                 1.4481,                 1.4285,                0.75592,                0.74929,                0.79418,                0.54389,                   1.21,                0.98636,                 1.3445,             0.00051421,             0.00051421,             0.00051421
                      3,                 1.2316,                 1.2367,                 1.2755,                0.73611,                0.71031,                0.77461,                0.50142,                 1.2498,                 1.0459,                 1.3878,             0.00077573,             0.00077573,             0.00077573
                      4,                 1.2324,                 1.2146,                 1.2777,                0.78063,                0.62393,                0.75656,                0.48494,                 1.3168,                 1.0918,                 1.4397,              0.0010346,              0.0010346,              0.0010346
                      5,                 1.1624,                 1.1741,                 1.2251,                0.66414,                0.71332,                0.73116,                0.46363,                 1.3239,                  1.151,                 1.4401,              0.0012909,              0.0012909,              0.0012909
                      6,                 1.1517,                 1.1179,                 1.2034,                0.69487,                0.67615,                0.70869,                0.45826,                 1.3178,                 1.1656,                 1.4352,              0.0015445,              0.0015445,              0.0015445
                      7,                 1.1352,                 1.1203,                 1.2072,                0.73828,                0.65527,                0.73755,                 0.4744,                 1.2799,                 1.1183,                 1.3989,              0.0016175,              0.0016175,              0.0016175
                      8,                  1.123,                 1.0888,                 1.1767,                 0.7281,                0.69277,                0.75389,                0.49546,                 1.2367,                 1.0284,                 1.3719,              0.0016092,              0.0016092,              0.0016092
                      9,                  1.043,                 1.0346,                 1.1608,                0.73702,                0.72814,                0.76547,                0.51588,                 1.2245,                 1.0074,                 1.3646,               0.001601,               0.001601,               0.001601
                     10,                 1.0937,                 1.0677,                 1.1538,                0.73768,                0.72565,                0.77203,                0.52603,                 1.2109,                 1.0082,                 1.3379,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1258,                 1.0912,                 1.1965,                0.72699,                0.77827,                0.78576,                0.52744,                 1.1891,                0.95949,                 1.3321,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.0934,                  1.067,                  1.205,                0.67764,                0.82479,                0.77432,                0.50829,                 1.2111,                0.97989,                   1.34,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1085,                 1.0526,                  1.188,                 0.6648,                0.79803,                0.76772,                0.50888,                 1.2558,                 1.0112,                 1.3742,               0.001568,               0.001568,               0.001568
                     14,                  1.034,                0.99019,                 1.1474,                0.79058,                0.69754,                0.76511,                0.51171,                 1.2406,                 0.9967,                 1.3583,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.0067,                0.97074,                  1.139,                0.76558,                0.67236,                0.75354,                0.51397,                 1.2174,                0.99855,                 1.3428,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0326,                 1.0321,                 1.1294,                 0.7814,                0.64957,                0.75589,                  0.494,                 1.2629,                 1.0067,                 1.3744,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0329,                 1.0219,                  1.128,                0.83483,                0.63105,                0.74421,                0.48271,                 1.2836,                 1.0572,                 1.3762,               0.001535,               0.001535,               0.001535
                     18,                  1.035,                0.96959,                 1.1565,                0.79335,                0.65934,                0.75325,                0.49687,                 1.2658,                 1.0524,                 1.3753,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0072,                0.97109,                 1.1078,                0.75613,                0.68196,                 0.7499,                0.49498,                 1.2655,                 1.0144,                 1.3744,              0.0015185,              0.0015185,              0.0015185
                     20,                0.98418,                0.97791,                  1.105,                0.78299,                0.69943,                 0.7463,                0.49646,                 1.2904,                 1.0261,                 1.3994,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.0357,                0.99732,                 1.1456,                0.78045,                0.69943,                 0.7565,                0.49475,                 1.2652,                  1.006,                 1.3844,               0.001502,               0.001502,               0.001502
                     22,                0.98797,                 1.0047,                 1.1469,                0.73011,                0.73077,                0.74584,                0.49278,                 1.2906,                 1.0604,                 1.4004,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.0173,                 0.9932,                 1.1367,                0.70353,                0.74359,                0.74824,                0.50286,                  1.267,                 1.0806,                 1.3935,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.0577,                0.99205,                 1.1729,                0.78165,                0.66998,                0.75633,                0.51045,                 1.2465,                 1.0316,                  1.373,              0.0014772,              0.0014772,              0.0014772
                     25,                0.97277,                0.91093,                 1.1066,                0.71024,                0.67949,                0.73017,                0.49051,                 1.3206,                 1.0922,                 1.4353,               0.001469,               0.001469,               0.001469
                     26,                  0.964,                0.92057,                 1.0952,                 0.7152,                0.72961,                0.74362,                0.49211,                 1.3281,                 1.0667,                 1.4252,              0.0014607,              0.0014607,              0.0014607
                     27,                0.98238,                0.97748,                 1.1241,                0.76296,                0.67945,                0.77217,                0.51119,                 1.2924,                 1.0171,                 1.4061,              0.0014525,              0.0014525,              0.0014525
                     28,                0.99064,                0.92434,                 1.1202,                0.73424,                0.70858,                0.76279,                0.51504,                 1.2845,                 1.0299,                 1.3935,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.0006,                0.94087,                 1.1102,                0.71076,                0.71618,                0.75194,                0.48974,                 1.3174,                  1.034,                 1.4243,               0.001436,               0.001436,               0.001436
                     30,                0.98037,                0.95299,                 1.1324,                0.75295,                0.65527,                0.73789,                0.47903,                 1.3344,                 1.0418,                  1.444,              0.0014277,              0.0014277,              0.0014277
                     31,                0.99818,                0.97017,                 1.1328,                0.64651,                0.77558,                0.74047,                0.47711,                 1.3198,                 1.0475,                  1.433,              0.0014195,              0.0014195,              0.0014195
                     32,                0.96648,                0.90601,                 1.0942,                0.64606,                0.76116,                0.74451,                0.48125,                 1.2885,                 1.0333,                 1.4006,              0.0014112,              0.0014112,              0.0014112
                     33,                0.96717,                0.92933,                 1.1087,                0.66985,                0.74211,                0.73422,                0.48744,                 1.2426,                 1.0546,                 1.3749,              0.0014029,              0.0014029,              0.0014029
                     34,                0.98246,                0.92896,                 1.1042,                0.62067,                0.78878,                0.71452,                0.46693,                 1.2268,                 1.0783,                 1.3534,              0.0013947,              0.0013947,              0.0013947
                     35,                0.98512,                0.92148,                 1.1287,                0.65191,                0.78667,                0.72053,                0.45375,                 1.2563,                 1.0649,                 1.3687,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.0045,                0.93164,                 1.1289,                0.69682,                0.74277,                0.74147,                 0.4763,                 1.2231,                 1.0754,                 1.3501,              0.0013782,              0.0013782,              0.0013782
                     37,                0.93987,                0.88284,                 1.0975,                0.71287,                0.76572,                0.76065,                0.49692,                 1.2154,                 1.0551,                 1.3427,              0.0013699,              0.0013699,              0.0013699
                     38,                 0.9933,                0.98241,                 1.1156,                0.76086,                0.77096,                0.77137,                0.51509,                 1.2134,                 0.9879,                  1.344,              0.0013617,              0.0013617,              0.0013617
                     39,                0.95516,                0.84734,                 1.0853,                0.81169,                0.72717,                0.77168,                0.50116,                 1.2657,                 1.0176,                  1.379,              0.0013534,              0.0013534,              0.0013534
                     40,                0.96016,                0.92867,                  1.115,                0.75811,                0.70571,                0.74773,                 0.4767,                 1.2547,                 1.0223,                 1.3645,              0.0013452,              0.0013452,              0.0013452
                     41,                0.99615,                0.89741,                 1.1372,                0.82038,                0.74359,                0.79181,                0.52361,                 1.2042,                0.96107,                 1.3274,              0.0013369,              0.0013369,              0.0013369
                     42,                0.97133,                0.85667,                 1.1399,                 0.7795,                0.74359,                0.78273,                0.52164,                 1.1818,                0.93597,                 1.3185,              0.0013287,              0.0013287,              0.0013287
                     43,                0.97646,                0.89108,                 1.1128,                0.76842,                0.72437,                0.77499,                0.50289,                 1.2052,                 1.0054,                 1.3437,              0.0013204,              0.0013204,              0.0013204
                     44,                0.98688,                0.86008,                 1.1361,                0.77772,                0.77493,                0.78049,                0.51515,                 1.2271,                0.97371,                 1.3505,              0.0013122,              0.0013122,              0.0013122
                     45,                0.98988,                0.92207,                 1.1423,                0.83252,                0.74215,                0.78559,                 0.5199,                 1.2377,                0.94162,                 1.3693,              0.0013039,              0.0013039,              0.0013039
                     46,                0.93729,                0.87712,                 1.0679,                0.83473,                0.74359,                0.77146,                0.51277,                 1.2082,                0.94252,                 1.3522,              0.0012957,              0.0012957,              0.0012957
                     47,                0.95287,                0.88424,                 1.1116,                0.78297,                0.76211,                0.76497,                0.49485,                 1.2282,                0.96078,                 1.3687,              0.0012874,              0.0012874,              0.0012874
                     48,                0.97595,                0.84455,                 1.0981,                0.82098,                  0.704,                0.78302,                0.50301,                 1.2462,                0.97543,                  1.379,              0.0012792,              0.0012792,              0.0012792
                     49,                0.94914,                0.82171,                 1.0823,                  0.774,                0.73647,                0.76379,                0.48822,                 1.2625,                0.99968,                 1.3875,              0.0012709,              0.0012709,              0.0012709
                     50,                 0.9772,                0.83522,                 1.0952,                0.74166,                0.76152,                0.76089,                0.49266,                 1.2301,                 1.0094,                 1.3667,              0.0012627,              0.0012627,              0.0012627
                     51,                0.91863,                0.81948,                 1.0938,                0.79825,                0.69269,                0.77001,                0.49948,                 1.1903,                0.99046,                 1.3504,              0.0012544,              0.0012544,              0.0012544
                     52,                0.99335,                0.89251,                   1.11,                0.81554,                0.71225,                0.77208,                0.49342,                 1.2272,                 1.0062,                 1.3704,              0.0012462,              0.0012462,              0.0012462
                     53,                0.96609,                 0.8735,                 1.1184,                0.74483,                0.74359,                0.76008,                0.48989,                 1.2343,                 1.0399,                 1.3686,              0.0012379,              0.0012379,              0.0012379
                     54,                0.93937,                0.88453,                 1.1037,                0.75711,                0.71944,                0.76024,                 0.4929,                   1.21,                 0.9898,                 1.3586,              0.0012297,              0.0012297,              0.0012297
                     55,                0.95628,                0.86518,                 1.1224,                0.76717,                0.68908,                0.75457,                0.48848,                 1.2188,                0.99681,                  1.376,              0.0012214,              0.0012214,              0.0012214
                     56,                0.93595,                0.82878,                 1.1012,                0.76197,                0.76781,                0.76463,                0.50501,                 1.1851,                0.95593,                 1.3406,              0.0012132,              0.0012132,              0.0012132
                     57,                 0.9385,                0.84453,                 1.0949,                0.83165,                0.76128,                 0.7861,                0.52545,                 1.1794,                0.95723,                 1.3242,              0.0012049,              0.0012049,              0.0012049
                     58,                0.91373,                0.80721,                 1.0523,                0.78328,                0.72689,                0.78394,                0.52674,                 1.2115,                0.97908,                 1.3426,              0.0011967,              0.0011967,              0.0011967
                     59,                0.95218,                0.84285,                 1.0889,                0.77382,                0.75499,                0.77739,                0.51613,                 1.2207,                0.98059,                 1.3466,              0.0011884,              0.0011884,              0.0011884
                     60,                0.93128,                0.82784,                 1.0897,                0.85406,                0.69413,                0.77614,                0.52747,                 1.1971,                0.98512,                 1.3368,              0.0011802,              0.0011802,              0.0011802
                     61,                0.96024,                0.86526,                 1.1056,                0.86271,                0.69373,                0.77934,                0.52838,                 1.1895,                0.96888,                  1.338,              0.0011719,              0.0011719,              0.0011719
