                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7052,                 4.7022,                 1.4616,                0.00292,                0.82479,                0.03994,                0.01146,                 1.3446,                 4.4195,                 1.2489,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.3304,                 3.2578,                 1.2067,                0.00308,                0.88034,                0.00532,                 0.0027,                 1.1116,                 4.1601,                 1.1036,             0.00051421,             0.00051421,             0.00051421
                      3,                 1.1483,                 2.7538,                 1.0852,                0.00332,                0.94444,                0.12393,                0.03762,                 1.1509,                 3.7973,                 1.0864,             0.00077573,             0.00077573,             0.00077573
                      4,                 1.2206,                 2.4728,                 1.1229,                0.00179,                0.50997,                0.00761,                0.00278,                 1.6193,                 4.2835,                 1.5458,              0.0010346,              0.0010346,              0.0010346
                      5,                 1.1711,                 2.3582,                 1.0944,                0.00065,                0.16809,                0.01809,                 0.0036,                 2.2999,                 4.9074,                 2.3851,              0.0012909,              0.0012909,              0.0012909
                      6,                 1.1554,                 2.1715,                 1.0928,                0.53472,                0.35345,                0.42844,                0.24226,                 1.4245,                 3.1115,                 1.2681,              0.0015445,              0.0015445,              0.0015445
                      7,                 1.1447,                 2.1909,                 1.1015,                0.41592,                0.54946,                0.43761,                0.26321,                 1.4669,                 2.5701,                 1.2634,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1058,                 1.9709,                 1.0625,                0.37855,                0.30494,                0.25635,                0.14116,                  1.641,                 3.2728,                 1.5691,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.0633,                  1.834,                 1.0502,                0.46669,                0.32051,                0.31526,                0.20057,                 1.4502,                 3.1721,                 1.3389,               0.001601,               0.001601,               0.001601
                     10,                  1.058,                 1.7352,                 1.0298,                0.44413,                0.70602,                0.49951,                0.32898,                 1.1622,                 2.0311,                 1.1207,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1214,                 1.7074,                 1.0635,                0.52924,                0.64884,                0.54761,                0.34854,                 1.1818,                 1.9551,                 1.1265,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.1075,                 1.7252,                 1.0871,                0.52611,                0.71389,                0.60222,                0.41139,                 1.0846,                 1.6674,                 1.0652,              0.0015762,              0.0015762,              0.0015762
