                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4548,                 3.9239,                 1.5118,                0.00042,                0.12536,                0.04265,                0.01704,                 1.4439,                 4.6077,                 1.4151,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.1408,                 2.5953,                 1.1837,                0.00293,                0.83761,                0.24001,                0.14697,                 1.2655,                 3.8506,                 1.1348,             0.00051421,             0.00051421,             0.00051421
                      3,                 1.1133,                 2.3832,                  1.109,                 0.5508,                0.11347,                0.39653,                0.19604,                 1.2859,                 3.6006,                 1.0552,             0.00077573,             0.00077573,             0.00077573
                      4,                 1.1495,                 2.2677,                 1.1555,                0.39532,                0.38731,                0.32817,                0.20738,                 1.3232,                  3.403,                 1.1357,              0.0010346,              0.0010346,              0.0010346
                      5,                 1.1402,                 2.1556,                 1.1402,                 0.4262,                0.47721,                0.37494,                0.21813,                  1.369,                 3.2863,                 1.1019,              0.0012909,              0.0012909,              0.0012909
                      6,                   1.19,                 2.1466,                 1.1926,                0.42588,                0.20053,                0.20942,                 0.1171,                 1.4812,                 3.9996,                 1.2529,              0.0015445,              0.0015445,              0.0015445
                      7,                 1.2312,                 2.0666,                 1.1958,                0.33746,                0.48718,                0.30784,                0.16381,                 1.6554,                 7.9085,                 1.3311,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1747,                  1.948,                  1.163,                0.45948,                0.39459,                0.26746,                0.14117,                 1.4764,                 4.4837,                 1.1634,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.2094,                 1.8957,                 1.1801,                0.35847,                0.49715,                0.33893,                0.21511,                 1.4824,                 3.6532,                 1.2207,               0.001601,               0.001601,               0.001601
                     10,                 1.1161,                 1.8278,                 1.1557,                 0.3104,                0.56695,                0.27192,                0.17497,                 1.2764,                 2.9175,                  1.116,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1324,                 1.7556,                 1.1664,                0.59671,                0.49858,                0.51512,                0.32197,                  1.304,                 2.4099,                 1.0847,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.1267,                 1.7026,                 1.1432,                0.49915,                0.79902,                0.62439,                0.36725,                 1.3639,                 1.9671,                 1.0969,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1219,                 1.6073,                 1.1434,                0.37384,                0.75071,                0.42331,                0.25338,                 1.3612,                 2.2163,                 1.1537,               0.001568,               0.001568,               0.001568
                     14,                 1.1148,                 1.6116,                 1.1408,                0.53756,                0.74041,                0.60591,                0.38524,                  1.264,                 2.0166,                 1.0756,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.0873,                 1.5688,                 1.1245,                0.47002,                0.76971,                0.50506,                0.33055,                 1.2061,                 1.6768,                 1.0635,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0385,                 1.4759,                 1.1051,                0.44789,                0.82819,                0.53932,                0.37048,                 1.2165,                 1.6375,                 1.0529,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0398,                  1.402,                 1.0935,                0.42649,                0.86895,                0.58685,                0.36825,                 1.2997,                 1.5871,                 1.0517,               0.001535,               0.001535,               0.001535
                     18,                 1.0667,                 1.3807,                 1.1002,                0.48535,                0.80177,                0.52473,                0.33499,                 1.2127,                 1.5766,                 1.0373,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0682,                 1.3884,                 1.1081,                 0.5049,                 0.8573,                0.63036,                0.39691,                 1.1535,                 1.5217,                 1.0361,              0.0015185,              0.0015185,              0.0015185
                     20,                0.98376,                 1.3596,                 1.0992,                 0.4988,                 0.7037,                0.50977,                0.34125,                 1.1983,                  1.705,                 1.0464,              0.0015102,              0.0015102,              0.0015102
                     21,                0.94772,                 1.3089,                 1.0694,                0.48389,                0.80872,                0.51445,                0.32548,                 1.1549,                 1.5703,                 1.0229,               0.001502,               0.001502,               0.001502
                     22,                 1.0473,                 1.2825,                 1.0987,                0.55454,                0.61681,                 0.5352,                0.32801,                 1.3586,                  1.654,                 1.1066,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.0295,                 1.3064,                 1.0731,                0.54257,                 0.7208,                0.58338,                0.38805,                  1.248,                 1.4658,                 1.0472,              0.0014855,              0.0014855,              0.0014855
                     24,                0.96647,                 1.1656,                 1.0439,                0.49209,                0.75926,                0.54446,                0.37067,                 1.1991,                 1.5675,                 1.0279,              0.0014772,              0.0014772,              0.0014772
                     25,                0.98142,                 1.1675,                 1.0439,                0.52948,                0.81617,                0.64028,                 0.4122,                 1.2483,                 1.3978,                 1.0506,               0.001469,               0.001469,               0.001469
                     26,                0.99918,                 1.1671,                 1.0639,                0.51509,                 0.8492,                0.64172,                0.41054,                 1.2296,                 1.3603,                 1.0466,              0.0014607,              0.0014607,              0.0014607
                     27,                0.99888,                  1.137,                 1.0656,                0.50751,                0.81358,                0.67051,                0.44856,                  1.191,                 1.3077,                 1.0204,              0.0014525,              0.0014525,              0.0014525
                     28,                0.98275,                 1.1522,                 1.0718,                0.67877,                0.70655,                0.75533,                0.49282,                 1.2136,                 1.1667,                 1.0057,              0.0014442,              0.0014442,              0.0014442
                     29,                0.98811,                 1.0875,                 1.0478,                0.72715,                0.63695,                0.72866,                0.49057,                 1.1913,                  1.279,                 1.0214,               0.001436,               0.001436,               0.001436
                     30,                0.96195,                 1.1612,                 1.0474,                0.81075,                0.58441,                0.73889,                0.49274,                 1.1691,                 1.2962,                 1.0282,              0.0014277,              0.0014277,              0.0014277
                     31,                0.97009,                 1.1159,                 1.0561,                0.56321,                  0.849,                0.78776,                0.53899,                 1.1582,                 1.1695,                 1.0336,              0.0014195,              0.0014195,              0.0014195
                     32,                0.94607,                 1.1347,                 1.0491,                0.65796,                0.71652,                0.73736,                0.49364,                 1.2478,                 1.2017,                 1.0779,              0.0014112,              0.0014112,              0.0014112
                     33,                0.96426,                 1.0596,                 1.0512,                0.62098,                0.72783,                0.69752,                0.47647,                 1.1995,                 1.4211,                 1.0363,              0.0014029,              0.0014029,              0.0014029
                     34,                0.93342,                 1.0403,                 1.0384,                0.57342,                0.76353,                0.66003,                0.46361,                 1.2059,                 1.4348,                 1.0449,              0.0013947,              0.0013947,              0.0013947
                     35,                0.92789,                 1.0549,                 1.0292,                0.60628,                0.64672,                0.67816,                0.45373,                 1.1462,                 1.6102,                 1.0233,              0.0013864,              0.0013864,              0.0013864
                     36,                0.91988,                 1.0237,                 1.0476,                 0.7411,                0.70901,                0.76322,                0.52097,                   1.21,                 1.1283,                 1.0357,              0.0013782,              0.0013782,              0.0013782
                     37,                0.93075,                 0.9854,                 1.0403,                0.58601,                0.70228,                0.65616,                0.44681,                 1.1713,                 1.4247,                 1.0311,              0.0013699,              0.0013699,              0.0013699
                     38,                0.93117,                 1.0324,                 1.0354,                0.64239,                0.74939,                0.69848,                0.46991,                 1.1623,                 1.1815,                0.99475,              0.0013617,              0.0013617,              0.0013617
                     39,                0.91412,                 1.0031,                 1.0198,                 0.6071,                0.68086,                0.67152,                0.45379,                 1.1312,                 1.3873,                0.99875,              0.0013534,              0.0013534,              0.0013534
                     40,                0.90322,                 1.0054,                 1.0342,                0.52738,                0.69655,                0.69118,                0.47189,                 1.1358,                 1.5774,                 1.0033,              0.0013452,              0.0013452,              0.0013452
                     41,                0.89364,                 1.0021,                  1.019,                0.59678,                0.76638,                 0.7878,                0.51456,                 1.1511,                 1.2992,                 1.0371,              0.0013369,              0.0013369,              0.0013369
                     42,                0.89646,                0.99431,                 1.0132,                0.79062,                0.65173,                0.82452,                0.55349,                 1.1523,                 1.1399,                 1.0197,              0.0013287,              0.0013287,              0.0013287
