                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.712,                 5.0214,                 1.4432,                 0.0028,                0.79915,                0.01164,                0.00513,                 1.3068,                 4.3822,                 1.2325,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.3157,                 3.2191,                 1.1668,                0.00127,                0.37037,                0.01038,                0.00689,                 1.3341,                 4.2323,                 1.1706,             0.00051421,             0.00051421,             0.00051421
                      3,                 1.1596,                 2.6982,                 1.0931,                0.00186,                0.53989,                0.02092,                0.01175,                 1.4299,                 3.9893,                 1.2229,             0.00077573,             0.00077573,             0.00077573
                      4,                  1.213,                 2.4979,                 1.1176,                0.71917,                0.10716,                 0.3506,                0.26005,                 1.2839,                 3.5671,                 1.2038,              0.0010346,              0.0010346,              0.0010346
                      5,                 1.1249,                 2.3169,                 1.0782,                0.37645,                0.10541,                0.25755,                  0.178,                  1.555,                 3.8596,                 1.6095,              0.0012909,              0.0012909,              0.0012909
                      6,                  1.166,                 2.1747,                 1.0989,                0.21395,                0.15242,                0.14291,                0.08736,                 1.6927,                  3.836,                  1.746,              0.0015445,              0.0015445,              0.0015445
                      7,                 1.2292,                 2.1128,                 1.1206,                0.37696,                0.43447,                0.30028,                0.19676,                 1.4239,                   3.28,                 1.2941,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1367,                  2.035,                 1.0626,                0.71727,                0.08974,                0.21594,                0.12327,                 1.8344,                 3.9501,                 1.6199,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1596,                  1.936,                  1.092,                0.48144,                0.37464,                0.38837,                0.21441,                 1.5661,                 2.8424,                 1.3985,               0.001601,               0.001601,               0.001601
                     10,                 1.1962,                 1.9693,                 1.1311,                0.50044,                0.70435,                0.53004,                0.31017,                 1.3803,                 2.1155,                 1.2389,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1057,                 1.7751,                 1.0794,                0.44603,                0.43894,                0.35243,                0.21933,                 1.4728,                 2.5776,                 1.3536,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.1202,                 1.6948,                 1.0678,                0.39433,                0.57407,                0.43803,                  0.266,                 1.3453,                 2.1835,                 1.2558,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.0572,                 1.5575,                 1.0582,                0.47955,                0.66379,                0.53665,                0.35246,                  1.216,                 1.6952,                 1.1944,               0.001568,               0.001568,               0.001568
                     14,                 1.0986,                 1.5755,                 1.0759,                0.42828,                0.56948,                 0.5045,                0.34481,                 1.2402,                 2.2211,                 1.2625,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.0503,                 1.4964,                 1.0472,                0.49314,                0.73647,                0.65233,                0.43623,                 1.1419,                 1.4261,                  1.103,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0567,                 1.4738,                 1.0507,                0.51082,                0.86182,                0.65153,                0.47604,                  1.095,                 1.4723,                 1.0521,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0448,                 1.4108,                 1.0328,                0.56239,                0.74359,                0.70928,                0.51917,                0.99815,                 1.4099,                 1.0546,               0.001535,               0.001535,               0.001535
                     18,                 1.0171,                 1.3469,                 1.0334,                0.53312,                0.71937,                0.59716,                0.42415,                 1.0518,                 1.4437,                 1.0638,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0098,                 1.3472,                 1.0165,                0.57172,                0.80057,                0.65753,                 0.4719,                 1.0239,                 1.3135,                 1.0555,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0188,                 1.3573,                 1.0326,                0.81188,                0.62821,                0.77635,                0.54397,                 1.0443,                 1.1278,                 1.0331,              0.0015102,              0.0015102,              0.0015102
                     21,                0.96835,                 1.2714,                 1.0102,                0.54959,                0.83761,                0.71727,                0.48735,                 1.0553,                 1.1102,                  1.038,               0.001502,               0.001502,               0.001502
                     22,                0.98779,                 1.2323,                 1.0182,                0.62011,                0.69106,                0.71192,                0.50511,                 1.0171,                 1.1392,                 1.0527,              0.0014937,              0.0014937,              0.0014937
                     23,                0.99187,                 1.2324,                 1.0027,                0.61239,                0.80057,                0.76177,                0.53962,                 1.0677,                 1.0686,                 1.0594,              0.0014855,              0.0014855,              0.0014855
                     24,                0.98526,                 1.1757,                 1.0072,                0.60595,                0.75071,                 0.7209,                0.51455,                 1.0729,                 1.1029,                 1.0642,              0.0014772,              0.0014772,              0.0014772
                     25,                0.96262,                 1.1052,                 1.0041,                0.60622,                0.78707,                0.75265,                0.55886,                0.99378,                 1.0596,                 1.0326,               0.001469,               0.001469,               0.001469
                     26,                0.89275,                 1.1178,                0.97206,                0.72647,                 0.7005,                0.77775,                0.55181,                  1.103,                 1.0328,                 1.0841,              0.0014607,              0.0014607,              0.0014607
