                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.05096,                 5.0118,                 1.7981,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.088157,              0.0031569,              0.0031569
                      2,                0.06275,                 4.1834,                 2.3003,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.075496,              0.0064962,              0.0064962
                      3,                0.05813,                 3.8093,                 2.2313,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.062806,              0.0098064,              0.0098064
                      4,                0.05969,                  3.717,                 2.1779,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.050088,               0.013088,               0.013088
                      5,                 0.0554,                 3.5281,                 2.0906,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.03734,                0.01634,                0.01634
                      6,                0.05456,                 3.2792,                  2.087,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.024563,               0.019563,               0.019563
                      7,                0.05366,                 3.4485,                 2.0987,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.020502,               0.020502,               0.020502
                      8,                0.05329,                 3.3547,                 2.1364,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.020411,               0.020411,               0.020411
                      9,                0.05298,                 3.3484,                 2.0657,                0.06034,                 0.4302,                0.03512,                0.01544,                0.07601,                    inf,                 5.5274,                0.02032,                0.02032,                0.02032
                     10,                0.05327,                 3.2338,                 2.1047,                0.18187,                 0.1453,                0.10637,                0.03563,                0.06223,                 16.283,                 2.7668,               0.020229,               0.020229,               0.020229
                     11,                0.05024,                 2.9336,                 2.0576,                  3e-05,                0.01852,                  2e-05,                      0,                0.10968,                    inf,                 5.2255,               0.020139,               0.020139,               0.020139
                     12,                0.05024,                 2.8326,                 2.0728,                  3e-05,                0.01852,                  2e-05,                      0,                      0,                    inf,                      0,               0.020048,               0.020048,               0.020048
                     13,                0.04557,                 2.5949,                 1.8737,                0.10877,                0.13105,                0.07526,                 0.0216,                0.06156,                 6.3663,                 6.3894,               0.019957,               0.019957,               0.019957
                     14,                0.04356,                 2.4053,                 1.8203,                0.96753,                0.01282,                0.01674,                0.00825,                0.06672,                    7.4,                 2.2088,               0.019866,               0.019866,               0.019866
                     15,                0.04288,                 2.3001,                 1.7803,                0.00365,                0.01852,                 0.0019,                0.00038,                0.07487,                 7.7897,                 2.8093,               0.019776,               0.019776,               0.019776
                     16,                 0.0453,                 2.3844,                 1.8188,                0.71027,                0.11111,                0.10336,                0.01445,                0.05756,                 47.253,                 2.1132,               0.019685,               0.019685,               0.019685
                     17,                0.04962,                 2.3709,                 2.0246,                0.37383,                0.49573,                0.35786,                0.16573,                0.05056,                 2.6753,                 1.9713,               0.019594,               0.019594,               0.019594
                     18,                0.04546,                 2.4183,                 1.8552,                0.32006,                0.41311,                 0.2646,                0.13177,                0.05087,                 3.2712,                 1.9441,               0.019503,               0.019503,               0.019503
                     19,                 0.0423,                 2.2531,                 1.7233,                0.42764,                 0.3433,                0.30908,                0.12999,                0.05406,                 3.4612,                  1.984,               0.019413,               0.019413,               0.019413
                     20,                0.04118,                 2.1708,                 1.6831,                 0.1941,                0.10936,                0.10841,                0.04515,                0.05814,                 4.3802,                 2.1194,               0.019322,               0.019322,               0.019322
                     21,                0.04106,                 2.1034,                 1.6961,                0.57533,                0.19622,                 0.1716,                0.05697,                0.06085,                 4.6722,                 2.0647,               0.019231,               0.019231,               0.019231
                     22,                0.04011,                 2.1702,                 1.6435,                0.57013,                0.09862,                0.13792,                0.07202,                0.05182,                 4.6006,                 1.9002,                0.01914,                0.01914,                0.01914
                     23,                0.04108,                 2.3425,                 1.6531,                0.41382,                0.57242,                 0.4015,                0.21946,                0.04359,                 2.1825,                 1.6799,                0.01905,                0.01905,                0.01905
                     24,                0.03982,                 2.1089,                 1.6427,                0.42727,                0.40741,                0.35754,                 0.1551,                0.05261,                 3.0916,                 1.8207,               0.018959,               0.018959,               0.018959
                     25,                0.04055,                 2.1173,                 1.6354,                0.51201,                0.26211,                0.16841,                0.08428,                0.05368,                 3.9635,                 1.8759,               0.018868,               0.018868,               0.018868
                     26,                0.03942,                 2.1585,                 1.6139,                 0.4029,                0.73647,                0.43634,                0.22074,                0.04697,                 2.1296,                 1.7584,               0.018777,               0.018777,               0.018777
                     27,                0.04099,                 2.2721,                   1.65,                0.44147,                0.61111,                0.46219,                0.24556,                 0.0419,                 1.8827,                 1.6377,               0.018687,               0.018687,               0.018687
                     28,                0.03878,                  2.078,                 1.5904,                0.37526,                0.45726,                0.35854,                0.17709,                0.04525,                 2.6062,                 1.5725,               0.018596,               0.018596,               0.018596
                     29,                0.03876,                 2.0503,                 1.5763,                0.40325,                0.60256,                0.41581,                0.24446,                0.04416,                 2.9585,                 1.6764,               0.018505,               0.018505,               0.018505
                     30,                0.03563,                  2.015,                 1.5116,                0.37166,                0.51852,                0.42078,                0.21645,                0.04775,                 2.4808,                 1.7927,               0.018414,               0.018414,               0.018414
                     31,                0.03817,                 1.9112,                 1.5709,                0.46981,                0.62608,                0.51835,                0.30959,                0.04204,                 2.2411,                 1.5783,               0.018324,               0.018324,               0.018324
                     32,                0.03823,                 1.9421,                 1.5809,                0.45066,                0.74929,                0.52744,                 0.3126,                0.03701,                 1.8085,                 1.4964,               0.018233,               0.018233,               0.018233
                     33,                0.03689,                 1.8694,                 1.5392,                0.49611,                0.75771,                0.53308,                0.32008,                0.03917,                  1.797,                 1.5343,               0.018142,               0.018142,               0.018142
                     34,                0.03623,                  1.821,                 1.5211,                0.42949,                0.66809,                0.51308,                0.28791,                0.04596,                 1.9297,                 1.6697,               0.018051,               0.018051,               0.018051
                     35,                0.03803,                 1.8628,                 1.5731,                0.43997,                0.64423,                0.51623,                0.27719,                0.04186,                 2.2908,                 1.6198,               0.017961,               0.017961,               0.017961
                     36,                0.03647,                 1.8423,                 1.5206,                0.38224,                0.32433,                0.25965,                0.10913,                0.05133,                 2.9999,                 1.8332,                0.01787,                0.01787,                0.01787
                     37,                0.03922,                 1.9179,                 1.6323,                0.45182,                0.54437,                0.45927,                0.24158,                0.04394,                 2.1652,                 1.6812,               0.017779,               0.017779,               0.017779
                     38,                0.03669,                 1.8917,                 1.5269,                  0.471,                0.38746,                0.33347,                0.15799,                0.04785,                 3.2031,                 1.7528,               0.017689,               0.017689,               0.017689
                     39,                0.03575,                 1.8261,                 1.4902,                0.46633,                0.26043,                0.40337,                0.22424,                0.04661,                 3.7389,                 1.6244,               0.017598,               0.017598,               0.017598
                     40,                0.03543,                 1.7226,                 1.4649,                0.41648,                0.71811,                0.46328,                0.25794,                0.04207,                 2.1682,                 1.5701,               0.017507,               0.017507,               0.017507
                     41,                0.03571,                 1.8047,                 1.4723,                0.47716,                0.73288,                0.51825,                0.28815,                0.04185,                 1.7957,                 1.6251,               0.017416,               0.017416,               0.017416
                     42,                 0.0361,                  1.778,                 1.4806,                0.44566,                0.63248,                0.49114,                0.30122,                0.03804,                 1.7482,                 1.4683,               0.017326,               0.017326,               0.017326
                     43,                0.03468,                 1.7716,                 1.4506,                0.47652,                0.54004,                0.53297,                0.28829,                0.04527,                  2.187,                 1.7103,               0.017235,               0.017235,               0.017235
                     44,                0.03742,                 1.7619,                 1.5187,                 0.4123,                0.65013,                0.51752,                0.25105,                0.05011,                 2.1614,                 1.8319,               0.017144,               0.017144,               0.017144
                     45,                0.03566,                 1.7691,                 1.4819,                0.46223,                0.75499,                0.52611,                 0.3145,                0.03949,                 1.7098,                 1.4967,               0.017053,               0.017053,               0.017053
                     46,                0.03474,                 1.7241,                 1.4576,                0.57558,                0.60103,                0.57473,                 0.3011,                0.04371,                 1.8875,                 1.5565,               0.016963,               0.016963,               0.016963
                     47,                0.03409,                 1.6929,                 1.4351,                0.43005,                0.75104,                0.50508,                0.28162,                 0.0437,                 1.9156,                 1.5497,               0.016872,               0.016872,               0.016872
                     48,                0.03445,                 1.6974,                 1.4295,                0.49891,                0.75552,                0.59242,                0.36091,                 0.0375,                 1.7574,                 1.4417,               0.016781,               0.016781,               0.016781
                     49,                0.03319,                 1.6794,                 1.3924,                0.46514,                0.64957,                0.51276,                0.26266,                0.04355,                 2.3428,                 1.6741,                0.01669,                0.01669,                0.01669
                     50,                0.03316,                 1.5939,                 1.4066,                0.45873,                0.73951,                0.53822,                0.29032,                0.04113,                 1.9923,                 1.5185,                 0.0166,                 0.0166,                 0.0166
                     51,                0.03509,                 1.6507,                 1.4305,                0.46707,                0.71937,                0.52945,                0.31332,                 0.0391,                  1.736,                 1.5363,               0.016509,               0.016509,               0.016509
                     52,                0.03418,                  1.649,                 1.4397,                0.41398,                0.24285,                0.21591,                0.08365,                0.04905,                 3.7699,                 1.7897,               0.016418,               0.016418,               0.016418
                     53,                0.03349,                 1.6707,                 1.4062,                0.46474,                0.76849,                0.53627,                 0.3228,                 0.0394,                 1.6814,                 1.4942,               0.016327,               0.016327,               0.016327
                     54,                0.03472,                 1.7036,                 1.4441,                0.37707,                0.31339,                0.25166,                0.14906,                0.04716,                 3.5008,                 1.6291,               0.016237,               0.016237,               0.016237
                     55,                0.03492,                 1.6403,                 1.4435,                 0.6198,                0.57218,                0.56738,                0.32286,                0.04014,                 1.9833,                 1.5512,               0.016146,               0.016146,               0.016146
                     56,                0.03438,                 1.7074,                 1.4446,                0.49646,                0.65597,                 0.5172,                0.26067,                0.04335,                 1.9281,                 1.6318,               0.016055,               0.016055,               0.016055
                     57,                0.03521,                 1.6759,                  1.463,                 0.4822,                0.79083,                0.61452,                0.37815,                0.03774,                 1.5698,                 1.4381,               0.015964,               0.015964,               0.015964
                     58,                 0.0328,                 1.5614,                 1.3737,                0.59356,                 0.6658,                0.61292,                0.31394,                 0.0458,                 1.6026,                 1.8051,               0.015874,               0.015874,               0.015874
                     59,                 0.0339,                 1.5927,                 1.4182,                0.44309,                0.69088,                0.53657,                0.29942,                0.04066,                 1.8734,                 1.4949,               0.015783,               0.015783,               0.015783
                     60,                0.03266,                 1.6476,                 1.3874,                0.50338,                0.57835,                0.57119,                0.33329,                0.04226,                 1.8239,                 1.5509,               0.015692,               0.015692,               0.015692
                     61,                0.03341,                 1.5484,                  1.421,                0.49486,                0.52564,                0.51488,                0.32652,                0.04158,                 2.0958,                 1.5761,               0.015601,               0.015601,               0.015601
                     62,                0.03297,                 1.5555,                 1.3857,                0.21631,                 0.4188,                0.26667,                0.12286,                0.04884,                 2.9842,                 1.7345,               0.015511,               0.015511,               0.015511
                     63,                0.03381,                 1.6618,                 1.3931,                 0.4557,                 0.6339,                0.56927,                0.31954,                0.04339,                 1.7862,                 1.6238,                0.01542,                0.01542,                0.01542
                     64,                0.03278,                  1.571,                 1.3746,                0.63372,                0.57892,                0.61691,                0.33255,                 0.0416,                 1.7432,                 1.5321,               0.015329,               0.015329,               0.015329
                     65,                0.03224,                 1.5434,                 1.3873,                0.45398,                0.73077,                0.60361,                0.33016,                0.04539,                 1.7297,                 1.6509,               0.015238,               0.015238,               0.015238
                     66,                0.03534,                 1.6141,                  1.458,                0.41552,                0.55964,                0.45487,                0.28508,                0.04017,                 2.3616,                 1.5569,               0.015148,               0.015148,               0.015148
                     67,                0.03337,                 1.5684,                 1.4069,                0.46501,                0.67949,                0.51848,                0.30279,                0.04119,                 3.4184,                 1.5523,               0.015057,               0.015057,               0.015057
                     68,                0.03307,                 1.5682,                 1.4029,                0.48267,                0.77066,                0.58403,                0.32899,                0.04178,                 1.5863,                 1.5665,               0.014966,               0.014966,               0.014966
                     69,                0.03392,                 1.5601,                 1.4105,                0.59198,                0.63818,                0.65051,                 0.3907,                0.03824,                 1.5234,                 1.4424,               0.014875,               0.014875,               0.014875
