                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01022,                 9.8231,                  2.227,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.093812,              0.0088116,              0.0088116
                      2,                0.01228,                 8.8835,                 2.5078,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.08719,                0.01819,                0.01819
                      3,                 0.0121,                 8.6816,                 2.4906,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.080548,               0.027548,               0.027548
                      4,                 0.0123,                 9.7596,                 2.5458,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.073885,               0.036885,               0.036885
                      5,                0.01186,                 8.7785,                 2.4857,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.067201,               0.046201,               0.046201
                      6,                 0.0123,                 8.5956,                 2.5229,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.060496,               0.055496,               0.055496
                      7,                  0.012,                 8.6082,                 2.5163,                0.00067,                 0.1567,                0.00083,                0.00012,                    nan,                    nan,                    nan,               0.058352,               0.058352,               0.058352
                      8,                0.01211,                 8.6831,                 2.4045,                0.00067,                 0.1567,                0.00083,                0.00012,                    nan,                    nan,                    nan,               0.058286,               0.058286,               0.058286
                      9,                0.01181,                 8.5377,                 2.2903,                  9e-05,                0.03846,                  5e-05,                  2e-05,                0.01332,                    inf,                  3.216,               0.058221,               0.058221,               0.058221
                     10,                0.01183,                 8.5923,                 2.3257,                0.00299,                0.52137,                0.00287,                0.00098,                0.01197,                 8.9573,                 2.3625,               0.058155,               0.058155,               0.058155
                     11,                0.01184,                 8.4152,                 2.3637,                0.00299,                0.52137,                0.00287,                0.00098,                    nan,                    nan,                    nan,                0.05809,                0.05809,                0.05809
