metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00265,0.74929,0.04239,0.01234,0.006,11.00066,1.51961,0,1720061525,,False,1,50bea_00003,2024-07-04_02-52-05,33.393253803253174,33.393253803253174,16926,b70a672424f1,172.17.0.3,33.393253803253174,1
0.00324,0.88746,0.06558,0.04048,0.00465,10.27581,1.20635,1,1720061529,,False,2,50bea_00003,2024-07-04_02-52-09,3.8153672218322754,37.20862102508545,16926,b70a672424f1,172.17.0.3,37.20862102508545,2
0.00231,0.64957,0.17097,0.0943,0.00495,9.58581,1.14503,2,1720061547,,False,3,50bea_00003,2024-07-04_02-52-27,17.86541223526001,55.07403326034546,16926,b70a672424f1,172.17.0.3,55.07403326034546,3
0.00309,0.87464,0.3606,0.17685,0.00573,8.82428,1.29699,3,1720061617,,False,4,50bea_00003,2024-07-04_02-53-37,70.55030608177185,125.62433934211731,16926,b70a672424f1,172.17.0.3,125.62433934211731,4
0.55264,0.18415,0.33763,0.17556,0.00513,8.1973,1.21263,4,1720061620,,False,5,50bea_00003,2024-07-04_02-53-40,2.4844796657562256,128.10881900787354,16926,b70a672424f1,172.17.0.3,128.10881900787354,5
0.79763,0.37872,0.54573,0.27921,0.00608,7.21959,1.35206,5,1720061624,,False,6,50bea_00003,2024-07-04_02-53-44,3.672311544418335,131.78113055229187,16926,b70a672424f1,172.17.0.3,131.78113055229187,6
0.37597,0.68234,0.55552,0.23006,0.00659,7.35689,1.4498,6,1720061628,,False,7,50bea_00003,2024-07-04_02-53-48,3.9416494369506836,135.72277998924255,16926,b70a672424f1,172.17.0.3,135.72277998924255,7
0.8086,0.53706,0.70653,0.34033,0.0063,5.08641,1.4079,7,1720061630,,False,8,50bea_00003,2024-07-04_02-53-50,2.4121336936950684,138.13491368293762,16926,b70a672424f1,172.17.0.3,138.13491368293762,8
0.54852,0.72396,0.71825,0.33939,0.00629,5.15069,1.4098,8,1720061633,,False,9,50bea_00003,2024-07-04_02-53-53,2.838024139404297,140.97293782234192,16926,b70a672424f1,172.17.0.3,140.97293782234192,9
0.48289,0.65658,0.58403,0.29387,0.00629,7.04283,1.43191,9,1720061635,,False,10,50bea_00003,2024-07-04_02-53-55,2.598797559738159,143.57173538208008,16926,b70a672424f1,172.17.0.3,143.57173538208008,10
0.54133,0.71848,0.68177,0.3167,0.00648,5.56191,1.45154,10,1720061639,,False,11,50bea_00003,2024-07-04_02-53-59,3.099187135696411,146.6709225177765,16926,b70a672424f1,172.17.0.3,146.6709225177765,11
0.594,0.60541,0.67159,0.33452,0.00642,5.13189,1.45628,11,1720061643,,False,12,50bea_00003,2024-07-04_02-54-03,4.920338869094849,151.59126138687134,16926,b70a672424f1,172.17.0.3,151.59126138687134,12
0.39234,0.80051,0.66297,0.35786,0.00618,6.2615,1.40623,12,1720061648,,False,13,50bea_00003,2024-07-04_02-54-08,4.160035610198975,155.7512969970703,16926,b70a672424f1,172.17.0.3,155.7512969970703,13
