metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00246,0.7037,0.03138,0.01388,0.01522,27.00758,1.40736,0,1720062014,,False,1,50bea_00007,2024-07-04_03-00-14,168.92476105690002,168.92476105690002,22140,b70a672424f1,172.17.0.3,168.92476105690002,1
0.00324,0.90598,0.13517,0.05791,0.01498,24.16428,1.19276,1,1720062017,,False,2,50bea_00007,2024-07-04_03-00-17,2.973151206970215,171.89791226387024,22140,b70a672424f1,172.17.0.3,171.89791226387024,2
0.00145,0.41026,0.09071,0.01953,0.01625,23.05851,1.25184,2,1720062019,,False,3,50bea_00007,2024-07-04_03-00-19,2.867816209793091,174.76572847366333,22140,b70a672424f1,172.17.0.3,174.76572847366333,3
0.00258,0.73647,0.25113,0.15215,0.01515,21.74783,1.18223,3,1720062022,,False,4,50bea_00007,2024-07-04_03-00-22,2.869420289993286,177.63514876365662,22140,b70a672424f1,172.17.0.3,177.63514876365662,4
0.52054,0.39481,0.44105,0.24025,0.01698,17.70862,1.26883,4,1720062025,,False,5,50bea_00007,2024-07-04_03-00-25,2.6866087913513184,180.32175755500793,22140,b70a672424f1,172.17.0.3,180.32175755500793,5
0.39771,0.32944,0.32349,0.17371,0.01754,16.83961,1.37029,5,1720062028,,False,6,50bea_00007,2024-07-04_03-00-28,2.6055102348327637,182.9272677898407,22140,b70a672424f1,172.17.0.3,182.9272677898407,6
0.51506,0.54264,0.47474,0.26615,0.01889,14.09676,1.48224,6,1720062030,,False,7,50bea_00007,2024-07-04_03-00-30,2.4336376190185547,185.36090540885925,22140,b70a672424f1,172.17.0.3,185.36090540885925,7
0.41158,0.73864,0.4664,0.24233,0.01784,14.05277,1.42974,7,1720062033,,False,8,50bea_00007,2024-07-04_03-00-33,2.5590291023254395,187.9199345111847,22140,b70a672424f1,172.17.0.3,187.9199345111847,8
0.4063,0.50459,0.37951,0.20287,0.01914,16.02754,1.43555,8,1720062035,,False,9,50bea_00007,2024-07-04_03-00-35,2.692549228668213,190.6124837398529,22140,b70a672424f1,172.17.0.3,190.6124837398529,9
0.40455,0.56125,0.39778,0.2311,0.01678,14.09068,1.28256,9,1720062038,,False,10,50bea_00007,2024-07-04_03-00-38,2.9293484687805176,193.54183220863342,22140,b70a672424f1,172.17.0.3,193.54183220863342,10
0.41556,0.80322,0.48624,0.30992,0.01519,12.67952,1.19618,10,1720062041,,True,11,50bea_00007,2024-07-04_03-00-41,2.6789417266845703,196.220773935318,22140,b70a672424f1,172.17.0.3,196.220773935318,11
