metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00282,0.80484,0.09893,0.03201,0.02049,17.20708,1.53482,0,1720152985,,False,1,15aff_00004,2024-07-05_04-16-25,40.7046217918396,40.7046217918396,48703,b70a672424f1,172.17.0.3,40.7046217918396,1
0.00211,0.61538,0.16122,0.03943,0.02246,15.53714,1.51228,1,1720152988,,False,2,15aff_00004,2024-07-05_04-16-28,3.3322901725769043,44.036911964416504,48703,b70a672424f1,172.17.0.3,44.036911964416504,2
0.00216,0.61254,0.11793,0.02902,0.02382,15.30724,1.50179,2,1720152998,,False,3,15aff_00004,2024-07-05_04-16-38,9.798550128936768,53.83546209335327,48703,b70a672424f1,172.17.0.3,53.83546209335327,3
0.74613,0.08974,0.44134,0.16301,0.02459,13.20275,1.5779,3,1720153001,,False,4,15aff_00004,2024-07-05_04-16-41,3.1014156341552734,56.936877727508545,48703,b70a672424f1,172.17.0.3,56.936877727508545,4
0.62449,0.28348,0.47641,0.14916,0.02679,12.10689,1.74411,4,1720153545,,False,5,15aff_00004,2024-07-05_04-25-45,543.8529405593872,600.7898182868958,48703,b70a672424f1,172.17.0.3,600.7898182868958,5
0.54159,0.47863,0.41692,0.11065,0.02912,11.95123,2.02867,5,1720153548,,False,6,15aff_00004,2024-07-05_04-25-48,3.3366482257843018,604.12646651268,48703,b70a672424f1,172.17.0.3,604.12646651268,6
0.4999,0.63346,0.56857,0.17964,0.02803,8.89784,1.8342,6,1720153604,,False,7,15aff_00004,2024-07-05_04-26-44,56.20443391799927,660.3309004306793,48703,b70a672424f1,172.17.0.3,660.3309004306793,7
0.41191,0.51283,0.46856,0.10811,0.02935,11.82912,1.98276,7,1720153608,,False,8,15aff_00004,2024-07-05_04-26-48,3.2854490280151367,663.6163494586945,48703,b70a672424f1,172.17.0.3,663.6163494586945,8
0.45688,0.79063,0.54624,0.19837,0.02495,9.38043,1.81886,8,1720153611,,False,9,15aff_00004,2024-07-05_04-26-51,3.227264404296875,666.8436138629913,48703,b70a672424f1,172.17.0.3,666.8436138629913,9
0.50161,0.38963,0.41085,0.11349,0.03015,10.04655,1.98813,9,1720154409,,False,10,15aff_00004,2024-07-05_04-40-09,798.2509939670563,1465.0946078300476,48703,b70a672424f1,172.17.0.3,1465.0946078300476,10
0.43219,0.69801,0.55112,0.19426,0.02819,7.63456,1.84891,10,1720154536,,False,11,15aff_00004,2024-07-05_04-42-16,126.54922342300415,1591.6438312530518,48703,b70a672424f1,172.17.0.3,1591.6438312530518,11
