                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8634,                  4.803,                 1.5424,                0.00222,                0.64103,                0.02369,                0.01718,                  1.219,                 3.9087,                 1.1818,             0.00025005,             0.00025005,             0.00025005
                      2,                  1.338,                 3.1743,                 1.1522,                0.00202,                0.60114,                0.02116,                0.01566,                   1.41,                 3.9718,                  1.265,             0.00051421,             0.00051421,             0.00051421
                      3,                 1.2456,                  2.745,                 1.1171,                 0.0015,                0.42023,                 0.0943,                0.04786,                 1.3131,                 3.5374,                 1.1264,             0.00077573,             0.00077573,             0.00077573
                      4,                 1.2854,                 2.6209,                 1.1314,                0.34648,                0.14114,                0.20341,                0.12727,                 1.4809,                  3.278,                 1.2634,              0.0010346,              0.0010346,              0.0010346
                      5,                 1.2071,                 2.4164,                 1.0938,                0.54634,                 0.1311,                0.24447,                0.15732,                 1.5245,                 3.2672,                 1.4031,              0.0012909,              0.0012909,              0.0012909
                      6,                  1.176,                 2.2639,                 1.1026,                0.62423,                 0.1453,                0.19199,                0.12429,                 1.5493,                 3.3634,                 1.4411,              0.0015445,              0.0015445,              0.0015445
                      7,                 1.1953,                 2.2623,                 1.1007,                0.43388,                0.48318,                0.35872,                 0.2346,                 1.4653,                 2.4891,                 1.3515,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.2337,                 2.0855,                 1.0926,                0.38055,                0.60898,                0.38503,                0.23834,                 1.3412,                 2.1791,                 1.1764,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1093,                 1.9888,                 1.0593,                0.48619,                0.53989,                0.48882,                0.30377,                  1.309,                 1.9425,                 1.1628,               0.001601,               0.001601,               0.001601
                     10,                 1.2333,                 1.8745,                 1.1048,                0.49258,                0.59195,                0.50528,                0.33586,                 1.2131,                 1.8408,                 1.1358,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1744,                 1.8361,                   1.09,                0.45727,                0.71974,                0.55354,                0.34036,                 1.3892,                 1.7113,                   1.25,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.0941,                 1.7418,                 1.0607,                0.43824,                0.73077,                0.52133,                 0.3781,                 1.1223,                   1.48,                   1.08,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.0512,                 1.5623,                 1.0266,                0.47613,                0.75499,                 0.5562,                0.38374,                 1.1868,                  1.436,                 1.0942,               0.001568,               0.001568,               0.001568
                     14,                 1.0759,                 1.5613,                 1.0472,                0.54218,                 0.6339,                0.55052,                0.35264,                 1.2543,                 1.7791,                 1.1424,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.0911,                 1.5201,                 1.0511,                0.44373,                0.67379,                0.58092,                0.36223,                 1.3833,                 1.3567,                 1.1696,              0.0015515,              0.0015515,              0.0015515
                     16,                  1.052,                   1.44,                 1.0501,                0.61919,                0.58832,                 0.6662,                0.45465,                 1.1953,                  1.243,                 1.1111,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0573,                 1.4526,                 1.0368,                0.49738,                0.76925,                0.62093,                0.44268,                 1.1442,                 1.3999,                 1.1329,               0.001535,               0.001535,               0.001535
                     18,                 1.0549,                 1.4163,                 1.0498,                0.50109,                0.73491,                0.66321,                0.46599,                 1.1237,                 1.3029,                 1.0724,              0.0015267,              0.0015267,              0.0015267
                     19,                0.98498,                 1.3483,                 1.0085,                0.58225,                0.60969,                0.64466,                0.39129,                 1.3631,                 1.4294,                  1.185,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0387,                 1.3539,                 1.0415,                0.57479,                0.62393,                0.66918,                0.46286,                 1.1595,                  1.271,                 1.0938,              0.0015102,              0.0015102,              0.0015102
                     21,                0.99314,                 1.2302,                 1.0257,                0.54102,                0.68669,                0.63858,                0.37734,                 1.2822,                 1.4403,                 1.1599,               0.001502,               0.001502,               0.001502
                     22,                 1.0001,                 1.3112,                 1.0086,                0.59889,                0.64245,                0.64649,                0.42262,                 1.2827,                 1.3048,                 1.1862,              0.0014937,              0.0014937,              0.0014937
                     23,                0.96372,                 1.1953,                0.99817,                0.69427,                0.66809,                0.70665,                0.49029,                  1.128,                 1.2882,                 1.0689,              0.0014855,              0.0014855,              0.0014855
                     24,                0.98575,                 1.2088,                0.98872,                0.59194,                0.67379,                0.68564,                 0.4691,                 1.2213,                 1.2961,                  1.164,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.0077,                 1.2295,                 1.0352,                0.63441,                0.71225,                0.68676,                0.43966,                 1.3706,                 1.3199,                 1.1858,               0.001469,               0.001469,               0.001469
                     26,                 1.0031,                 1.1343,                 1.0264,                0.67056,                0.74786,                0.75628,                0.52128,                 1.1539,                 1.0897,                 1.0859,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.0112,                 1.2067,                 1.0033,                0.66933,                0.73023,                0.76514,                0.51699,                  1.226,                 1.0803,                 1.0952,              0.0014525,              0.0014525,              0.0014525
                     28,                0.99921,                 1.1235,                 1.0074,                0.60133,                0.65901,                0.67725,                0.46072,                 1.2948,                 1.4141,                 1.1645,              0.0014442,              0.0014442,              0.0014442
                     29,                0.98457,                 1.1953,                 1.0083,                0.66317,                0.66706,                    0.7,                0.49192,                 1.2084,                 1.1999,                 1.1264,               0.001436,               0.001436,               0.001436
                     30,                0.94883,                 1.1204,                 1.0174,                 0.6002,                0.52991,                0.63916,                0.42858,                 1.2754,                  1.368,                 1.1321,              0.0014277,              0.0014277,              0.0014277
                     31,                0.96103,                 1.2074,                 1.0125,                0.58071,                0.66597,                0.69253,                0.46355,                 1.2565,                 1.2892,                 1.1376,              0.0014195,              0.0014195,              0.0014195
                     32,                0.97248,                 1.0935,                 1.0126,                0.60706,                0.62108,                 0.6651,                0.42001,                 1.3951,                  1.281,                  1.184,              0.0014112,              0.0014112,              0.0014112
                     33,                0.91298,                 1.0827,                0.99338,                 0.4864,                0.76211,                0.66331,                0.43631,                 1.3278,                 1.3517,                 1.1648,              0.0014029,              0.0014029,              0.0014029
