                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9557,                 6.1225,                 1.6163,                0.09275,                0.32906,                0.04558,                0.02601,                 1.5572,                  29.59,                 1.6676,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.3774,                 2.8948,                 1.2702,                0.25643,                0.10114,                0.04896,                0.02812,                 1.3955,                 3.9869,                 1.2766,             0.00051421,             0.00051421,             0.00051421
                      3,                 1.1494,                 2.0311,                 1.0978,                0.32801,                0.50946,                0.35821,                0.19011,                  1.582,                  2.036,                 1.3799,             0.00077573,             0.00077573,             0.00077573
                      4,                 1.1701,                 1.7469,                 1.1501,                 0.4235,                0.76781,                0.46221,                0.29239,                 1.2764,                 1.5514,                 1.2386,              0.0010346,              0.0010346,              0.0010346
                      5,                  1.242,                 1.6473,                 1.1249,                0.23736,                0.44169,                0.19823,                0.09189,                 1.9004,                 3.6641,                 1.5966,              0.0012909,              0.0012909,              0.0012909
                      6,                 1.1715,                 1.5857,                 1.0737,                0.33859,                0.56854,                0.38037,                0.24817,                 1.3644,                 1.9914,                 1.2814,              0.0015445,              0.0015445,              0.0015445
                      7,                 1.1465,                 1.6051,                  1.076,                0.23952,                0.36606,                 0.2195,                0.11075,                 1.7556,                 7.0065,                 1.6525,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1958,                  1.479,                 1.0772,                0.04935,                0.26496,                0.03238,                0.01422,                 2.1854,                 13.033,                 2.0744,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.0977,                 1.3409,                  1.058,                0.36799,                0.32764,                0.22621,                0.11808,                 2.1655,                 2.3477,                 1.8175,               0.001601,               0.001601,               0.001601
                     10,                 1.0974,                 1.3794,                 1.0596,                0.43649,                0.76923,                0.56791,                0.38367,                 1.1482,                 1.3988,                 1.1134,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1036,                 1.2901,                  1.066,                0.48588,                0.83099,                0.56594,                0.36289,                    1.2,                 1.3657,                 1.1907,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.1132,                  1.313,                 1.0863,                 0.4383,                0.80169,                0.58614,                0.38447,                 1.1795,                 1.2853,                 1.1181,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1189,                 1.2621,                 1.0509,                0.48591,                0.81755,                0.54495,                0.36699,                 1.1498,                 1.2664,                 1.1052,               0.001568,               0.001568,               0.001568
                     14,                 1.0572,                 1.2485,                 1.0541,                0.46351,                0.78765,                0.54162,                0.34683,                  1.203,                 1.3708,                 1.1657,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.0019,                 1.2225,                 1.0129,                0.48544,                0.66903,                0.49975,                 0.2937,                 1.3545,                  1.481,                 1.2823,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0344,                 1.1847,                 1.0135,                0.44633,                0.86895,                0.59107,                0.39162,                 1.1896,                 1.1825,                 1.1741,              0.0015432,              0.0015432,              0.0015432
                     17,                0.99814,                 1.1825,                 1.0185,                0.45257,                0.86182,                0.55625,                0.37115,                 1.1586,                 1.2684,                 1.1268,               0.001535,               0.001535,               0.001535
                     18,                 1.0239,                 1.1514,                 1.0374,                0.48715,                0.77493,                0.61719,                 0.4222,                 1.0729,                 1.2631,                 1.0831,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0068,                 1.1536,                 1.0064,                0.56484,                0.78083,                0.67592,                0.48349,                 1.0699,                 1.1737,                 1.0901,              0.0015185,              0.0015185,              0.0015185
                     20,                0.93762,                 1.1483,                 1.0033,                0.47666,                0.81144,                0.62824,                0.42872,                 1.1175,                 1.1891,                 1.1096,              0.0015102,              0.0015102,              0.0015102
                     21,                0.96542,                 1.1669,                 1.0162,                0.53845,                0.70992,                0.60042,                0.36574,                 1.1429,                 1.1869,                 1.1099,               0.001502,               0.001502,               0.001502
                     22,                0.95824,                 1.1326,                 1.0115,                 0.4554,                0.86813,                0.60076,                0.41858,                 1.1175,                 1.1957,                 1.1111,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.0091,                  1.144,                 1.0269,                0.60324,                0.63252,                0.64612,                0.43428,                 1.1231,                 1.1464,                 1.1122,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.0079,                 1.1433,                 1.0155,                0.48285,                 0.8122,                0.64593,                 0.4316,                 1.1285,                  1.225,                 1.1133,              0.0014772,              0.0014772,              0.0014772
                     25,                0.94973,                 1.0794,                 0.9864,                0.56317,                0.75977,                0.69314,                0.50009,                  1.087,                 1.0565,                 1.0742,               0.001469,               0.001469,               0.001469
                     26,                0.91898,                 1.0074,                0.96941,                0.63788,                0.71937,                0.71728,                  0.482,                 1.1792,                  1.111,                 1.1055,              0.0014607,              0.0014607,              0.0014607
                     27,                0.93195,                 1.0606,                 1.0103,                0.67326,                0.66671,                0.65534,                0.43309,                 1.1738,                 1.2744,                 1.1327,              0.0014525,              0.0014525,              0.0014525
                     28,                0.93252,                 1.0131,                 1.0002,                0.67253,                0.64567,                 0.6976,                0.48101,                 1.0949,                 1.1646,                 1.0972,              0.0014442,              0.0014442,              0.0014442
                     29,                0.92701,                0.99494,                0.99274,                0.57522,                0.70655,                0.69011,                0.46883,                 1.1653,                 1.1562,                 1.1243,               0.001436,               0.001436,               0.001436
                     30,                0.96166,                  1.074,                 1.0149,                0.65389,                0.62787,                0.65128,                0.48765,                 1.0528,                 1.3619,                 1.0918,              0.0014277,              0.0014277,              0.0014277
                     31,                0.95061,                 1.0218,                 1.0016,                 0.6997,                0.70513,                 0.7029,                0.51567,                  1.093,                 1.1468,                 1.0855,              0.0014195,              0.0014195,              0.0014195
                     32,                0.95651,                 1.0141,                 1.0032,                  0.711,                0.76329,                0.80368,                0.55839,                 1.0585,                 1.0189,                 1.0807,              0.0014112,              0.0014112,              0.0014112
                     33,                0.92497,                 1.0258,                 1.0083,                0.79319,                0.71711,                0.80017,                0.58047,                 1.0397,                 1.0424,                 1.0654,              0.0014029,              0.0014029,              0.0014029
                     34,                0.87558,                0.95919,                0.95914,                0.64861,                0.84473,                0.78677,                0.57781,                 1.0672,                 1.0364,                 1.0617,              0.0013947,              0.0013947,              0.0013947
                     35,                  0.917,                0.94145,                 0.9976,                0.61008,                0.77778,                0.74947,                0.54952,                 1.0397,                 1.1707,                  1.059,              0.0013864,              0.0013864,              0.0013864
                     36,                0.89245,                0.96641,                0.98639,                0.49476,                0.80384,                0.63632,                0.41306,                 1.1694,                 1.3569,                 1.1135,              0.0013782,              0.0013782,              0.0013782
                     37,                0.89092,                0.97745,                0.97429,                0.64499,                0.81054,                0.77917,                0.58384,                 1.0334,                 1.0116,                 1.0329,              0.0013699,              0.0013699,              0.0013699
                     38,                0.91688,                0.98714,                0.98572,                0.73619,                0.69313,                0.77197,                0.59504,                0.99462,                 1.0205,                 1.0131,              0.0013617,              0.0013617,              0.0013617
                     39,                0.88526,                 0.9126,                0.95849,                0.76862,                0.66382,                 0.7399,                0.53692,                 1.1355,                 1.0777,                 1.0643,              0.0013534,              0.0013534,              0.0013534
                     40,                0.91358,                0.94962,                 0.9775,                0.64608,                0.80484,                 0.8138,                 0.5944,                 1.0517,                 1.0077,                 1.0224,              0.0013452,              0.0013452,              0.0013452
                     41,                0.86322,                0.95567,                0.97931,                0.69433,                0.79342,                0.79014,                0.59368,                 1.0067,                 1.1441,                   1.04,              0.0013369,              0.0013369,              0.0013369
                     42,                0.89039,                0.90471,                0.98608,                0.86676,                0.79334,                0.86141,                 0.6245,                 1.0123,                0.91106,                 1.0632,              0.0013287,              0.0013287,              0.0013287
                     43,                0.89986,                0.84055,                0.96635,                0.91779,                0.69492,                0.85407,                0.64847,                0.97598,                0.86884,                  1.033,              0.0013204,              0.0013204,              0.0013204
                     44,                0.91214,                0.85349,                0.99444,                0.79041,                0.73219,                0.79639,                0.54639,                 1.0789,                0.95863,                 1.0834,              0.0013122,              0.0013122,              0.0013122
                     45,                0.89681,                0.86733,                0.98148,                 0.8886,                 0.7265,                0.79771,                0.56087,                 1.0277,                0.96625,                 1.0442,              0.0013039,              0.0013039,              0.0013039
                     46,                0.84644,                0.87158,                0.95335,                0.80731,                0.77844,                 0.8374,                0.57314,                 1.0071,                0.90029,                 1.0421,              0.0012957,              0.0012957,              0.0012957
                     47,                0.88314,                0.90507,                0.96642,                0.87049,                0.78063,                0.85069,                 0.6021,                 1.0188,                0.86138,                 1.0457,              0.0012874,              0.0012874,              0.0012874
                     48,                0.86408,                0.85132,                 0.9626,                0.75015,                0.81608,                0.82656,                0.59998,                 1.0078,                0.89265,                 1.0356,              0.0012792,              0.0012792,              0.0012792
                     49,                0.80944,                0.82568,                0.93167,                0.80496,                 0.7265,                0.82612,                0.58626,                 1.0054,                0.96296,                 1.0231,              0.0012709,              0.0012709,              0.0012709
                     50,                 0.8469,                0.80691,                0.94011,                0.88775,                0.79915,                0.86888,                0.61747,                 1.0191,                 0.8284,                 1.0776,              0.0012627,              0.0012627,              0.0012627
                     51,                0.82091,                0.77361,                0.95258,                0.77791,                0.68284,                 0.7762,                0.53374,                 1.1769,                 1.0922,                 1.1333,              0.0012544,              0.0012544,              0.0012544
                     52,                0.85445,                0.85528,                0.97014,                0.71603,                0.71552,                0.78445,                0.55839,                 1.0385,                 1.1791,                 1.0437,              0.0012462,              0.0012462,              0.0012462
                     53,                0.84093,                0.83528,                0.94743,                0.68431,                0.71764,                0.78619,                0.56509,                0.98929,                 0.9992,                 1.0074,              0.0012379,              0.0012379,              0.0012379
                     54,                0.81039,                0.86299,                0.91427,                0.84004,                0.67521,                0.78615,                0.54407,                  1.086,                0.99595,                 1.0797,              0.0012297,              0.0012297,              0.0012297
                     55,                0.84425,                0.82977,                0.97043,                0.77672,                0.80484,                0.85495,                0.63961,                0.95912,                0.82069,                0.99545,              0.0012214,              0.0012214,              0.0012214
                     56,                0.78866,                0.74677,                0.92402,                0.73347,                0.83048,                0.84044,                0.62431,                0.98956,                0.87303,                 1.0024,              0.0012132,              0.0012132,              0.0012132
                     57,                0.81634,                0.78062,                0.94662,                0.83163,                0.74359,                 0.8408,                0.60271,                 1.0685,                0.90336,                 1.0331,              0.0012049,              0.0012049,              0.0012049
                     58,                0.79775,                 0.7331,                 0.9024,                0.76307,                0.75181,                0.82187,                0.59788,                  1.027,                0.94404,                 1.0267,              0.0011967,              0.0011967,              0.0011967
                     59,                0.79564,                0.74366,                0.91573,                0.84441,                0.68661,                0.84422,                0.60361,                 1.0426,                0.88481,                 1.0433,              0.0011884,              0.0011884,              0.0011884
                     60,                 0.8097,                0.72807,                0.93935,                0.87105,                0.71185,                0.86133,                 0.6377,                0.96831,                0.93397,                 1.0211,              0.0011802,              0.0011802,              0.0011802
                     61,                0.81891,                0.70679,                 0.9569,                0.70215,                0.74545,                0.80611,                0.59039,                 1.0244,                0.95557,                 1.0559,              0.0011719,              0.0011719,              0.0011719
                     62,                0.82595,                0.69578,                 0.9475,                0.75342,                0.73789,                0.82058,                 0.6058,                0.99833,                 0.9906,                 1.0342,              0.0011636,              0.0011636,              0.0011636
                     63,                0.77421,                0.68309,                0.93526,                0.89425,                0.79345,                0.88138,                0.65272,                 0.9935,                0.77913,                 1.0343,              0.0011554,              0.0011554,              0.0011554
                     64,                 0.7983,                0.69364,                0.94877,                 0.6383,                0.79924,                0.80051,                0.59844,                 1.0175,                0.96933,                 1.0298,              0.0011471,              0.0011471,              0.0011471
                     65,                0.80959,                0.72605,                0.94564,                0.76994,                0.76638,                0.85175,                0.62092,                0.99751,                0.87384,                 1.0414,              0.0011389,              0.0011389,              0.0011389
                     66,                0.86881,                0.75272,                0.96806,                0.74822,                 0.7151,                0.84922,                0.65178,                0.93784,                0.90106,                0.99924,              0.0011306,              0.0011306,              0.0011306
                     67,                 0.7873,                0.75496,                0.94111,                0.86045,                0.72365,                0.86562,                0.65938,                 0.9245,                0.77499,                0.98448,              0.0011224,              0.0011224,              0.0011224
                     68,                 0.7645,                0.66962,                0.92421,                0.77383,                0.81354,                 0.8439,                0.62902,                0.95276,                0.80066,                0.98949,              0.0011141,              0.0011141,              0.0011141
                     69,                0.73174,                0.72779,                 0.9286,                 0.7791,                0.73656,                0.84753,                0.67144,                0.90905,                0.88997,                 0.9929,              0.0011059,              0.0011059,              0.0011059
                     70,                0.75631,                0.70163,                0.93925,                0.80347,                0.76781,                0.84294,                 0.6226,                0.97199,                0.89619,                 1.0058,              0.0010976,              0.0010976,              0.0010976
                     71,                0.75879,                0.65386,                0.93075,                 0.7532,                0.76254,                0.81886,                0.62814,                0.93889,                0.88569,                 1.0089,              0.0010894,              0.0010894,              0.0010894
                     72,                0.82542,                0.75002,                0.94319,                0.66717,                0.83721,                0.81348,                0.59161,                 1.0472,                0.94694,                 1.0484,              0.0010811,              0.0010811,              0.0010811
                     73,                0.74308,                0.68743,                0.92757,                0.63119,                0.79772,                 0.7992,                0.59702,                0.99058,                0.98351,                  1.071,              0.0010729,              0.0010729,              0.0010729
                     74,                 0.7601,                0.69167,                0.92664,                 0.7242,                 0.7849,                0.85612,                0.64617,                0.97952,                0.90164,                 1.0241,              0.0010646,              0.0010646,              0.0010646
                     75,                0.74325,                0.60215,                0.91642,                  0.867,                0.73282,                 0.8321,                0.61762,                 0.9671,                0.88897,                 1.0298,              0.0010564,              0.0010564,              0.0010564
                     76,                0.75491,                0.62724,                0.93023,                0.84404,                0.78044,                 0.8553,                 0.6242,                 1.0063,                0.92044,                 1.0363,              0.0010481,              0.0010481,              0.0010481
                     77,                0.76636,                0.61811,                0.92532,                0.84845,                0.80035,                0.86704,                0.63783,                0.97362,                0.81887,                 1.0368,              0.0010399,              0.0010399,              0.0010399
                     78,                0.77822,                 0.6643,                0.94323,                0.81005,                0.79961,                 0.8676,                 0.6102,                0.98352,                0.84931,                 1.0579,              0.0010316,              0.0010316,              0.0010316
                     79,                0.72125,                0.62209,                0.91614,                0.81317,                0.83048,                0.85381,                0.62834,                0.95406,                0.81877,                 1.0521,              0.0010234,              0.0010234,              0.0010234
                     80,                0.75765,                0.62661,                0.91629,                0.83458,                0.81516,                0.86578,                0.62853,                 0.9802,                0.80571,                 1.0643,              0.0010151,              0.0010151,              0.0010151
                     81,                0.75014,                0.63277,                 0.9367,                0.77759,                0.79345,                0.86408,                0.62262,                 1.0062,                0.83799,                  1.034,              0.0010069,              0.0010069,              0.0010069
                     82,                0.75306,                0.61789,                 0.9366,                0.66589,                0.88746,                0.86084,                0.63745,                0.95114,                0.96167,                 1.0191,             0.00099862,             0.00099862,             0.00099862
                     83,                0.76927,                0.60774,                0.92475,                0.88373,                0.78775,                0.86368,                0.64126,                0.98178,                0.80802,                 1.0273,             0.00099036,             0.00099036,             0.00099036
                     84,                0.76483,                0.61183,                0.93369,                0.78407,                0.80186,                0.85247,                0.62091,                 1.0287,                0.80524,                 1.0593,             0.00098211,             0.00098211,             0.00098211
                     85,                0.73546,                0.58138,                0.91224,                0.86378,                0.83381,                0.86195,                   0.66,                0.96839,                 0.7714,                 1.0248,             0.00097386,             0.00097386,             0.00097386
                     86,                0.73851,                0.58958,                0.90882,                0.88555,                0.77758,                0.86014,                0.66248,                0.97476,                0.83127,                  1.033,             0.00096561,             0.00096561,             0.00096561
                     87,                0.68465,                0.59047,                0.88911,                0.78528,                0.81085,                0.85202,                 0.6678,                0.91668,                0.79328,                0.99103,             0.00095736,             0.00095736,             0.00095736
                     88,                0.71781,                0.58066,                0.92203,                0.86721,                0.71758,                0.84394,                0.61505,                 1.0563,                0.89278,                 1.0422,             0.00094911,             0.00094911,             0.00094911
