                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.68,                 4.8867,                 1.4282,                 0.0027,                 0.7735,                0.02335,                0.01261,                 1.3005,                 4.4085,                 1.2748,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.3177,                 3.2148,                 1.1732,                0.00153,                0.43305,                0.00381,                0.00198,                 1.2293,                 4.0816,                 1.0843,             0.00051421,             0.00051421,             0.00051421
                      3,                  1.159,                 2.7016,                  1.087,                0.00291,                0.78063,                0.31761,                0.19024,                 1.1693,                 3.5121,                 1.0486,             0.00077573,             0.00077573,             0.00077573
                      4,                 1.1968,                 2.3598,                 1.1061,                0.00286,                0.81766,                0.33543,                0.22666,                 1.1621,                 3.4638,                  1.097,              0.0010346,              0.0010346,              0.0010346
                      5,                 1.1136,                 2.2729,                 1.0792,                0.53424,                0.21809,                0.49553,                0.30946,                 1.1169,                 2.9416,                 1.0825,              0.0012909,              0.0012909,              0.0012909
                      6,                 1.1741,                 2.2489,                 1.1016,                0.52041,                0.47301,                0.46657,                0.32458,                 1.1969,                 2.7813,                  1.159,              0.0015445,              0.0015445,              0.0015445
                      7,                 1.3129,                 2.1378,                 1.1319,                0.42508,                0.68269,                0.48421,                0.31738,                 1.2966,                 2.1921,                 1.1745,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1585,                 2.0542,                 1.0924,                0.47577,                0.69263,                0.49276,                0.31727,                 1.2464,                 2.0554,                  1.209,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1719,                 1.9668,                 1.1136,                0.48422,                0.71347,                0.54514,                 0.3482,                  1.189,                 2.0747,                 1.1233,               0.001601,               0.001601,               0.001601
                     10,                 1.1441,                   1.83,                 1.0858,                0.53636,                0.71795,                0.55662,                0.34695,                 1.2652,                 2.1374,                 1.1719,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.0724,                 1.7112,                  1.062,                0.45394,                0.64815,                0.53803,                0.33728,                 1.2667,                 1.9612,                 1.1258,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.0399,                 1.6048,                 1.0384,                 0.5273,                0.62821,                0.56396,                0.37816,                   1.15,                 1.7578,                 1.1117,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.0355,                  1.549,                 1.0546,                0.47239,                0.86895,                 0.6121,                0.40957,                 1.2016,                 1.5164,                 1.0953,               0.001568,               0.001568,               0.001568
                     14,                 1.0022,                 1.5106,                 1.0299,                0.45076,                0.76068,                0.54197,                0.33507,                 1.1559,                 1.6749,                 1.0959,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.0181,                 1.4761,                 1.0258,                0.46294,                0.88612,                 0.5837,                0.38112,                 1.1403,                 1.5078,                 1.1001,              0.0015515,              0.0015515,              0.0015515
                     16,                0.95573,                 1.3866,                  1.003,                0.45423,                0.81909,                0.57301,                0.37665,                  1.157,                 1.3729,                 1.0824,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0163,                 1.3643,                 1.0193,                0.53761,                0.71819,                0.61865,                0.41702,                 1.0609,                 1.3763,                 1.0963,               0.001535,               0.001535,               0.001535
                     18,                 1.0381,                 1.3189,                 1.0282,                0.63822,                0.66809,                0.68779,                0.47267,                 1.1123,                  1.285,                 1.1065,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0447,                 1.3299,                  1.035,                0.63398,                0.63248,                0.65935,                0.49406,                 1.0044,                 1.2443,                 1.0449,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0077,                 1.3185,                  1.028,                0.63937,                0.77493,                0.72553,                  0.506,                 1.0678,                 1.2518,                 1.0531,              0.0015102,              0.0015102,              0.0015102
                     21,                0.92755,                  1.236,                0.99833,                0.74342,                0.68442,                 0.7773,                0.55952,                 1.0408,                  1.097,                 1.0372,               0.001502,               0.001502,               0.001502
                     22,                0.94955,                   1.16,                0.99981,                0.58429,                0.77209,                0.68706,                0.48705,                 1.0398,                 1.2923,                 1.0464,              0.0014937,              0.0014937,              0.0014937
                     23,                 0.9441,                 1.1832,                0.97294,                0.53325,                0.82336,                0.70675,                0.50455,                 1.0864,                 1.2647,                 1.0546,              0.0014855,              0.0014855,              0.0014855
                     24,                0.90917,                 1.1431,                0.97428,                0.50147,                0.79345,                0.65551,                0.45124,                 1.1037,                 1.1652,                 1.0513,              0.0014772,              0.0014772,              0.0014772
                     25,                 0.9452,                 1.1135,                0.99357,                0.66241,                0.79487,                0.73998,                0.52637,                 1.1127,                 1.0303,                 1.0726,               0.001469,               0.001469,               0.001469
                     26,                0.92542,                  1.125,                 0.9811,                0.56143,                0.84915,                0.79257,                 0.5562,                 1.0781,                 1.0919,                 1.0377,              0.0014607,              0.0014607,              0.0014607
                     27,                0.94276,                 1.1177,                0.99416,                0.79727,                0.67702,                0.75804,                0.56495,                0.94194,                0.99934,                  1.005,              0.0014525,              0.0014525,              0.0014525
                     28,                0.90463,                 1.0912,                 0.9953,                0.60207,                0.83761,                0.78211,                0.53127,                 1.1329,                 1.0208,                 1.0963,              0.0014442,              0.0014442,              0.0014442
                     29,                0.91973,                 1.0416,                0.98652,                0.68609,                0.71795,                0.74637,                0.54075,                  1.068,                 1.0093,                 1.0644,               0.001436,               0.001436,               0.001436
                     30,                0.99824,                 1.1305,                 1.0277,                0.75658,                0.74337,                 0.8015,                0.57047,                   0.98,                0.98131,                 1.0188,              0.0014277,              0.0014277,              0.0014277
                     31,                  0.908,                 1.0367,                0.97116,                 0.5636,                0.85181,                0.77002,                0.56494,                0.96834,                  1.186,                 1.0174,              0.0014195,              0.0014195,              0.0014195
                     32,                0.88469,                 1.0219,                0.97758,                0.61585,                0.73504,                0.74901,                0.49942,                   1.09,                 1.1223,                 1.0943,              0.0014112,              0.0014112,              0.0014112
                     33,                0.87426,                0.99939,                0.96953,                0.51692,                0.81054,                0.73946,                0.47837,                 1.1147,                 1.2668,                 1.0925,              0.0014029,              0.0014029,              0.0014029
                     34,                0.91271,                0.99417,                0.99615,                 0.6686,                 0.7806,                0.79934,                 0.5746,                0.95935,                 1.0087,                 1.0324,              0.0013947,              0.0013947,              0.0013947
                     35,                0.93071,                0.98848,                0.97729,                0.80858,                0.70607,                 0.8268,                0.56562,                 1.0408,                 1.0244,                 1.0639,              0.0013864,              0.0013864,              0.0013864
                     36,                0.87715,                0.92572,                0.96263,                 0.7014,                0.78349,                0.81446,                0.55518,                 1.1285,                 1.1694,                 1.0891,              0.0013782,              0.0013782,              0.0013782
                     37,                0.88896,                0.92665,                0.96296,                0.86629,                0.65527,                 0.8291,                0.55177,                 1.0665,                 0.9704,                 1.1112,              0.0013699,              0.0013699,              0.0013699
                     38,                0.89714,                0.90918,                 0.9913,                0.77344,                0.79799,                0.82485,                0.58814,                 1.0537,                0.92577,                 1.1067,              0.0013617,              0.0013617,              0.0013617
                     39,                0.89944,                 0.9069,                0.97155,                0.80316,                0.65385,                0.79341,                0.55623,                 1.0625,                 1.0196,                 1.0795,              0.0013534,              0.0013534,              0.0013534
                     40,                0.86096,                0.95667,                0.97238,                0.83064,                0.66961,                 0.8148,                0.58458,                 1.0225,                 1.0327,                 1.0278,              0.0013452,              0.0013452,              0.0013452
                     41,                0.88501,                0.94077,                0.96597,                 0.7123,                0.68336,                0.80075,                 0.5588,                 1.0374,                 1.1976,                 1.0434,              0.0013369,              0.0013369,              0.0013369
                     42,                0.87602,                0.95639,                0.96963,                0.79244,                0.74445,                0.86302,                0.56672,                 1.1546,                 1.0462,                 1.0982,              0.0013287,              0.0013287,              0.0013287
                     43,                 0.8881,                0.87656,                0.97473,                0.67799,                0.86895,                0.84294,                0.57662,                 1.0795,                0.88746,                  1.066,              0.0013204,              0.0013204,              0.0013204
                     44,                0.83966,                0.81464,                0.93958,                0.84625,                0.76784,                0.88871,                0.60417,                 1.0544,                0.86967,                  1.074,              0.0013122,              0.0013122,              0.0013122
                     45,                 0.8628,                0.86213,                0.97335,                0.73493,                0.83761,                0.81383,                0.61963,                0.88113,                0.86706,                 1.0039,              0.0013039,              0.0013039,              0.0013039
                     46,                   0.83,                0.78478,                0.96119,                0.73157,                0.77493,                  0.784,                0.58141,                  1.015,                0.99402,                 1.0726,              0.0012957,              0.0012957,              0.0012957
                     47,                0.77171,                0.73364,                0.94279,                0.57295,                0.78889,                0.73605,                0.52331,                 1.0927,                 1.1751,                 1.1086,              0.0012874,              0.0012874,              0.0012874
                     48,                 0.8735,                 0.8374,                0.96342,                0.56727,                0.76726,                0.69779,                0.47726,                 1.1165,                 1.6128,                 1.0961,              0.0012792,              0.0012792,              0.0012792
                     49,                0.85316,                0.85603,                0.98361,                0.72471,                0.79487,                0.81555,                0.60239,                0.99068,                0.98986,                 1.0545,              0.0012709,              0.0012709,              0.0012709
                     50,                0.84533,                0.85983,                0.94898,                0.65791,                0.80623,                0.80499,                0.59265,                  1.027,                 1.2744,                  1.048,              0.0012627,              0.0012627,              0.0012627
                     51,                0.78193,                0.84404,                0.93848,                0.69295,                0.72706,                0.78907,                0.57934,                0.99286,                 1.2181,                  1.042,              0.0012544,              0.0012544,              0.0012544
                     52,                0.84981,                0.88265,                0.97633,                0.82317,                0.69054,                 0.8524,                0.59228,                0.98065,                0.98779,                 1.0433,              0.0012462,              0.0012462,              0.0012462
                     53,                 0.8431,                0.78877,                0.94186,                0.82221,                0.80169,                0.86138,                0.61329,                0.98374,                0.89205,                 1.0491,              0.0012379,              0.0012379,              0.0012379
                     54,                0.80124,                0.72848,                0.94082,                0.78878,                0.75356,                0.85266,                 0.6199,                0.97481,                0.98107,                 1.0176,              0.0012297,              0.0012297,              0.0012297
                     55,                0.81018,                0.71601,                0.94398,                0.86079,                0.78628,                0.87376,                0.61856,                  1.085,                0.88182,                 1.0811,              0.0012214,              0.0012214,              0.0012214
                     56,                0.88343,                0.78762,                0.97452,                 0.8501,                0.81711,                 0.8772,                0.62622,                 1.0629,                0.88065,                 1.0875,              0.0012132,              0.0012132,              0.0012132
                     57,                0.82111,                0.76624,                 0.9456,                0.87656,                0.78775,                0.86708,                0.65307,                0.99109,                 0.8175,                 1.0445,              0.0012049,              0.0012049,              0.0012049
                     58,                0.75518,                0.69708,                0.92852,                0.84127,                0.81932,                0.87773,                0.62459,                 1.0177,                0.76315,                 1.0705,              0.0011967,              0.0011967,              0.0011967
                     59,                0.80088,                0.71771,                0.94504,                0.79005,                0.75193,                0.81838,                0.61718,                0.95677,                0.90368,                  1.046,              0.0011884,              0.0011884,              0.0011884
                     60,                 0.8252,                0.70704,                0.94674,                0.80677,                0.91168,                0.89683,                0.67138,                0.93457,                0.75174,                 1.0125,              0.0011802,              0.0011802,              0.0011802
                     61,                0.76272,                0.71469,                0.93102,                0.92978,                0.75432,                0.89944,                0.66253,                0.95282,                0.77796,                 1.0157,              0.0011719,              0.0011719,              0.0011719
                     62,                 0.8268,                0.69006,                0.93725,                0.91761,                 0.7798,                0.87972,                 0.6448,                 1.0591,                0.79639,                 1.0666,              0.0011636,              0.0011636,              0.0011636
                     63,                0.84243,                0.69121,                0.97571,                0.87159,                0.72934,                0.87693,                0.67065,                0.95666,                 0.7938,                 1.0265,              0.0011554,              0.0011554,              0.0011554
                     64,                0.75072,                0.60299,                 0.9254,                0.91967,                0.74992,                 0.8763,                0.65044,                0.98261,                0.76165,                 1.0514,              0.0011471,              0.0011471,              0.0011471
                     65,                0.78899,                0.64858,                0.94038,                0.82488,                0.78602,                0.88508,                0.65539,                0.97681,                 0.7892,                 1.0423,              0.0011389,              0.0011389,              0.0011389
                     66,                 0.7912,                0.73465,                0.94238,                0.83254,                0.75735,                0.86541,                0.62942,                 1.0054,                0.80055,                 1.0434,              0.0011306,              0.0011306,              0.0011306
                     67,                 0.7915,                0.72746,                0.93036,                0.86978,                0.66363,                0.84563,                0.62038,                0.96032,                0.98322,                 1.0034,              0.0011224,              0.0011224,              0.0011224
                     68,                0.78277,                0.68662,                0.93747,                0.75061,                0.82667,                0.85343,                0.59448,                0.99145,                0.81447,                 1.0166,              0.0011141,              0.0011141,              0.0011141
                     69,                0.76184,                0.71743,                0.92827,                0.78964,                0.77186,                0.83118,                0.58328,                 1.0215,                0.86422,                 1.0599,              0.0011059,              0.0011059,              0.0011059
                     70,                0.82317,                0.67994,                0.95453,                0.69709,                0.76923,                0.82436,                0.58583,                 1.0036,                0.90644,                 1.0635,              0.0010976,              0.0010976,              0.0010976
                     71,                0.77731,                0.67047,                0.93459,                0.86546,                0.79065,                0.85823,                0.60276,                0.97183,                0.79096,                 1.0388,              0.0010894,              0.0010894,              0.0010894
                     72,                0.77696,                0.66002,                0.93891,                0.82758,                0.80981,                0.87918,                0.66148,                0.92558,                0.80956,                 1.0399,              0.0010811,              0.0010811,              0.0010811
                     73,                0.82043,                 0.6605,                0.95111,                0.87787,                0.68917,                0.85294,                0.61371,                 1.0792,                 1.0662,                 1.0701,              0.0010729,              0.0010729,              0.0010729
                     74,                0.78822,                0.74895,                0.93483,                0.74862,                0.79911,                0.87016,                0.65466,                0.94407,                0.97904,                 1.0004,              0.0010646,              0.0010646,              0.0010646
                     75,                0.80965,                0.66671,                0.94799,                0.76571,                 0.7735,                0.84555,                0.61238,                 1.0189,                 0.8327,                 1.0608,              0.0010564,              0.0010564,              0.0010564
                     76,                0.78562,                0.62381,                0.92972,                0.89825,                0.66285,                0.86076,                0.63956,                 0.9798,                0.90895,                 1.0397,              0.0010481,              0.0010481,              0.0010481
                     77,                0.78572,                0.61657,                0.95298,                0.83812,                  0.849,                0.86219,                0.63773,                 1.0075,                0.81055,                 1.0551,              0.0010399,              0.0010399,              0.0010399
                     78,                0.76616,                0.61666,                 0.9366,                0.80935,                0.83511,                0.87919,                0.67674,                0.92576,                  0.737,                 1.0192,              0.0010316,              0.0010316,              0.0010316
                     79,                0.73289,                0.55832,                0.90628,                0.78716,                0.77393,                0.85168,                0.60964,                 1.0103,                0.91866,                 1.0503,              0.0010234,              0.0010234,              0.0010234
                     80,                0.78193,                 0.6676,                0.93482,                0.88654,                0.83685,                0.88213,                0.66026,                0.98822,                0.75871,                 1.0434,              0.0010151,              0.0010151,              0.0010151
                     81,                0.72526,                 0.5747,                0.91707,                0.90371,                0.74447,                0.87378,                0.64526,                0.99659,                0.80223,                 1.0411,              0.0010069,              0.0010069,              0.0010069
                     82,                0.75026,                0.62312,                0.91549,                 0.8845,                  0.804,                0.87745,                0.67703,                0.95468,                0.74744,                 1.0125,             0.00099862,             0.00099862,             0.00099862
                     83,                0.77067,                0.62176,                 0.9284,                0.84549,                0.80227,                 0.8593,                0.59848,                 1.0576,                0.79728,                 1.0786,             0.00099036,             0.00099036,             0.00099036
                     84,                 0.7732,                 0.6078,                0.92481,                 0.8541,                0.80377,                0.88016,                0.64981,                0.98584,                 0.8378,                  1.043,             0.00098211,             0.00098211,             0.00098211
                     85,                0.73495,                0.58534,                0.90769,                0.84859,                0.76068,                0.85031,                0.60919,                0.99813,                0.87533,                 1.0456,             0.00097386,             0.00097386,             0.00097386
                     86,                0.73316,                0.56247,                0.91836,                0.84424,                0.70404,                  0.846,                0.62458,                0.94902,                0.95251,                 1.0186,             0.00096561,             0.00096561,             0.00096561
                     87,                0.72584,                0.56202,                0.91704,                0.78233,                0.83537,                0.87292,                0.65184,                0.95106,                0.81644,                 1.0166,             0.00095736,             0.00095736,             0.00095736
                     88,                0.73236,                0.55403,                0.91657,                  0.903,                0.82103,                 0.8988,                0.63256,                 1.0226,                0.78388,                 1.0425,             0.00094911,             0.00094911,             0.00094911
                     89,                0.77047,                0.61969,                 0.9313,                 0.8967,                0.81054,                0.88201,                0.64957,                0.96325,                0.77621,                 1.0322,             0.00094085,             0.00094085,             0.00094085
                     90,                0.70772,                0.56382,                0.92441,                0.81636,                0.83327,                0.88078,                0.64725,                0.96159,                0.72722,                 1.0355,              0.0009326,              0.0009326,              0.0009326
                     91,                0.71142,                0.61518,                0.92309,                0.81121,                0.82816,                0.87768,                0.65298,                0.95439,                0.75986,                 1.0374,             0.00092435,             0.00092435,             0.00092435
                     92,                0.70666,                 0.5522,                0.91122,                0.93119,                0.79309,                0.88359,                0.63648,                 1.0299,                0.67853,                 1.0829,              0.0009161,              0.0009161,              0.0009161
                     93,                0.73993,                0.59404,                0.92146,                0.92706,                  0.849,                0.87415,                0.64186,                 1.0542,                0.74352,                 1.1119,             0.00090785,             0.00090785,             0.00090785
                     94,                0.69736,                0.59946,                0.90923,                0.88951,                0.88846,                0.90793,                0.65447,                 1.0087,                0.64253,                  1.086,              0.0008996,              0.0008996,              0.0008996
                     95,                0.71691,                0.56197,                0.91389,                 0.8757,                0.84471,                0.89567,                0.64665,                0.98414,                 0.7458,                 1.0633,             0.00089134,             0.00089134,             0.00089134
                     96,                0.70767,                0.57196,                0.90669,                 0.7602,                0.82999,                0.86379,                0.61117,                 1.0592,                0.88201,                 1.1039,             0.00088309,             0.00088309,             0.00088309
                     97,                0.70903,                0.54579,                0.90083,                0.91406,                0.80505,                0.89182,                0.66386,                0.95973,                0.68809,                 1.0543,             0.00087484,             0.00087484,             0.00087484
