                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 123.94,                      0,                      0,                      0,                      0,                      0,                      0,                 192.19,                      0,             0.00025005,             0.00025005,             0.00025005
                      1,                 1.7442,                 5.0174,                 1.4305,                 0.0018,                0.53276,                0.00365,                 0.0014,                 1.2708,                 4.5747,                 1.3578,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.3158,                 3.3208,                  1.153,                0.00084,                0.21225,                0.07334,                0.04672,                   1.12,                  4.293,                 1.2373,             0.00051421,             0.00051421,             0.00051421
                      3,                 1.1283,                 2.6694,                 1.0775,                0.00138,                0.41311,                0.01962,                0.00801,                 1.1042,                 3.9467,                  1.055,             0.00077573,             0.00077573,             0.00077573
                      4,                 1.1868,                 2.4628,                 1.1074,                0.00212,                0.62678,                0.33743,                0.23756,                 1.1814,                 3.6534,                 1.1288,              0.0010346,              0.0010346,              0.0010346
                      5,                 1.1372,                 2.2815,                 1.0694,                0.00249,                0.71083,                0.32638,                  0.219,                 1.3648,                 3.7436,                 1.3205,              0.0012909,              0.0012909,              0.0012909
                      6,                 1.1485,                 2.1657,                 1.0903,                0.65011,                0.42456,                0.57136,                0.37601,                 1.1973,                 2.5919,                 1.1338,              0.0015445,              0.0015445,              0.0015445
                      7,                 1.2517,                  2.116,                 1.1509,                0.52469,                0.51766,                0.42197,                0.27914,                 1.2989,                 2.9937,                 1.2388,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1266,                 2.0393,                 1.0982,                0.59237,                0.62584,                0.63368,                0.45314,                 1.1803,                  2.019,                 1.1415,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1548,                 1.8829,                 1.1047,                0.76532,                0.50488,                 0.6556,                0.42859,                  1.322,                 1.9903,                 1.1432,               0.001601,               0.001601,               0.001601
                     10,                 1.1598,                 1.8351,                  1.109,                0.56996,                0.75836,                0.68687,                0.43643,                 1.2702,                 1.8552,                 1.1982,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.0772,                 1.7273,                 1.0725,                0.70667,                0.73077,                0.73593,                0.50837,                 1.1225,                 1.6421,                  1.101,              0.0015845,              0.0015845,              0.0015845
                     12,                  1.018,                 1.4885,                 1.0177,                0.48033,                0.70465,                0.61061,                0.40474,                 1.1661,                 1.7509,                 1.1168,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.0901,                 1.4492,                 1.0685,                0.74838,                0.64103,                0.73311,                0.52543,                 1.1024,                  1.588,                 1.0963,               0.001568,               0.001568,               0.001568
                     14,                 1.0568,                 1.4026,                 1.0398,                0.49346,                0.56695,                0.49899,                0.33944,                 1.1644,                 2.5106,                 1.1236,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.0508,                 1.3068,                 1.0338,                0.62119,                0.81624,                0.75413,                0.51917,                 1.0961,                 1.5097,                 1.0881,              0.0015515,              0.0015515,              0.0015515
                     16,                0.98906,                  1.202,                 1.0119,                0.50911,                0.61267,                0.58194,                0.40302,                 1.1175,                 2.1055,                 1.0821,              0.0015432,              0.0015432,              0.0015432
                     17,                0.98523,                 1.1949,                 1.0102,                0.78003,                0.69658,                0.77018,                0.51865,                 1.1284,                 1.4274,                 1.0984,               0.001535,               0.001535,               0.001535
                     18,                 1.0668,                 1.2104,                 1.0381,                0.78426,                0.77111,                0.80086,                0.53438,                 1.0749,                 1.3048,                 1.0742,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0174,                 1.1348,                 1.0213,                0.79792,                0.61966,                0.83201,                 0.6008,                 1.0017,                 1.2693,                 1.0442,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0109,                 1.0381,                 1.0343,                0.59017,                0.61293,                0.61754,                0.39279,                 1.1732,                  1.808,                 1.1473,              0.0015102,              0.0015102,              0.0015102
                     21,                0.94183,                 1.0294,                 1.0059,                0.74779,                0.83929,                0.88157,                0.61259,                 1.0847,                 1.0799,                 1.0739,               0.001502,               0.001502,               0.001502
                     22,                 0.9596,                0.93674,                  1.003,                0.64243,                0.51709,                 0.6086,                 0.4328,                 1.0244,                 1.9497,                 1.0471,              0.0014937,              0.0014937,              0.0014937
                     23,                0.89051,                0.99286,                  0.965,                0.75691,                0.80263,                0.80663,                0.50575,                 1.1386,                 1.1415,                 1.1344,              0.0014855,              0.0014855,              0.0014855
                     24,                0.93775,                 1.0276,                 1.0003,                0.55809,                0.52244,                0.56427,                0.37616,                 1.2656,                 2.4169,                 1.2119,              0.0014772,              0.0014772,              0.0014772
