                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7634,                0.76176,                0.94364,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0883,                 0.0013,                 0.0013
                      2,                  1.153,                 1.2995,                 1.1363,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.075611,              0.0026109,              0.0026109
                      3,                 1.3186,                 1.4189,                 1.2386,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.062829,              0.0038294,              0.0038294
                      4,                 1.3664,                 1.6319,                 1.2372,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.049955,              0.0049555,              0.0049555
                      5,                 1.3836,                 1.5721,                 1.2518,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.036989,              0.0059892,              0.0059892
                      6,                 1.3621,                 1.5021,                  1.221,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.02393,              0.0069305,              0.0069305
                      7,                 1.3346,                 1.4816,                 1.2435,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010779,              0.0077794,              0.0077794
                      8,                 1.3326,                 1.4804,                 1.1924,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00769,                0.00769,                0.00769
                      9,                 1.3339,                 1.4859,                 1.2363,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     10,                 1.3867,                 1.4851,                 1.2414,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     11,                  1.289,                 1.4339,                 1.2282,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.2775,                 1.3661,                 1.2122,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00637,                0.00637,                0.00637
                     13,                 1.3266,                 1.4492,                 1.2106,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     14,                 1.3035,                 1.4207,                 1.2233,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00571,                0.00571,                0.00571
                     15,                 1.2638,                 1.3255,                 1.1991,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00538,                0.00538,                0.00538
                     16,                 1.2865,                  1.347,                 1.2086,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     17,                 1.2477,                 1.3201,                 1.1792,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00472,                0.00472,                0.00472
                     18,                 1.1998,                 1.2734,                 1.1671,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00439,                0.00439,                0.00439
                     19,                 1.1355,                 1.3114,                 1.1216,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     20,                 1.0887,                 1.1945,                 1.0846,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00373,                0.00373,                0.00373
                     21,                 1.0886,                  1.264,                 1.1427,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.0604,                 1.1706,                 1.1236,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     23,                 1.0117,                  1.195,                 1.0999,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00274,                0.00274,                0.00274
                     24,                 1.0056,                 1.1194,                 1.0911,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00241,                0.00241,                0.00241
                     25,                0.95406,                   1.07,                 1.0545,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     26,                0.98799,                 1.0859,                 1.0853,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00175,                0.00175,                0.00175
                     27,                 0.9434,                   1.04,                 1.0523,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00142,                0.00142,                0.00142
                     28,                0.95748,                 1.0167,                 1.0586,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     29,                0.92989,                 1.0192,                 1.0468,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00076,                0.00076,                0.00076
                     30,                0.86272,                0.98803,                 1.0159,                0.46681,                0.90917,                 0.5851,                0.42171,                0.94193,                 1.1432,                 1.0256,                0.00043,                0.00043,                0.00043
