                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85893,                 0.6947,                 1.1407,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.088071,              0.0010712,              0.0010712
                      2,                 1.3982,                 1.1989,                 1.4137,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.075151,              0.0021515,              0.0021515
                      3,                 1.2555,                 1.0451,                 1.3315,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.062156,              0.0031558,              0.0031558
                      4,                 1.3914,                 1.1736,                 1.4027,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.049084,               0.004084,               0.004084
                      5,                 1.4415,                 1.1782,                 1.4316,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.035936,              0.0049362,              0.0049362
                      6,                 1.4455,                 1.2583,                 1.4503,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.022712,              0.0057124,              0.0057124
                      7,                 1.5165,                  1.281,                 1.5155,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0094126,              0.0064126,              0.0064126
                      8,                 1.4629,                 1.2688,                 1.4633,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063394,              0.0063394,              0.0063394
                      9,                 1.4295,                 1.2364,                 1.4509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060678,              0.0060678,              0.0060678
                     10,                 1.5595,                 1.2728,                 1.5518,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057963,              0.0057963,              0.0057963
                     11,                  1.458,                 1.2372,                 1.4756,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055248,              0.0055248,              0.0055248
                     12,                 1.4679,                 1.2168,                 1.4821,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052533,              0.0052533,              0.0052533
                     13,                 1.4129,                 1.1296,                 1.4292,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0049818,              0.0049818,              0.0049818
                     14,                 1.4022,                 1.1339,                 1.3909,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047103,              0.0047103,              0.0047103
                     15,                 1.3183,                 1.0657,                 1.3639,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044387,              0.0044387,              0.0044387
                     16,                 1.3608,                 1.1255,                 1.4142,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041672,              0.0041672,              0.0041672
                     17,                 1.3693,                 1.1503,                 1.4313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0038957,              0.0038957,              0.0038957
                     18,                 1.3702,                 1.1173,                 1.3965,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036242,              0.0036242,              0.0036242
                     19,                 1.3114,                 1.0716,                 1.3671,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033527,              0.0033527,              0.0033527
                     20,                 1.2596,                 1.0935,                 1.3312,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030811,              0.0030811,              0.0030811
                     21,                 1.1769,                 1.0634,                 1.3838,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028096,              0.0028096,              0.0028096
                     22,                 1.1156,                0.94719,                 1.3068,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025381,              0.0025381,              0.0025381
                     23,                 1.0951,                0.97365,                 1.2693,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022666,              0.0022666,              0.0022666
                     24,                 1.1375,                0.93089,                 1.2994,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019951,              0.0019951,              0.0019951
                     25,                   1.09,                0.93851,                 1.2601,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017235,              0.0017235,              0.0017235
                     26,                 1.0203,                0.92137,                 1.2402,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001452,               0.001452,               0.001452
                     27,                 0.9649,                0.88546,                 1.2107,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011805,              0.0011805,              0.0011805
                     28,                  1.019,                0.86504,                 1.2367,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00090899,             0.00090899,             0.00090899
                     29,                0.95191,                0.84355,                 1.1844,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063747,             0.00063747,             0.00063747
                     30,                0.92713,                0.83106,                 1.2173,                0.53129,                  0.825,                0.64795,                0.47926,                 1.0326,                0.85974,                 1.2026,             0.00036595,             0.00036595,             0.00036595
