                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9826,                 4.9428,                 2.7859,                0.00061,                 0.1625,                 0.0019,                0.00028,                 3.2297,                 5.4653,                 3.4485,             0.00021671,             0.00021671,             0.00021671
                      2,                 2.7822,                 4.6765,                 2.5221,                 0.0007,                0.19583,                0.00052,                0.00012,                 3.3433,                 5.6208,                 3.6142,             0.00044786,             0.00044786,             0.00044786
                      3,                 2.5611,                  4.713,                 2.4383,                0.00109,                0.32083,                0.00116,                0.00034,                 2.5528,                 4.8032,                 2.6638,              0.0006767,              0.0006767,              0.0006767
                      4,                 2.5562,                 4.3323,                 2.4195,                0.00104,                  0.275,                0.00095,                0.00029,                 2.5538,                 5.2402,                 2.7296,             0.00090323,             0.00090323,             0.00090323
                      5,                 2.6138,                 4.4651,                 2.3824,                0.00122,                0.35833,                 0.0011,                0.00028,                 2.7525,                 5.9966,                 3.5398,              0.0011275,              0.0011275,              0.0011275
                      6,                 2.5993,                 4.2774,                 2.3976,                0.00171,                0.02083,                 0.0006,                0.00021,                 3.0485,                  13.36,                 4.6244,              0.0013494,              0.0013494,              0.0013494
                      7,                 2.6038,                 4.3145,                  2.406,                0.00034,                0.12083,                0.00043,                0.00011,                 3.5343,                 6.6723,                 19.449,               0.001569,               0.001569,               0.001569
                      8,                 2.5405,                 4.3047,                 2.4386,                0.50269,                0.04167,                0.00202,                 0.0004,                 2.8887,                 21.405,                  3.269,              0.0016092,              0.0016092,              0.0016092
                      9,                 2.5875,                 4.1408,                 2.4688,                0.00155,                   0.45,                0.00415,                0.00089,                 3.1368,                 4.4878,                 3.3799,               0.001601,               0.001601,               0.001601
                     10,                 2.5639,                 4.0727,                 2.4508,                  7e-05,                0.04167,                  4e-05,                  1e-05,                 4.7917,                 5.4041,                 16.514,              0.0015927,              0.0015927,              0.0015927
                     11,                 2.4866,                 3.9982,                 2.4025,                0.55101,                0.02083,                 0.0125,                0.00389,                 2.7258,                 5.2757,                 2.6958,              0.0015845,              0.0015845,              0.0015845
                     12,                  2.509,                 4.0546,                 2.4978,                0.50176,                0.10417,                0.00122,                 0.0004,                 2.9089,                 31.566,                 3.7399,              0.0015762,              0.0015762,              0.0015762
                     13,                 2.4808,                 3.9256,                  2.476,                0.00199,                0.57083,                0.00605,                0.00142,                 2.8257,                 4.2644,                 3.1924,               0.001568,               0.001568,               0.001568
                     14,                 2.4848,                 3.8792,                 2.4327,                0.00157,                0.48333,                0.00425,                0.00113,                 2.8221,                 4.1881,                 3.0215,              0.0015597,              0.0015597,              0.0015597
                     15,                 2.4818,                 3.8789,                 2.4293,                 0.5021,                0.10417,                0.00237,                0.00055,                 2.7467,                 7.3468,                 2.9249,              0.0015515,              0.0015515,              0.0015515
                     16,                 2.5479,                 3.8501,                 2.5204,                0.51664,                0.02083,                 0.0033,                0.00064,                 2.9261,                 10.746,                 3.1154,              0.0015432,              0.0015432,              0.0015432
                     17,                 2.5088,                 3.6524,                 2.5227,                0.52366,                0.08333,                0.02546,                0.00769,                  2.657,                 4.6883,                 2.7643,               0.001535,               0.001535,               0.001535
                     18,                 2.4811,                 3.7964,                  2.475,                0.00207,                0.49167,                0.00856,                 0.0025,                 2.6235,                 4.6085,                 2.8938,              0.0015267,              0.0015267,              0.0015267
                     19,                  2.464,                 3.7274,                 2.4717,                0.00288,                0.08333,                0.00371,                0.00128,                  2.641,                 5.5352,                 2.8321,              0.0015185,              0.0015185,              0.0015185
                     20,                 2.4134,                 3.6449,                 2.4289,                0.00115,                0.29167,                 0.0136,                 0.0039,                 2.5557,                 4.4882,                 2.5515,              0.0015102,              0.0015102,              0.0015102
                     21,                 2.4246,                 3.5838,                 2.4564,                0.59083,                0.02083,                0.02731,                0.00705,                 2.7735,                 4.7468,                 2.7216,               0.001502,               0.001502,               0.001502
                     22,                 2.4161,                 3.5588,                 2.4512,                0.50428,                0.08333,                0.00843,                0.00232,                 2.6068,                 4.0467,                  2.652,              0.0014937,              0.0014937,              0.0014937
                     23,                 2.3337,                 3.5559,                 2.4208,                0.50744,                 0.0625,                0.02978,                0.00577,                 2.5523,                 3.8645,                 2.6737,              0.0014855,              0.0014855,              0.0014855
                     24,                 2.4176,                  3.514,                 2.4424,                0.57347,                0.04167,                0.03341,                0.00925,                 2.6738,                 5.3884,                 3.0385,              0.0014772,              0.0014772,              0.0014772
                     25,                 2.3926,                 3.5333,                 2.4246,                0.51138,                0.02083,                0.00629,                0.00122,                 3.0205,                 4.4615,                 2.9582,               0.001469,               0.001469,               0.001469
