                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8769,                 4.9055,                 1.5955,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.5647,                 3.6582,                 1.3144,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00044786,             0.00044786,             0.00044786
                      3,                  1.315,                  2.896,                 1.2292,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006767,              0.0006767,              0.0006767
                      4,                 1.4402,                 2.9061,                 1.2402,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00090323,             0.00090323,             0.00090323
                      5,                 1.4508,                 2.6129,                 1.2587,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011275,              0.0011275,              0.0011275
                      6,                 1.2765,                 2.5152,                 1.1577,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013494,              0.0013494,              0.0013494
                      7,                 1.1976,                 2.3781,                 1.1501,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001569,               0.001569,               0.001569
                      8,                 1.3348,                 2.3746,                 1.1797,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.2032,                 2.0776,                 1.1288,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001601,               0.001601,               0.001601
                     10,                 1.2935,                 2.1957,                 1.2089,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.3466,                 2.0245,                 1.2434,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.2768,                  1.888,                 1.1739,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.2619,                 1.8198,                 1.1699,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001568,               0.001568,               0.001568
                     14,                  1.283,                 1.8574,                 1.1948,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1599,                 1.7262,                 1.1291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.2631,                 1.6748,                 1.1641,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.2453,                 1.6627,                 1.1688,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001535,               0.001535,               0.001535
                     18,                 1.1661,                 1.6505,                  1.134,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.2241,                 1.7323,                 1.1397,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.1408,                 1.5647,                 1.0939,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.1691,                 1.5377,                 1.1549,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001502,               0.001502,               0.001502
                     22,                 1.0965,                 1.5126,                 1.0896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014937,              0.0014937,              0.0014937
