                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8375,                 4.6718,                  1.559,                0.00205,                  0.575,                 0.0066,                0.00273,                 1.0911,                 4.3702,                 1.2069,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.4378,                 3.5427,                 1.3067,                0.00186,                   0.55,                0.00277,                0.00108,                 1.0643,                  4.097,                 1.1477,             0.00044712,             0.00044712,             0.00044712
                      3,                 1.3136,                 2.9278,                  1.186,                0.00173,                    0.5,                0.08157,                0.03407,                 1.0982,                 4.0444,                 1.1462,             0.00067445,             0.00067445,             0.00067445
                      4,                 1.3293,                 2.5527,                  1.193,                  0.002,                0.57917,                0.19882,                0.12169,                 1.1637,                 3.8084,                 1.1134,              0.0008987,              0.0008987,              0.0008987
                      5,                 1.3811,                 2.6583,                 1.2277,                0.53299,                0.11667,                0.04774,                0.03494,                 1.1406,                 3.8118,                 1.1142,              0.0011199,              0.0011199,              0.0011199
                      6,                 1.2694,                 2.4518,                  1.189,                0.42814,                0.37917,                0.41887,                0.28293,                 1.2274,                 2.7864,                 1.2003,               0.001338,               0.001338,               0.001338
                      7,                 1.3149,                 2.5832,                 1.2603,                 0.3996,                0.63333,                0.42032,                0.30685,                 1.1813,                 2.6248,                 1.2346,               0.001553,               0.001553,               0.001553
                      8,                 1.3021,                 2.3992,                 1.2297,                0.47439,                 0.6625,                 0.4362,                0.29631,                 1.1814,                 2.4792,                  1.185,                0.00159,                0.00159,                0.00159
                      9,                 1.3192,                 2.2549,                 1.2339,                0.32559,                0.49167,                0.27814,                0.17926,                  1.296,                 2.8483,                  1.225,               0.001579,               0.001579,               0.001579
                     10,                 1.3068,                 2.1746,                 1.2493,                0.39452,                0.23133,                 0.2413,                0.13265,                 1.5189,                 4.9431,                 1.4691,               0.001568,               0.001568,               0.001568
                     11,                  1.334,                 2.1706,                 1.2454,                 0.4655,                0.59718,                0.44394,                0.29514,                 1.1984,                 2.4733,                 1.2139,               0.001557,               0.001557,               0.001557
                     12,                  1.219,                 1.9451,                 1.1555,                0.47548,                 0.5943,                0.43443,                0.30767,                 1.2006,                 2.4249,                  1.139,               0.001546,               0.001546,               0.001546
                     13,                 1.3274,                  1.906,                 1.2732,                0.39472,                0.66027,                0.45481,                0.31646,                 1.2223,                 2.1376,                 1.1372,               0.001535,               0.001535,               0.001535
                     14,                 1.2428,                 1.8657,                 1.1802,                0.45805,                0.67083,                0.47872,                0.35603,                 1.0867,                 1.9579,                 1.1446,               0.001524,               0.001524,               0.001524
                     15,                 1.1846,                 1.8617,                 1.1717,                0.42131,                   0.75,                0.47572,                0.34505,                  1.051,                 1.7801,                 1.1236,               0.001513,               0.001513,               0.001513
                     16,                 1.2018,                 1.7191,                 1.1422,                0.42482,                  0.825,                0.47677,                0.31126,                 1.1716,                 1.7948,                 1.1769,               0.001502,               0.001502,               0.001502
                     17,                 1.1366,                 1.6123,                 1.0938,                0.48747,                   0.75,                 0.5064,                0.36262,                  1.059,                 1.5949,                 1.1026,               0.001491,               0.001491,               0.001491
                     18,                 1.1342,                 1.6269,                 1.0614,                0.42069,                 0.7875,                0.53112,                0.37446,                 1.1103,                 1.5252,                 1.0874,                0.00148,                0.00148,                0.00148
                     19,                 1.1274,                 1.5417,                 1.1082,                0.41156,                0.85899,                0.51237,                0.36109,                 1.0911,                 1.4288,                 1.0719,               0.001469,               0.001469,               0.001469
                     20,                 1.1077,                 1.5767,                 1.1215,                0.44177,                0.83757,                0.52284,                0.35658,                 1.1186,                 1.4614,                  1.098,               0.001458,               0.001458,               0.001458
                     21,                 1.1114,                 1.5416,                   1.11,                0.41705,                0.78545,                0.51833,                0.35162,                 1.1531,                  1.544,                 1.1037,               0.001447,               0.001447,               0.001447
                     22,                 1.0399,                 1.5098,                 1.0894,                0.50169,                0.76218,                0.54236,                0.36724,                 1.1217,                 1.4297,                 1.1229,               0.001436,               0.001436,               0.001436
