                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6063,                 4.1477,                  1.389,                  0.001,                 0.2875,                0.10824,                0.05775,                 1.0916,                 4.0441,                 1.0995,             0.00043342,             0.00043342,             0.00043342
                      2,                 1.3396,                 2.7807,                 1.2302,                0.00225,                0.64583,                0.25324,                0.15191,                 1.1655,                 3.6711,                 1.1091,             0.00087914,             0.00087914,             0.00087914
                      3,                 1.2854,                 2.5563,                 1.2087,                0.58088,                0.16742,                0.47419,                0.32394,                 1.2187,                 2.9893,                  1.183,              0.0013204,              0.0013204,              0.0013204
                      4,                 1.2892,                 2.3481,                 1.1731,                0.37342,                 0.5125,                 0.4005,                0.24303,                 1.3166,                 2.4429,                 1.2285,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.3051,                 2.2139,                 1.2189,                0.37261,                0.13333,                0.16351,                0.11509,                 1.4475,                 3.3931,                 1.3569,               0.001634,               0.001634,               0.001634
                      6,                 1.1833,                 1.9666,                 1.1589,                0.48315,                 0.5625,                0.46402,                0.31006,                 1.2488,                 2.2404,                 1.3087,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.2421,                 1.8857,                 1.1676,                0.45816,                0.73139,                0.52726,                0.35515,                 1.2367,                 2.0044,                 1.1457,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.2066,                 1.7516,                 1.1266,                0.43625,                0.66667,                0.44435,                0.30968,                 1.1665,                 2.1713,                 1.1436,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1612,                 1.6513,                 1.1085,                0.49406,                0.61254,                0.47821,                0.33105,                 1.1268,                 1.9414,                 1.1685,               0.001601,               0.001601,               0.001601
                     10,                 1.1116,                 1.5331,                  1.092,                0.45919,                   0.75,                0.50092,                 0.3412,                 1.1737,                 1.5754,                  1.157,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.0926,                 1.5436,                 1.1136,                0.42775,                0.80833,                0.48641,                 0.3416,                 1.1287,                 1.9984,                  1.116,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.1172,                 1.4775,                 1.1309,                0.44713,                0.79101,                0.51005,                 0.3609,                 1.0394,                 1.5105,                 1.0706,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1019,                 1.4027,                 1.0986,                0.47869,                0.80794,                0.56209,                0.39509,                 1.0042,                 1.2644,                 1.0673,               0.001568,               0.001568,               0.001568
                     14,                 1.0677,                 1.3524,                 1.0872,                0.44809,                0.89457,                0.56511,                0.39619,                 1.0608,                 1.2632,                  1.097,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.0336,                 1.3391,                 1.0629,                0.49268,                0.81854,                0.57562,                0.42114,                 1.0215,                 1.2258,                 1.0605,              0.0015515,              0.0015515,              0.0015515
