                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6696,                 4.3728,                 1.4094,                0.00242,                0.69583,                0.22912,                0.11154,                 1.0877,                 4.0958,                  1.116,             0.00043342,             0.00043342,             0.00043342
                      2,                   1.49,                 3.3291,                 1.3433,                0.00224,                0.64167,                0.23498,                 0.0827,                 1.1642,                 3.7201,                 1.0954,             0.00087914,             0.00087914,             0.00087914
                      3,                 1.4791,                 2.8644,                 1.3115,                0.50014,                0.18205,                0.34979,                0.21924,                 1.3661,                 3.1365,                 1.3904,              0.0013204,              0.0013204,              0.0013204
                      4,                 1.4245,                  2.599,                  1.304,                 0.4565,                 0.4125,                0.37213,                 0.2438,                 1.2157,                   2.78,                 1.2185,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.4258,                 2.4616,                 1.2942,                0.19231,                 0.2125,                0.11151,                0.05416,                 2.1652,                 4.5688,                 2.0929,               0.001634,               0.001634,               0.001634
                      6,                 1.4966,                 2.4133,                 1.3487,                0.46773,                0.43856,                0.36664,                0.21778,                 1.4587,                 2.7481,                 1.3088,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.4242,                 2.1651,                 1.2933,                0.39095,                0.56767,                0.45372,                0.26405,                 1.3076,                 2.1487,                 1.2744,              0.0016175,              0.0016175,              0.0016175
                      8,                  1.417,                 2.0878,                 1.3143,                0.42869,                0.76667,                0.47536,                0.33098,                 1.0474,                 1.9728,                 1.1031,              0.0016092,              0.0016092,              0.0016092
                      9,                   1.41,                 1.9752,                 1.2868,                0.47286,                    0.7,                0.48776,                0.34378,                 1.1355,                 1.7168,                 1.1127,               0.001601,               0.001601,               0.001601
                     10,                 1.3911,                 1.9008,                 1.3078,                0.48691,                 0.8104,                0.50661,                0.36469,                 1.0698,                 1.5626,                 1.0777,              0.0015927,              0.0015927,              0.0015927
