                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5661,                 5.1007,                  2.082,                  7e-05,                0.02083,                0.02254,                0.02028,                  2.548,                 5.5023,                 2.6121,             0.00021671,             0.00021671,             0.00021671
                      2,                 2.0546,                 4.1609,                 1.5887,                0.00013,                 0.0375,                0.03131,                0.02154,                   2.54,                 5.3242,                 2.8013,             0.00044786,             0.00044786,             0.00044786
                      3,                 1.7945,                 3.4716,                 1.3822,                0.00058,                0.16667,                0.05393,                0.03294,                 2.5646,                 5.4398,                 2.1839,              0.0006767,              0.0006767,              0.0006767
                      4,                 1.7994,                   3.17,                 1.3926,                0.00044,                  0.125,                0.02275,                0.01248,                 2.2159,                 5.3003,                 2.4026,             0.00090323,             0.00090323,             0.00090323
                      5,                 1.7397,                 3.2373,                  1.415,                0.12533,                0.08722,                0.10063,                 0.0483,                 1.9244,                 4.5406,                 1.9033,              0.0011275,              0.0011275,              0.0011275
                      6,                 1.5855,                 2.8738,                 1.3862,                0.45074,                0.24732,                0.27058,                0.15261,                 1.5921,                 3.4149,                 1.3903,              0.0013494,              0.0013494,              0.0013494
                      7,                 1.6238,                 2.9295,                 1.4303,                0.54294,                0.27298,                0.28931,                0.18208,                 1.6022,                 3.3894,                 1.3682,               0.001569,               0.001569,               0.001569
                      8,                 1.5381,                 2.8062,                 1.3635,                0.41943,                0.32142,                0.25514,                0.15035,                 1.5568,                 3.2488,                 1.4636,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.5073,                 2.5243,                 1.3027,                0.19549,                0.40417,                0.15389,                0.08507,                  1.707,                 3.4609,                 1.6204,               0.001601,               0.001601,               0.001601
                     10,                 1.5321,                 2.4931,                 1.3585,                0.51366,                0.40833,                0.41272,                 0.2291,                 1.5253,                 2.9558,                 1.4192,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.4318,                 2.4715,                 1.3285,                0.42719,                 0.5875,                0.41792,                 0.2514,                  1.417,                 3.6636,                 1.2984,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.4215,                 2.2336,                 1.2756,                0.41952,                  0.475,                 0.3617,                0.22599,                 1.4363,                 4.9828,                 1.3028,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.4909,                 2.0919,                 1.3582,                0.35943,                0.24167,                0.22793,                0.14439,                  1.502,                 4.8081,                 1.3844,               0.001568,               0.001568,               0.001568
                     14,                 1.4071,                 2.0762,                 1.2674,                0.45939,                0.53333,                0.38483,                0.24379,                 1.4006,                 4.3188,                 1.2881,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.4395,                 2.1515,                 1.3349,                 0.4142,                0.58333,                0.41863,                0.27187,                 1.2414,                 3.5581,                 1.2269,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.3928,                 1.9972,                 1.2784,                0.48822,                0.61797,                0.46735,                0.29708,                 1.4611,                 2.8955,                 1.2904,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.3654,                 1.8119,                 1.2482,                0.48468,                0.62083,                 0.4591,                0.26936,                 1.3159,                 2.5164,                 1.2274,               0.001535,               0.001535,               0.001535
                     18,                 1.3399,                 1.8118,                 1.1904,                0.44593,                0.69583,                0.44425,                 0.2803,                 1.3162,                 2.2005,                 1.2133,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.3174,                 1.7408,                 1.1897,                 0.4142,                0.57901,                0.39392,                0.23602,                 1.3634,                 2.2028,                 1.2151,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.2736,                 1.7227,                 1.1934,                0.45898,                0.60417,                0.40531,                0.23479,                 1.4908,                 2.3193,                 1.2882,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.2873,                 1.7035,                 1.2052,                0.44351,                0.66953,                0.42002,                0.26977,                  1.308,                 2.4117,                 1.1792,               0.001502,               0.001502,               0.001502
                     22,                 1.2845,                 1.6959,                 1.2002,                0.42258,                0.69095,                0.43241,                0.28066,                 1.2303,                 2.0863,                 1.1494,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.3084,                 1.7146,                 1.2299,                0.43991,                  0.675,                0.45754,                0.30879,                 1.1771,                 1.7452,                 1.1713,              0.0014855,              0.0014855,              0.0014855
