                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8391,                 4.5865,                 1.5329,                0.00298,                0.85417,                0.01433,                 0.0056,                 1.0941,                 4.2862,                 1.1534,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.4635,                 3.7019,                 1.2927,                0.00125,                 0.3375,                0.05901,                0.04264,                 1.2541,                  4.101,                 1.0878,             0.00044786,             0.00044786,             0.00044786
                      3,                 1.2683,                 2.8216,                  1.162,                0.00155,                   0.45,                0.07624,                0.04307,                 1.0405,                 4.0712,                 1.0891,              0.0006767,              0.0006767,              0.0006767
                      4,                 1.2622,                 2.4482,                 1.1409,                0.00299,                0.51667,                0.18381,                0.09193,                0.97124,                 3.7208,                 1.0154,             0.00090323,             0.00090323,             0.00090323
                      5,                 1.2966,                 2.6895,                 1.2104,                0.74529,                0.03239,                0.44211,                0.32813,                 1.0087,                 3.2423,                 1.0889,              0.0011275,              0.0011275,              0.0011275
                      6,                 1.2576,                  2.411,                 1.1955,                0.46353,                0.09517,                0.21408,                0.14302,                 1.6043,                 3.9168,                 1.6578,              0.0013494,              0.0013494,              0.0013494
                      7,                 1.3369,                 2.5514,                  1.252,                0.45883,                0.24841,                0.23751,                0.16135,                 1.3884,                 3.7691,                  1.409,               0.001569,               0.001569,               0.001569
                      8,                 1.3935,                 2.5177,                 1.2359,                0.40629,                0.48238,                0.37058,                0.23587,                 1.2665,                 3.3045,                 1.3323,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.2529,                 2.2155,                 1.1685,                0.45622,                0.71667,                0.44763,                0.28171,                 1.2547,                 2.4915,                 1.2446,               0.001601,               0.001601,               0.001601
                     10,                 1.3238,                 2.1739,                 1.2527,                0.38457,                0.60215,                0.40344,                0.26744,                  1.238,                 2.6664,                 1.1382,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.2544,                 2.1968,                  1.215,                0.37499,                0.72929,                0.48112,                0.33273,                 1.1241,                 2.1623,                 1.1021,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.2077,                  1.971,                  1.178,                0.44392,                0.64167,                0.46796,                0.30666,                  1.281,                 2.3751,                 1.1734,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.3277,                 1.9615,                  1.241,                0.42598,                0.54583,                0.40315,                0.27147,                 1.2391,                 2.4193,                 1.1946,               0.001568,               0.001568,               0.001568
                     14,                 1.2474,                 1.8267,                 1.1795,                0.45068,                0.75833,                 0.5085,                0.35145,                 1.0795,                 2.0245,                  1.097,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.2166,                 1.8356,                  1.156,                0.38953,                0.62917,                0.41477,                0.27728,                 1.1707,                 2.2713,                 1.1684,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.1902,                 1.7562,                 1.1217,                0.39404,                0.46667,                0.31355,                0.18261,                 1.5085,                 2.9575,                 1.4568,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.1975,                 1.6356,                 1.1378,                0.43382,                 0.6625,                0.47825,                0.31519,                 1.2125,                 1.8067,                 1.1679,               0.001535,               0.001535,               0.001535
                     18,                 1.1679,                 1.6034,                 1.0748,                0.48513,                 0.6875,                0.45838,                0.30561,                 1.2523,                 2.0027,                 1.1591,              0.0015267,              0.0015267,              0.0015267
                     19,                  1.175,                 1.5819,                 1.1208,                0.41854,                    0.6,                0.39596,                0.26249,                 1.2266,                 2.0985,                 1.2054,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.1636,                 1.6103,                 1.1271,                0.44816,                0.69167,                0.50815,                0.35347,                 1.1264,                 1.5914,                 1.1212,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.1091,                 1.5683,                 1.1121,                0.43145,                0.82223,                0.50369,                0.35248,                 1.0712,                 1.4672,                 1.0549,               0.001502,               0.001502,               0.001502
                     22,                  1.058,                  1.465,                 1.0956,                0.51183,                 0.8625,                0.56194,                0.37766,                 1.0687,                 1.3488,                 1.0474,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.1591,                 1.4912,                 1.1389,                0.52942,                0.75833,                0.53069,                0.36656,                 1.0969,                 1.3465,                 1.0591,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.1405,                 1.4294,                 1.1168,                0.44608,                   0.75,                0.51495,                0.37166,                 1.1201,                 1.4988,                 1.1155,              0.0014772,              0.0014772,              0.0014772
