                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9055,                 4.6586,                 1.5805,                0.00258,                  0.725,                0.00598,                0.00297,                 1.2029,                 4.3752,                 1.2229,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.6476,                 3.8653,                 1.3749,                0.00176,                0.38333,                 0.0966,                0.03354,                 1.0697,                 3.9922,                 1.0889,             0.00044786,             0.00044786,             0.00044786
                      3,                 1.4367,                  3.084,                   1.26,                0.00156,                0.37083,                0.01955,                0.00835,                 1.2263,                 4.1818,                 1.1698,              0.0006767,              0.0006767,              0.0006767
                      4,                 1.3291,                 2.6055,                 1.1942,                0.00246,                0.70833,                0.05617,                0.03839,                 1.2839,                 3.9015,                 1.1804,             0.00090323,             0.00090323,             0.00090323
                      5,                 1.3722,                 2.7483,                 1.2622,                0.00265,                0.75833,                0.37367,                0.25136,                 1.1061,                  3.351,                 1.1206,              0.0011275,              0.0011275,              0.0011275
                      6,                 1.2685,                  2.413,                 1.1989,                0.47686,                0.45928,                0.39693,                0.27024,                 1.1789,                  2.731,                 1.1804,              0.0013494,              0.0013494,              0.0013494
                      7,                  1.321,                 2.5143,                 1.2548,                0.43973,                    0.4,                0.38884,                0.22426,                 1.2244,                 2.6301,                 1.2477,               0.001569,               0.001569,               0.001569
                      8,                 1.3392,                 2.3803,                 1.2437,                0.23678,                0.29583,                0.16295,                0.08751,                 1.7417,                 4.1818,                 1.9158,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.2721,                 2.2633,                 1.1783,                0.39425,                   0.55,                0.39487,                0.23679,                 1.3768,                 3.6124,                 1.4411,               0.001601,               0.001601,               0.001601
                     10,                 1.2994,                 2.2177,                 1.2535,                0.33907,                0.66667,                0.41251,                0.26882,                 1.1182,                 2.5277,                 1.1483,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.2362,                 2.1545,                 1.2341,                0.46379,                0.49583,                0.38902,                0.26974,                 1.1535,                 2.1288,                 1.1947,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.2049,                 2.0323,                 1.1888,                0.42161,                0.48668,                0.44009,                0.29709,                 1.1653,                 2.4194,                  1.172,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.2876,                 1.9392,                 1.2759,                0.45186,                0.73333,                0.47862,                0.33001,                 1.0805,                 2.0248,                  1.087,               0.001568,               0.001568,               0.001568
                     14,                 1.2496,                 1.8756,                 1.1901,                0.40962,                0.72209,                 0.4693,                0.30996,                 1.2619,                 2.1452,                 1.2127,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.2105,                 1.8944,                 1.2206,                0.42576,                0.57388,                0.46187,                0.28902,                 1.2016,                 2.1363,                 1.2167,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.2057,                 1.7739,                 1.1778,                 0.4127,                0.77332,                0.52017,                0.34636,                 1.1439,                 1.7744,                 1.1639,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.1333,                 1.6118,                 1.1047,                0.42437,                0.83983,                0.52079,                0.34826,                  1.094,                 1.5668,                  1.096,               0.001535,               0.001535,               0.001535
                     18,                 1.1314,                  1.648,                 1.0889,                0.45206,                0.69908,                0.49976,                0.36778,                 1.0629,                 1.5109,                 1.0583,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.1548,                 1.6129,                  1.138,                0.43279,                0.78801,                0.49752,                0.34261,                 1.0986,                 1.6165,                 1.0808,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.1478,                 1.5652,                 1.1443,                0.46699,                 0.7125,                0.50703,                0.36715,                 1.0119,                 1.5471,                 1.0573,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.0886,                 1.5355,                 1.1088,                0.46991,                0.84167,                 0.5079,                0.35877,                 1.0903,                 1.4087,                 1.0774,               0.001502,               0.001502,               0.001502
                     22,                 1.0447,                 1.4919,                 1.1176,                0.49544,                 0.7125,                0.55248,                0.38054,                 1.0361,                 1.4743,                 1.0794,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.0991,                 1.5123,                 1.1355,                0.48645,                    0.8,                0.53075,                0.36275,                 1.0799,                 1.4342,                  1.134,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.1046,                 1.4224,                 1.1163,                0.45947,                0.82161,                0.49116,                0.33758,                 1.0785,                 1.5386,                 1.0861,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.1582,                 1.4494,                 1.1484,                0.45516,                0.74372,                 0.4641,                0.30379,                 1.1322,                 1.6747,                 1.1888,               0.001469,               0.001469,               0.001469
                     26,                 1.0411,                 1.4336,                  1.093,                0.57169,                0.68333,                0.61348,                0.43174,                 1.0978,                 1.3078,                 1.0943,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.0872,                 1.3971,                 1.0786,                 0.4701,                0.80417,                0.51921,                0.36583,                  1.036,                 1.3653,                 1.0745,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.1003,                 1.3523,                 1.0824,                0.46246,                0.86667,                0.52689,                0.35578,                 1.1141,                 1.3117,                 1.0929,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.1195,                 1.3825,                 1.0962,                0.40748,                  0.825,                0.48547,                0.33076,                 1.0415,                 1.3716,                 1.0836,               0.001436,               0.001436,               0.001436
                     30,                0.98697,                 1.2952,                  1.063,                0.50625,                0.77083,                0.54022,                0.38067,                0.98846,                 1.2045,                 1.0339,              0.0014277,              0.0014277,              0.0014277
                     31,                 1.0221,                 1.2958,                 1.0535,                0.45249,                0.88333,                0.53666,                0.38338,                 1.0053,                 1.2179,                 1.0481,              0.0014195,              0.0014195,              0.0014195
                     32,                 1.0939,                 1.3493,                 1.0899,                0.45482,                0.57317,                0.46797,                0.32122,                 1.1177,                 1.4649,                 1.1314,              0.0014112,              0.0014112,              0.0014112
                     33,                 1.0711,                 1.2923,                 1.0973,                0.49444,                  0.825,                0.54007,                0.37322,                 1.0844,                  1.368,                 1.1178,              0.0014029,              0.0014029,              0.0014029
                     34,                 1.0582,                 1.3384,                 1.0817,                0.45875,                   0.85,                0.54982,                0.38209,                 1.0324,                 1.1967,                 1.0954,              0.0013947,              0.0013947,              0.0013947
                     35,                 1.0459,                 1.2869,                  1.091,                0.47939,                 0.8511,                 0.5182,                0.37575,                 1.0682,                 1.2857,                 1.0809,              0.0013864,              0.0013864,              0.0013864
                     36,                  1.054,                 1.3105,                 1.0946,                0.47467,                0.82917,                0.53925,                0.37443,                 1.1177,                 1.2018,                 1.0918,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.0432,                 1.2822,                 1.0934,                0.48483,                  0.726,                0.50937,                0.36492,                 1.0521,                 1.3703,                 1.0427,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.0448,                 1.2914,                   1.12,                0.48474,                0.77917,                0.54871,                0.36594,                 1.0803,                 1.2485,                 1.0579,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.0566,                 1.2332,                 1.0803,                0.42967,                0.87942,                0.51982,                0.36812,                 1.0391,                 1.2442,                 1.0363,              0.0013534,              0.0013534,              0.0013534
                     40,                  1.035,                 1.1605,                  1.067,                0.41756,                0.69583,                0.47785,                0.31682,                  1.169,                 1.6449,                  1.137,              0.0013452,              0.0013452,              0.0013452
                     41,                0.94616,                  1.183,                 1.0231,                0.51193,                0.83697,                0.58649,                0.40234,                 1.0374,                  1.219,                 1.0541,              0.0013369,              0.0013369,              0.0013369
                     42,                0.99307,                 1.1681,                 1.0578,                  0.469,                 0.8125,                0.55898,                0.39172,                 1.0878,                 1.2434,                 1.0721,              0.0013287,              0.0013287,              0.0013287
                     43,                0.93324,                 1.1558,                 1.0086,                0.48228,                0.90833,                0.55994,                0.39502,                 1.0521,                 1.2286,                 1.0841,              0.0013204,              0.0013204,              0.0013204
                     44,                0.96777,                  1.117,                  1.027,                0.45445,                0.89583,                0.51458,                 0.3501,                 1.1333,                 1.5116,                 1.1365,              0.0013122,              0.0013122,              0.0013122
                     45,                0.99885,                 1.0692,                 1.0521,                0.44694,                0.75113,                0.54667,                0.38731,                 1.0726,                 1.4141,                 1.1033,              0.0013039,              0.0013039,              0.0013039
