                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7558,                 4.7305,                 1.4929,                0.00224,                0.61667,                 0.0044,                0.00261,                 1.0732,                 4.4058,                 1.2169,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.5005,                 3.6228,                 1.2725,                0.00271,                 0.7625,                0.15088,                0.08787,                 1.0762,                 4.0058,                 1.1001,             0.00044786,             0.00044786,             0.00044786
                      3,                 1.3394,                 3.1598,                 1.2336,                0.00263,                0.75833,                0.16237,                0.08464,                  1.155,                 3.8822,                 1.0959,              0.0006767,              0.0006767,              0.0006767
                      4,                 1.2534,                 2.6309,                 1.1342,                0.31793,                0.14583,                0.32153,                0.20931,                 1.0037,                   3.37,                 1.0181,             0.00090323,             0.00090323,             0.00090323
                      5,                 1.3098,                 2.6341,                 1.1863,                0.55574,                 0.2625,                0.42722,                0.29466,                 1.0975,                 2.8959,                 1.0799,              0.0011275,              0.0011275,              0.0011275
                      6,                 1.2873,                 2.4878,                 1.2058,                0.45334,                 0.4125,                0.39577,                0.25619,                 1.2048,                 2.6026,                 1.2055,              0.0013494,              0.0013494,              0.0013494
                      7,                  1.354,                 2.5364,                 1.2551,                 0.3424,                  0.525,                 0.3437,                 0.2181,                 1.3169,                 3.2215,                  1.283,               0.001569,               0.001569,               0.001569
                      8,                 1.2581,                 2.1929,                 1.1538,                0.35428,                0.42917,                 0.3395,                0.21404,                 1.2885,                 2.8237,                 1.2116,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.2463,                 2.1898,                 1.1925,                0.05273,                0.07083,                0.03392,                0.01532,                 1.3908,                 7.6012,                 1.3646,               0.001601,               0.001601,               0.001601
                     10,                 1.3857,                  2.313,                 1.2637,                0.41052,                0.64094,                0.44505,                0.29496,                 1.2268,                 2.4198,                 1.2889,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.2778,                 1.9943,                  1.225,                0.44432,                0.58849,                0.45154,                0.29602,                 1.1721,                 2.4897,                  1.204,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.2561,                 2.0099,                 1.2181,                0.43596,                0.74167,                0.49481,                0.31251,                 1.1969,                 1.9818,                 1.2254,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.2073,                 1.8639,                 1.1826,                 0.4812,                    0.8,                0.52309,                0.37319,                 1.0804,                 1.8816,                 1.0984,               0.001568,               0.001568,               0.001568
                     14,                 1.2633,                 1.9271,                 1.1937,                0.42913,                0.79167,                0.51839,                0.34687,                 1.1819,                 1.8808,                 1.1548,              0.0015597,              0.0015597,              0.0015597
                     15,                  1.206,                 1.7741,                 1.1492,                 0.4321,                 0.8625,                0.54444,                0.37484,                 1.1216,                 1.7073,                 1.1497,              0.0015515,              0.0015515,              0.0015515
