                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5699,                 3.8758,                 1.5619,                0.00297,                0.83333,                0.14558,                0.06303,                  1.381,                 4.0156,                 1.4491,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.3522,                 3.0581,                 1.3539,                0.00261,                   0.75,                0.28967,                0.20125,                 1.3265,                 3.4524,                 1.2736,             0.00044786,             0.00044786,             0.00044786
                      3,                 1.2567,                 2.5233,                  1.266,                  0.003,                0.85417,                0.35778,                0.24011,                 1.0076,                   3.37,                 1.0746,              0.0006767,              0.0006767,              0.0006767
                      4,                 1.3244,                 2.3737,                 1.3093,                0.31812,                0.09916,                0.25157,                0.15069,                 1.2115,                 3.1998,                 1.2131,             0.00090323,             0.00090323,             0.00090323
                      5,                 1.3387,                 2.5275,                 1.3339,                0.35579,                 0.1375,                0.15522,                0.09327,                 1.2171,                 3.3943,                 1.3185,              0.0011275,              0.0011275,              0.0011275
                      6,                 1.2719,                 2.2923,                  1.259,                0.24882,                0.50833,                0.30561,                 0.1554,                 1.3773,                 4.6292,                 1.3782,              0.0013494,              0.0013494,              0.0013494
                      7,                 1.2488,                 2.3281,                 1.2526,                0.47703,                 0.2125,                0.28845,                0.19042,                 1.2004,                 3.1646,                 1.2687,               0.001569,               0.001569,               0.001569
                      8,                 1.3424,                 2.3497,                 1.3257,                0.23284,                0.35833,                0.18856,                0.10746,                 1.2627,                 3.4232,                 1.3883,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.2773,                 2.1902,                 1.2962,                0.14597,                0.39608,                0.15321,                0.08495,                  1.497,                 4.3291,                 1.6177,               0.001601,               0.001601,               0.001601
                     10,                 1.2945,                 2.1207,                 1.3516,                0.21466,                 0.1625,                0.11114,                0.06181,                 1.5057,                 3.7657,                 1.5798,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.2579,                 2.0265,                 1.3117,                0.34772,                 0.1852,                0.14558,                0.07111,                 1.6558,                 4.0499,                 1.5816,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.1975,                 1.9322,                 1.2514,                 0.3328,                0.34167,                0.27249,                0.17865,                 1.2806,                 3.5019,                 1.2741,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.2497,                 1.9934,                 1.3181,                0.19379,                0.38333,                0.26989,                0.17489,                 1.3571,                 3.7464,                 1.3535,               0.001568,               0.001568,               0.001568
                     14,                  1.177,                 1.7936,                 1.1961,                0.47045,                0.54396,                0.38286,                0.24597,                 1.2003,                 2.5167,                 1.2544,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.2089,                 1.7865,                 1.2537,                0.37314,                    0.6,                0.39489,                0.27426,                 1.1217,                 2.0909,                 1.1711,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.1899,                 1.7368,                 1.2441,                0.35468,                0.52917,                0.41141,                0.30157,                 1.0895,                 2.1694,                 1.1321,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.1567,                 1.6284,                 1.2387,                0.38882,                0.70417,                0.46513,                0.32727,                 1.0737,                 2.0585,                 1.1148,               0.001535,               0.001535,               0.001535
                     18,                 1.1604,                 1.6302,                 1.2175,                0.48699,                0.68579,                0.49483,                0.32835,                 1.1663,                 1.7346,                 1.1967,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0951,                 1.5957,                 1.1845,                0.38764,                0.67083,                 0.4592,                0.32277,                 1.0937,                 1.7233,                 1.1447,              0.0015185,              0.0015185,              0.0015185
                     20,                  1.111,                 1.5467,                 1.2102,                 0.4624,                0.73783,                 0.4815,                0.32347,                 1.1184,                 1.5416,                 1.1312,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.1201,                 1.4437,                 1.1854,                0.48383,                0.65835,                 0.4449,                0.31053,                 1.1263,                 1.8178,                 1.1463,               0.001502,               0.001502,               0.001502
