                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9323,                 4.7199,                 1.5871,                 0.0029,                  0.825,                0.02835,                0.01228,                 1.2775,                 4.3534,                 1.2079,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.5904,                 3.7623,                 1.3537,                0.00321,                    0.9,                0.11396,                0.05832,                   1.12,                 4.1589,                  1.124,             0.00044786,             0.00044786,             0.00044786
                      3,                 1.3783,                 3.0138,                  1.259,                0.00154,                0.44167,                0.03195,                0.01542,                 1.1815,                 3.9786,                 1.1586,              0.0006767,              0.0006767,              0.0006767
                      4,                  1.393,                 2.6451,                 1.2289,                0.00264,                 0.7625,                0.26642,                0.14967,                 1.0429,                 3.5375,                 1.0453,             0.00090323,             0.00090323,             0.00090323
                      5,                 1.4094,                  2.851,                 1.2893,                0.00273,                0.77917,                0.40459,                0.26246,                  1.215,                 3.3691,                 1.1363,              0.0011275,              0.0011275,              0.0011275
                      6,                 1.3279,                 2.4827,                 1.2091,                0.39725,                0.58353,                 0.4318,                0.26178,                 1.2615,                 2.6111,                 1.2106,              0.0013494,              0.0013494,              0.0013494
                      7,                 1.4659,                 2.7323,                 1.3562,                0.30835,                0.41483,                 0.2795,                0.15929,                 1.2916,                 3.1777,                 1.3552,               0.001569,               0.001569,               0.001569
                      8,                 1.4057,                 2.4082,                 1.2416,                0.37406,                0.17935,                0.10457,                0.04592,                 1.8409,                 6.9328,                  1.868,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.3118,                 2.3448,                 1.2414,                0.02194,                0.12083,                0.03326,                0.02083,                 1.9619,                 5.6403,                 1.8479,               0.001601,               0.001601,               0.001601
                     10,                 1.3848,                 2.2688,                 1.3199,                 0.1928,                0.27917,                 0.1765,                0.09175,                 1.9732,                 3.7676,                  1.997,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.3452,                 2.2684,                 1.2745,                0.44621,                0.55417,                0.44594,                0.30483,                 1.2227,                 2.4014,                 1.2561,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.3303,                  2.106,                 1.2462,                0.43144,                  0.825,                0.50457,                0.31854,                 1.2758,                 2.0534,                 1.2165,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.3722,                 2.0412,                 1.3364,                0.44424,                0.77186,                0.51154,                0.34156,                 1.2219,                 2.0715,                 1.1701,               0.001568,               0.001568,               0.001568
                     14,                  1.324,                   1.87,                 1.2354,                0.45054,                0.58308,                 0.4314,                0.28158,                 1.2034,                 2.1471,                 1.1834,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.2836,                  1.887,                 1.2175,                0.40422,                0.60172,                0.40722,                0.24452,                 1.3712,                 2.4203,                 1.2889,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.2527,                 1.7546,                 1.2053,                 0.4561,                0.70417,                0.48525,                0.28272,                 1.2499,                 1.8576,                 1.2227,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.2119,                 1.6307,                 1.1545,                 0.4082,                0.77917,                 0.4821,                0.32903,                 1.1584,                 1.6987,                 1.1463,               0.001535,               0.001535,               0.001535
                     18,                 1.2462,                 1.7266,                 1.1337,                0.48237,                0.80833,                0.52842,                0.35079,                 1.1823,                 1.5461,                 1.1522,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.1795,                 1.6269,                 1.1631,                0.49973,                0.66073,                0.52891,                 0.3399,                 1.2329,                 1.5143,                 1.1459,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.1707,                 1.6271,                 1.1693,                0.48574,                0.76667,                0.52234,                0.37108,                 1.0287,                 1.3552,                  1.067,              0.0015102,              0.0015102,              0.0015102
                     21,                  1.193,                  1.546,                 1.1661,                0.46826,                0.74769,                  0.516,                0.37028,                 1.0902,                 1.4642,                 1.0805,               0.001502,               0.001502,               0.001502
                     22,                 1.1468,                 1.5313,                 1.1631,                0.44276,                0.76994,                0.49759,                0.31968,                 1.1829,                  1.558,                 1.1589,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.1796,                 1.5436,                 1.1895,                0.45393,                  0.775,                   0.52,                0.36311,                 1.0149,                 1.4443,                 1.0726,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.1019,                 1.4828,                 1.1388,                0.42617,                  0.825,                0.52987,                0.35171,                 1.1597,                 1.4837,                 1.1769,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.2203,                 1.5355,                 1.1832,                0.47815,                0.85833,                 0.5188,                0.31131,                  1.205,                 1.3979,                  1.155,               0.001469,               0.001469,               0.001469
                     26,                 1.0922,                 1.5206,                 1.1284,                0.48567,                 0.7971,                0.53994,                0.37625,                 1.0658,                 1.3112,                 1.0876,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.1309,                 1.4354,                 1.1217,                0.44424,                0.71243,                 0.5565,                0.38287,                 1.1648,                 1.4976,                 1.1386,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.1859,                 1.4209,                  1.141,                0.46506,                0.75833,                0.54638,                0.38217,                 1.1143,                 1.3441,                 1.1275,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.1998,                 1.4741,                 1.1597,                0.44356,                0.80417,                0.55028,                 0.3731,                 1.1211,                 1.3455,                 1.1226,               0.001436,               0.001436,               0.001436
                     30,                 1.1201,                  1.372,                 1.1371,                0.46835,                0.85634,                0.52988,                0.34703,                 1.1154,                 1.2251,                 1.1028,              0.0014277,              0.0014277,              0.0014277
                     31,                  1.144,                 1.3762,                 1.1201,                0.46366,                0.80491,                0.53085,                0.38665,                0.97245,                 1.2671,                 1.0472,              0.0014195,              0.0014195,              0.0014195
                     32,                 1.1184,                 1.3846,                 1.0821,                0.45986,                0.77049,                 0.5198,                0.37075,                 1.0674,                 1.2901,                 1.0775,              0.0014112,              0.0014112,              0.0014112
