                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01486,                 6.2096,                 1.6479,                  5e-05,                0.01667,                  3e-05,                  1e-05,                0.01944,                 6.8876,                 2.5655,               0.098831,               0.011831,               0.011831
                      2,                0.01494,                 5.0788,                 1.5851,                0.00018,                   0.05,                 0.0001,                  4e-05,                0.02133,                 6.5718,                 2.3882,               0.097515,               0.024515,               0.024515
                      3,                 0.0171,                 4.7759,                 1.6628,                0.00101,                0.29167,                0.04458,                0.01073,                0.01527,                 5.6581,                 1.5547,               0.096139,               0.037139,               0.037139
                      4,                0.01795,                 4.5855,                  1.848,                0.00092,                 0.2625,                0.03911,                 0.0173,                0.02328,                 7.2389,                 3.3799,               0.094705,               0.049705,               0.049705
                      5,                0.01856,                 5.0429,                 1.8072,                 0.0254,                0.19167,                0.01695,                0.00381,                0.02151,                  12.78,                 2.6158,               0.093211,               0.062211,               0.062211
                      6,                0.01856,                 5.9446,                 2.0777,                0.00046,                   0.15,                0.00031,                 0.0001,                0.03176,                 7.5335,                 4.6011,               0.091657,               0.074657,               0.074657
                      7,                0.01934,                 5.0795,                 2.0949,                0.00104,                0.29583,                0.00375,                0.00139,                  0.028,                    inf,                 19.755,               0.090045,               0.087045,               0.087045
                      8,                0.02051,                 5.1999,                 2.1289,                0.24661,                0.15417,                0.08727,                0.02591,                0.02041,                 7.4499,                 2.4875,               0.089525,               0.089525,               0.089525
                      9,                0.01991,                 4.9643,                 2.0147,                0.14668,                 0.0375,                0.03516,                0.00565,                0.02621,                 6.7088,                 3.8262,               0.089314,               0.089314,               0.089314
                     10,                0.02021,                 5.0917,                 1.9491,                0.07106,                0.08333,                0.05301,                0.01278,                0.02024,                 9.4804,                 2.6998,               0.089102,               0.089102,               0.089102
                     11,                 0.0193,                 4.8954,                 1.9823,                0.00145,                0.25833,                0.00136,                0.00025,                 0.0268,                 26.068,                 3.1801,                0.08889,                0.08889,                0.08889
                     12,                0.02149,                 4.9152,                 2.1277,                0.00135,                0.30833,                0.00261,                 0.0008,                0.02148,                 6.3527,                 2.5863,               0.088678,               0.088678,               0.088678
                     13,                0.02074,                 4.8337,                 2.1304,                0.00832,                 0.5875,                0.02238,                0.00738,                0.02003,                 5.3746,                 2.1914,               0.088467,               0.088467,               0.088467
                     14,                 0.0202,                 4.6907,                 2.0437,                0.00405,                 0.0875,                0.00206,                0.00045,                0.02539,                 52.494,                 2.8023,               0.088255,               0.088255,               0.088255
                     15,                0.01903,                 4.3558,                 1.8913,                 0.1188,                 0.0375,                  0.017,                  0.003,                0.01805,                 5.3324,                 2.0583,               0.088043,               0.088043,               0.088043
                     16,                0.01946,                 4.3152,                 1.9808,                0.22174,                 0.2375,                0.13314,                0.04623,                0.01952,                 7.1005,                 1.8841,               0.087832,               0.087832,               0.087832
                     17,                0.01857,                 4.2487,                 1.8279,                 0.5079,                 0.0375,                0.04036,                0.01409,                0.01911,                  7.366,                 2.1225,                0.08762,                0.08762,                0.08762
                     18,                 0.0178,                 4.3541,                 1.8187,                0.00713,                0.79167,                0.18571,                0.07132,                0.01705,                 4.3516,                 1.8386,               0.087408,               0.087408,               0.087408
                     19,                0.01759,                 4.1526,                  1.828,                0.31451,                0.32083,                 0.2642,                0.13794,                0.01417,                 3.4059,                 1.4051,               0.087197,               0.087197,               0.087197
                     20,                0.01702,                 3.8388,                 1.8029,                0.35836,                0.30833,                0.22777,                0.08322,                0.01845,                 3.7415,                 1.7608,               0.086985,               0.086985,               0.086985
                     21,                0.01839,                 3.8061,                  1.986,                0.26325,                0.20936,                 0.1737,                0.05402,                0.01826,                 6.7615,                  2.016,               0.086773,               0.086773,               0.086773
                     22,                0.01905,                 4.0058,                 1.8492,                0.00337,                0.95833,                0.24311,                0.09039,                0.01657,                  3.375,                 1.8235,               0.086562,               0.086562,               0.086562
                     23,                0.01786,                 3.9802,                 1.8415,                0.02263,                0.64583,                0.02609,                0.00844,                0.01637,                 4.9906,                 1.6774,                0.08635,                0.08635,                0.08635
                     24,                0.01802,                 3.6367,                 1.8806,                0.36523,                  0.425,                0.26661,                0.08758,                0.01862,                 4.1974,                 1.8015,               0.086138,               0.086138,               0.086138
                     25,                 0.0197,                 3.6171,                 1.9992,                0.10464,                 0.3875,                0.17142,                0.07532,                0.01792,                 3.8378,                 1.6668,               0.085927,               0.085927,               0.085927
                     26,                0.01675,                 3.2965,                 1.6915,                0.06975,                0.70833,                0.20681,                0.06935,                0.01938,                 3.7782,                 1.8068,               0.085715,               0.085715,               0.085715
                     27,                 0.0175,                 3.4539,                 1.8365,                0.15444,                0.47917,                0.29227,                0.11985,                0.01592,                 2.7906,                 1.6134,               0.085503,               0.085503,               0.085503
                     28,                0.01742,                 3.2679,                 1.7931,                0.22866,                0.31667,                0.22942,                0.11405,                0.01526,                  3.128,                 1.5599,               0.085291,               0.085291,               0.085291
                     29,                0.01578,                 3.1039,                 1.6783,                0.31147,                0.49476,                0.34728,                0.12921,                0.01626,                  2.839,                 1.4865,                0.08508,                0.08508,                0.08508
                     30,                0.01658,                 3.1377,                 1.6825,                0.40049,                0.45833,                0.41573,                0.20496,                0.01412,                 2.4785,                 1.3352,               0.084868,               0.084868,               0.084868
                     31,                0.01683,                 3.0463,                 1.6669,                0.39023,                0.47052,                0.42507,                0.15842,                0.01677,                 2.7206,                 1.6362,               0.084656,               0.084656,               0.084656
                     32,                 0.0162,                 3.0843,                 1.6375,                0.24239,                0.45417,                0.38227,                0.20358,                0.01402,                 2.4644,                 1.3574,               0.084445,               0.084445,               0.084445
                     33,                0.01609,                 2.8374,                 1.6502,                0.18982,                0.80417,                0.32407,                0.13035,                0.01593,                 2.8653,                 1.5867,               0.084233,               0.084233,               0.084233
                     34,                0.01589,                 3.1764,                 1.6608,                0.37609,                    0.5,                0.32723,                0.14282,                0.01399,                 3.3263,                 1.3425,               0.084021,               0.084021,               0.084021
                     35,                 0.0154,                 2.9884,                 1.5489,                0.24351,                0.43333,                0.31522,                0.12092,                0.01569,                 2.7181,                 1.5677,                0.08381,                0.08381,                0.08381
                     36,                0.01491,                 2.7368,                  1.586,                0.38433,                0.46115,                0.43643,                 0.1739,                 0.0167,                 2.4199,                 1.5587,               0.083598,               0.083598,               0.083598
                     37,                0.01541,                 2.8857,                 1.6044,                0.19074,                0.72083,                0.31302,                0.11097,                0.01608,                 2.7283,                 1.6849,               0.083386,               0.083386,               0.083386
                     38,                0.01484,                 2.7436,                 1.5452,                0.46387,                0.53845,                0.40738,                0.22343,                0.01295,                 2.6891,                 1.4134,               0.083175,               0.083175,               0.083175
                     39,                0.01525,                 2.8055,                  1.612,                0.39134,                0.52637,                 0.3762,                0.10626,                0.01769,                 3.0166,                 1.6904,               0.082963,               0.082963,               0.082963
                     40,                0.01587,                 2.8721,                 1.6553,                0.43061,                0.64167,                 0.4241,                0.21313,                0.01419,                 2.7074,                  1.403,               0.082751,               0.082751,               0.082751
