                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02253,                 9.6789,                 1.5564,                0.00147,                0.42083,                0.00115,                0.00059,                  0.022,                 9.6186,                 1.6703,               0.098736,               0.011736,               0.011736
                      2,                0.01909,                 7.5324,                 1.3661,                  0.003,                0.85833,                0.09174,                0.04316,                0.01809,                 7.7527,                 1.2242,               0.097353,               0.024353,               0.024353
                      3,                0.02071,                 7.2441,                 1.3364,                0.00148,                 0.4125,                0.07981,                0.03197,                0.02623,                 8.1158,                 1.7964,               0.095949,               0.036949,               0.036949
                      4,                0.02535,                 8.4525,                 1.6366,                0.00032,                0.09583,                0.00034,                  6e-05,                0.04284,                 9.6263,                 6.4375,               0.094522,               0.049522,               0.049522
                      5,                0.02603,                 7.7304,                 1.6365,                0.02137,                0.08333,                0.02431,                0.00338,                0.03113,                 126.48,                 3.1387,               0.093074,               0.062074,               0.062074
                      6,                0.02941,                 7.4791,                 2.0294,                0.00052,                0.14583,                0.00033,                  5e-05,                0.04216,                    inf,                 30.979,               0.091603,               0.074603,               0.074603
                      7,                0.03278,                 7.8937,                 2.7432,                0.00052,                0.14583,                0.00033,                  5e-05,                    nan,                    nan,                    nan,               0.090111,               0.087111,               0.087111
                      8,                0.03463,                  7.832,                 2.7024,                0.00052,                0.14583,                0.00033,                  5e-05,                    nan,                    nan,                    nan,               0.089727,               0.089727,               0.089727
                      9,                0.03402,                 9.7921,                 2.4406,                0.00052,                0.14583,                0.00033,                  5e-05,                    nan,                    nan,                    nan,               0.089648,               0.089648,               0.089648
                     10,                0.03498,                 8.1629,                 2.6528,                0.00052,                0.14583,                0.00033,                  5e-05,                    nan,                    nan,                    nan,                0.08957,                0.08957,                0.08957
                     11,                0.03424,                 7.3076,                 2.4532,                0.00052,                0.14583,                0.00033,                  5e-05,                    nan,                    nan,                    nan,               0.089491,               0.089491,               0.089491
                     12,                0.03683,                 15.381,                 3.0386,                0.00052,                0.14583,                0.00033,                  5e-05,                    nan,                    nan,                    nan,               0.089413,               0.089413,               0.089413
                     13,                0.03443,                 7.9024,                 2.5593,                0.00052,                0.14583,                0.00033,                  5e-05,                    nan,                    nan,                    nan,               0.089334,               0.089334,               0.089334
                     14,                0.03314,                  7.381,                 2.4317,                0.00052,                0.14583,                0.00033,                  5e-05,                    nan,                    nan,                    nan,               0.089256,               0.089256,               0.089256
                     15,                0.03285,                 6.8988,                 2.5625,                0.00052,                0.14583,                0.00033,                  5e-05,                    nan,                    nan,                    nan,               0.089177,               0.089177,               0.089177
                     16,                0.03226,                 7.0442,                 2.4619,                0.00022,                0.11667,                0.00019,                  7e-05,                0.05194,                    inf,                 329.08,               0.089099,               0.089099,               0.089099
                     17,                0.03171,                 6.3849,                 2.3932,                0.00345,                0.13333,                0.00206,                0.00043,                0.04063,                 8.5207,                   3.59,               0.089021,               0.089021,               0.089021
                     18,                0.03164,                 6.6928,                 2.3722,                  7e-05,                0.04167,                  5e-05,                  2e-05,                0.04201,                  64.73,                  3.398,               0.088942,               0.088942,               0.088942
                     19,                0.03027,                 6.0083,                 2.3406,                  7e-05,                0.04167,                  5e-05,                  2e-05,                 0.0434,                 27.203,                 4.1866,               0.088864,               0.088864,               0.088864
                     20,                0.03009,                 6.0447,                 2.3715,                  6e-05,                0.02083,                0.00033,                0.00018,                0.04139,                 62.895,                 3.9271,               0.088785,               0.088785,               0.088785
                     21,                0.03052,                  6.051,                 2.4017,                0.50109,                0.23333,                0.00127,                 0.0003,                0.04014,                 60.098,                 3.1515,               0.088707,               0.088707,               0.088707
                     22,                0.02825,                 5.7785,                 2.2599,                0.00134,                0.38333,                0.00179,                0.00049,                 0.0346,                 32.191,                 2.7087,               0.088628,               0.088628,               0.088628
                     23,                0.02812,                 5.3826,                 2.2132,                0.00214,                0.53333,                0.00194,                0.00077,                0.03211,                 13.448,                 2.4375,                0.08855,                0.08855,                0.08855
                     24,                0.02893,                 5.4197,                 2.2581,                0.01897,                  0.725,                0.06144,                0.02381,                0.03049,                 5.4847,                 2.4354,               0.088471,               0.088471,               0.088471
                     25,                0.02837,                 5.5579,                 2.3159,                0.06283,                0.24167,                0.10568,                0.03133,                0.02893,                 5.0238,                 2.1459,               0.088393,               0.088393,               0.088393
                     26,                0.02624,                  5.015,                 2.1162,                 0.1122,                0.24583,                0.10652,                0.03108,                0.03101,                 5.8515,                 2.1615,               0.088315,               0.088315,               0.088315
                     27,                0.02888,                 4.8804,                 2.3068,                 0.0302,                0.28333,                0.03454,                0.01132,                0.03062,                 6.3821,                 2.2397,               0.088236,               0.088236,               0.088236
                     28,                0.02759,                 4.8893,                 2.2449,                0.06386,                0.23333,                0.09909,                0.03556,                0.02986,                 8.5244,                 2.4211,               0.088158,               0.088158,               0.088158
                     29,                0.02662,                  5.013,                 2.1925,                0.58384,                    0.2,                0.17407,                0.05432,                0.03136,                 5.3193,                 2.2924,               0.088079,               0.088079,               0.088079
                     30,                0.02745,                 4.9068,                 2.1794,                0.24667,                 0.2956,                0.17754,                0.08247,                0.02913,                 5.4852,                 2.2852,               0.088001,               0.088001,               0.088001
                     31,                0.02666,                 4.8161,                  2.135,                0.08998,                   0.65,                0.18281,                0.08831,                0.02823,                 6.5582,                 2.1541,               0.087922,               0.087922,               0.087922
                     32,                0.02599,                 4.6197,                 2.1212,                0.10259,                0.58333,                0.20682,                0.07518,                0.03193,                 7.1679,                 2.3148,               0.087844,               0.087844,               0.087844
                     33,                0.02636,                 4.5255,                 2.1473,                0.36148,                0.27083,                0.31827,                 0.1174,                0.02747,                 4.8792,                 2.1167,               0.087766,               0.087766,               0.087766
                     34,                0.02467,                 4.6392,                 2.0557,                0.14521,                0.39583,                0.12706,                0.04848,                0.02783,                 4.9848,                 2.0537,               0.087687,               0.087687,               0.087687
                     35,                0.02606,                 4.5003,                 2.0997,                0.08757,                  0.175,                 0.0896,                0.02853,                0.03077,                 6.4083,                 2.3007,               0.087609,               0.087609,               0.087609
                     36,                0.02526,                 4.4813,                 2.0748,                0.22976,                0.37917,                0.24891,                0.10542,                0.02849,                 5.3173,                 2.3991,                0.08753,                0.08753,                0.08753
                     37,                 0.0246,                 4.3492,                 1.9907,                0.24369,                0.37086,                 0.2736,                  0.119,                0.02642,                 4.8528,                 1.9634,               0.087452,               0.087452,               0.087452
                     38,                0.02502,                 4.1977,                 2.0671,                0.30289,                  0.475,                0.32685,                0.14611,                0.02612,                 4.7131,                  1.938,               0.087373,               0.087373,               0.087373
                     39,                0.02493,                 4.1726,                 2.0241,                0.28638,                0.41644,                 0.3027,                0.15402,                0.02362,                 3.9691,                 1.8131,               0.087295,               0.087295,               0.087295
                     40,                0.02363,                 3.8785,                 1.9638,                 0.2981,                0.66667,                0.40376,                0.18563,                0.02102,                 3.7561,                 1.7075,               0.087216,               0.087216,               0.087216
                     41,                0.02324,                 4.0494,                 1.9299,                0.35139,                0.43333,                0.32727,                0.13424,                0.02601,                 4.2835,                 1.9063,               0.087138,               0.087138,               0.087138
                     42,                0.02401,                 4.2443,                 1.9323,                0.30438,                0.57917,                0.33449,                 0.1845,                 0.0219,                 3.7848,                 1.7002,                0.08706,                0.08706,                0.08706
                     43,                0.02418,                 4.1363,                 1.9594,                0.35488,                0.20417,                0.21809,                0.09641,                0.02717,                 5.7932,                 2.0244,               0.086981,               0.086981,               0.086981
                     44,                0.02303,                 3.8412,                 1.9457,                0.29525,                0.50417,                0.32408,                0.16816,                0.02276,                 3.9873,                 1.7148,               0.086903,               0.086903,               0.086903
                     45,                0.02246,                 3.8984,                 1.8951,                0.34019,                0.68292,                0.38532,                0.18691,                0.02133,                 3.5903,                 1.6947,               0.086824,               0.086824,               0.086824
                     46,                0.02234,                 3.6027,                 1.8148,                0.32585,                0.48333,                0.31151,                0.17342,                0.02204,                 3.9815,                 1.7416,               0.086746,               0.086746,               0.086746
                     47,                0.02223,                 3.7963,                 1.8788,                0.33217,                0.63333,                0.32639,                0.18546,                0.02097,                 3.6429,                 1.6695,               0.086667,               0.086667,               0.086667
                     48,                0.02229,                 3.6277,                  1.847,                0.29237,                0.64086,                0.30236,                 0.1347,                0.02216,                 4.0431,                 1.6861,               0.086589,               0.086589,               0.086589
                     49,                 0.0216,                  3.649,                 1.8152,                 0.2538,                0.55917,                0.25339,                0.12043,                0.02261,                 4.2223,                 1.7298,                0.08651,                0.08651,                0.08651
                     50,                0.02145,                 3.3696,                 1.7955,                0.34134,                 0.6245,                0.32321,                0.11962,                0.02779,                  3.969,                 2.0108,               0.086432,               0.086432,               0.086432
                     51,                0.02132,                 3.4112,                 1.8058,                0.42045,                0.49583,                0.40614,                0.19463,                0.02183,                  3.574,                 1.6793,               0.086354,               0.086354,               0.086354
                     52,                0.02108,                 3.3729,                 1.8232,                0.41669,                0.62083,                0.42952,                 0.2251,                0.02117,                 3.3792,                 1.6647,               0.086275,               0.086275,               0.086275
                     53,                0.02046,                 3.5353,                 1.7359,                 0.3984,                0.64167,                0.43083,                 0.2238,                0.02167,                 3.5344,                 1.6876,               0.086197,               0.086197,               0.086197
                     54,                0.02082,                 3.4451,                 1.7163,                0.28173,                0.75417,                0.34794,                0.18872,                0.02088,                 3.3211,                 1.6856,               0.086118,               0.086118,               0.086118
                     55,                0.02146,                 3.4041,                 1.8113,                0.35136,                   0.65,                0.34705,                0.19317,                0.02082,                 3.5413,                  1.642,                0.08604,                0.08604,                0.08604
                     56,                0.01971,                 3.4236,                   1.68,                0.41761,                 0.6875,                0.43156,                0.26551,                 0.0192,                 3.1761,                 1.5366,               0.085961,               0.085961,               0.085961
                     57,                0.01956,                 3.4181,                 1.6871,                0.36328,                0.76667,                0.44937,                0.20734,                0.02215,                 3.5144,                 1.6834,               0.085883,               0.085883,               0.085883
                     58,                0.02063,                 3.4583,                 1.7558,                0.33401,                0.72917,                0.41609,                0.21414,                0.01987,                 3.5955,                 1.6133,               0.085804,               0.085804,               0.085804
                     59,                 0.0195,                 3.2361,                 1.6803,                0.40454,                0.77917,                0.45611,                0.24713,                0.02095,                 3.0935,                 1.6744,               0.085726,               0.085726,               0.085726
                     60,                0.02015,                 3.2462,                 1.6939,                0.44789,                0.58333,                0.45664,                 0.2033,                0.02373,                 3.9191,                 1.7534,               0.085648,               0.085648,               0.085648
                     61,                 0.0202,                 3.2135,                 1.7255,                 0.4184,                0.67199,                0.45485,                0.21317,                0.02274,                 3.2801,                 1.7184,               0.085569,               0.085569,               0.085569
                     62,                0.02019,                 3.1724,                 1.7069,                 0.4556,                0.65417,                0.46146,                0.24607,                0.02368,                 3.9844,                 1.7811,               0.085491,               0.085491,               0.085491
                     63,                0.02003,                 3.0856,                 1.6966,                0.46424,                0.64583,                0.46755,                0.22392,                0.02487,                 3.7753,                 1.8571,               0.085412,               0.085412,               0.085412
                     64,                0.01991,                 3.1117,                  1.708,                0.44845,                0.54167,                0.44209,                 0.2315,                0.02306,                 4.4561,                 1.6976,               0.085334,               0.085334,               0.085334
                     65,                0.01998,                 3.1591,                 1.7005,                0.35601,                0.64583,                0.43597,                0.25414,                 0.0194,                 3.1453,                 1.5441,               0.085255,               0.085255,               0.085255
                     66,                0.01983,                 3.0156,                 1.6616,                0.43711,                0.72917,                0.46603,                0.25425,                0.02031,                 3.1178,                 1.6489,               0.085177,               0.085177,               0.085177
                     67,                0.01966,                 3.0188,                 1.7031,                0.42081,                0.65417,                0.46092,                0.20064,                0.02484,                  4.179,                 1.8789,               0.085099,               0.085099,               0.085099
                     68,                0.02019,                 3.1408,                 1.6834,                 0.4601,                0.65688,                0.49008,                0.26371,                0.02178,                 3.4256,                 1.6574,                0.08502,                0.08502,                0.08502
                     69,                0.01933,                 3.1001,                 1.6421,                0.40161,                0.70833,                0.43728,                0.21148,                0.02369,                 3.3917,                 1.7921,               0.084942,               0.084942,               0.084942
                     70,                0.01968,                 3.0161,                 1.6647,                0.45332,                 0.6671,                0.44405,                0.21783,                0.02148,                 3.3309,                 1.6417,               0.084863,               0.084863,               0.084863
                     71,                0.01941,                 2.9296,                 1.6275,                0.47356,                 0.6375,                0.43061,                0.21784,                0.02182,                 3.4694,                 1.6223,               0.084785,               0.084785,               0.084785
                     72,                 0.0197,                 3.1413,                 1.6201,                0.43927,                0.69167,                0.46118,                0.26812,                0.01875,                 2.8796,                 1.5241,               0.084706,               0.084706,               0.084706
                     73,                0.01868,                 2.9133,                 1.5619,                 0.4608,                0.63333,                0.45599,                 0.2899,                0.01837,                 3.0646,                 1.4606,               0.084628,               0.084628,               0.084628
                     74,                0.01907,                 3.0074,                 1.6405,                0.44654,                0.64583,                 0.4328,                0.24988,                 0.0189,                 3.1299,                 1.4996,               0.084549,               0.084549,               0.084549
                     75,                0.01845,                 2.8986,                 1.5823,                0.46673,                   0.65,                0.51692,                0.30367,                0.02073,                 2.8736,                 1.5537,               0.084471,               0.084471,               0.084471
                     76,                0.01889,                 2.9653,                 1.5913,                0.39992,                    0.8,                0.50134,                0.28898,                0.02008,                 3.0573,                 1.5747,               0.084393,               0.084393,               0.084393
                     77,                0.01767,                 2.8992,                 1.5339,                0.44533,                0.76536,                0.51223,                0.27853,                0.02013,                 2.7761,                 1.5479,               0.084314,               0.084314,               0.084314
                     78,                0.01852,                 2.9398,                 1.5738,                0.45599,                0.72795,                0.49891,                0.29599,                0.01799,                  2.757,                 1.4407,               0.084236,               0.084236,               0.084236
                     79,                0.01845,                 2.8767,                 1.5754,                0.47476,                0.69036,                0.51426,                0.27999,                0.01931,                 2.8243,                 1.5181,               0.084157,               0.084157,               0.084157
                     80,                0.01829,                 2.8378,                 1.5475,                 0.4554,                0.73977,                0.48477,                0.24916,                0.02058,                 2.9752,                 1.6027,               0.084079,               0.084079,               0.084079
                     81,                0.01893,                 2.9321,                 1.5926,                0.36988,                    0.8,                0.51637,                0.27629,                0.01949,                 2.8717,                 1.6012,                  0.084,                  0.084,                  0.084
                     82,                0.01858,                 2.8496,                 1.5885,                0.40715,                  0.775,                0.44741,                 0.2405,                 0.0195,                 2.8525,                 1.5419,               0.083922,               0.083922,               0.083922
                     83,                0.01843,                 2.9317,                 1.5876,                 0.4433,                0.68333,                0.49227,                 0.2646,                0.02066,                 2.8569,                 1.5986,               0.083843,               0.083843,               0.083843
                     84,                0.01878,                 2.8644,                 1.6044,                0.42421,                0.74541,                0.48125,                  0.253,                0.02207,                 3.4991,                 1.6041,               0.083765,               0.083765,               0.083765
                     85,                0.01875,                 2.8695,                 1.5854,                0.44538,                0.58662,                0.44812,                0.24552,                0.02113,                  3.904,                 1.6304,               0.083687,               0.083687,               0.083687
                     86,                0.01812,                 2.8359,                 1.5459,                0.45747,                0.80833,                0.55128,                0.29026,                0.02127,                 2.8514,                 1.6332,               0.083608,               0.083608,               0.083608
                     87,                0.01761,                 2.8995,                 1.5538,                0.48733,                0.76667,                0.53032,                 0.3076,                0.02008,                 3.1059,                 1.5412,                0.08353,                0.08353,                0.08353
                     88,                0.01735,                 2.8254,                 1.5393,                0.46649,                0.81095,                 0.5728,                 0.3305,                 0.0192,                 2.8177,                 1.5096,               0.083451,               0.083451,               0.083451
                     89,                0.01789,                 2.7353,                  1.583,                0.40416,                    0.6,                0.45986,                0.21342,                0.02307,                 3.4244,                 1.7177,               0.083373,               0.083373,               0.083373
                     90,                0.01752,                 2.7589,                 1.5339,                0.49352,                0.75892,                0.52417,                0.30731,                0.01818,                 2.6946,                 1.5238,               0.083294,               0.083294,               0.083294
                     91,                 0.0178,                 2.7785,                 1.5363,                0.45917,                0.80417,                0.54539,                0.29563,                0.02009,                  2.827,                 1.6018,               0.083216,               0.083216,               0.083216
                     92,                0.01695,                 2.8307,                 1.5008,                0.48414,                    0.8,                0.48128,                0.28131,                 0.0182,                 2.6694,                 1.4654,               0.083137,               0.083137,               0.083137
                     93,                0.01852,                 2.6896,                 1.6092,                0.50306,                0.77083,                0.51246,                0.31229,                0.02011,                 2.8218,                 1.5983,               0.083059,               0.083059,               0.083059
                     94,                0.01726,                 2.7206,                 1.5258,                0.44469,                0.85833,                0.51703,                0.31535,                0.01785,                 2.8412,                 1.4576,               0.082981,               0.082981,               0.082981
                     95,                0.01692,                 2.5673,                 1.5125,                0.51988,                   0.65,                  0.537,                0.29614,                0.01885,                 2.7351,                 1.5238,               0.082902,               0.082902,               0.082902
                     96,                0.01763,                 2.7498,                 1.5132,                0.49268,                0.79026,                0.49829,                0.29329,                0.01914,                 2.7233,                 1.5566,               0.082824,               0.082824,               0.082824
                     97,                0.01827,                 2.7886,                 1.5955,                0.49145,                    0.7,                0.51774,                0.29304,                0.01933,                 2.7569,                 1.5696,               0.082745,               0.082745,               0.082745
                     98,                0.01723,                 2.5985,                 1.5029,                0.47244,                0.73351,                0.52338,                0.30434,                0.01876,                 2.8783,                 1.5131,               0.082667,               0.082667,               0.082667
                     99,                0.01703,                 2.6373,                 1.5169,                0.53425,                0.70833,                0.58542,                0.36986,                0.01976,                 2.7298,                 1.4845,               0.082588,               0.082588,               0.082588
                    100,                0.01716,                 2.6406,                 1.5318,                0.49678,                0.74583,                0.55047,                0.33107,                0.01827,                 2.6476,                 1.4734,                0.08251,                0.08251,                0.08251
                    101,                0.01709,                  2.668,                 1.5249,                0.47389,                0.76907,                0.50331,                0.30948,                 0.0189,                 2.7471,                 1.5149,               0.082432,               0.082432,               0.082432
                    102,                0.01638,                 2.6214,                 1.4533,                0.47448,                0.69583,                 0.5412,                0.24149,                0.02224,                 2.8691,                 1.7406,               0.082353,               0.082353,               0.082353
                    103,                0.01679,                 2.7249,                 1.4621,                0.47745,                0.78646,                0.56719,                0.31328,                0.02016,                 2.6898,                  1.556,               0.082275,               0.082275,               0.082275
                    104,                0.01694,                  2.615,                 1.5108,                0.49938,                0.75833,                0.51339,                0.27412,                0.02075,                  2.637,                 1.5943,               0.082196,               0.082196,               0.082196
                    105,                0.01705,                   2.59,                  1.464,                 0.4585,                 0.6835,                0.54752,                 0.3156,                0.01852,                  2.803,                 1.4785,               0.082118,               0.082118,               0.082118
                    106,                 0.0163,                 2.5919,                 1.4405,                0.50719,                0.82081,                0.55307,                0.34187,                0.01757,                 2.6713,                 1.4676,               0.082039,               0.082039,               0.082039
                    107,                0.01649,                 2.6135,                 1.4601,                0.37616,                0.62083,                0.42694,                0.23492,                0.01854,                 3.0593,                 1.5357,               0.081961,               0.081961,               0.081961
                    108,                0.01591,                 2.5055,                 1.4501,                0.50866,                0.67712,                0.49791,                0.26454,                0.02105,                 2.8039,                 1.6745,               0.081882,               0.081882,               0.081882
                    109,                 0.0162,                 2.5573,                 1.4366,                0.46454,                0.81099,                 0.4947,                0.31116,                0.01704,                 2.7122,                 1.4291,               0.081804,               0.081804,               0.081804
                    110,                0.01601,                 2.6358,                 1.4304,                0.45772,                0.72917,                0.45279,                0.25918,                 0.0181,                 2.8581,                 1.4385,               0.081726,               0.081726,               0.081726
                    111,                0.01642,                 2.4977,                 1.4419,                0.42716,                0.73333,                0.44391,                0.23503,                0.02083,                 3.0896,                 1.6553,               0.081647,               0.081647,               0.081647
                    112,                0.01656,                 2.6225,                 1.4603,                0.44798,                0.77723,                0.49354,                0.26017,                0.02069,                 2.7516,                 1.6163,               0.081569,               0.081569,               0.081569
                    113,                0.01645,                 2.4278,                 1.4403,                0.41812,                0.66298,                0.43593,                0.26612,                0.01922,                 2.9776,                 1.5098,                0.08149,                0.08149,                0.08149
                    114,                0.01712,                 2.5569,                 1.4735,                0.43814,                0.72876,                0.56687,                 0.3237,                0.01986,                 2.7949,                 1.5321,               0.081412,               0.081412,               0.081412
                    115,                0.01619,                 2.5019,                 1.4588,                0.51555,                0.69016,                0.50738,                0.28276,                0.02015,                  2.949,                 1.5624,               0.081333,               0.081333,               0.081333
                    116,                0.01612,                 2.5677,                 1.4342,                0.46667,                 0.8203,                0.51634,                  0.302,                0.01885,                  2.797,                 1.5096,               0.081255,               0.081255,               0.081255
                    117,                0.01563,                 2.5252,                 1.3946,                 0.4935,                 0.7847,                0.54215,                0.28735,                 0.0218,                 2.6187,                 1.6541,               0.081176,               0.081176,               0.081176
                    118,                0.01591,                 2.3312,                  1.417,                0.46908,                0.71908,                0.53385,                0.33437,                0.01611,                 2.5437,                 1.3872,               0.081098,               0.081098,               0.081098
                    119,                0.01729,                 2.5242,                 1.4973,                 0.4324,                0.70977,                0.47287,                0.27729,                0.01808,                 2.8718,                 1.4491,                0.08102,                0.08102,                0.08102
                    120,                 0.0164,                 2.5488,                 1.4411,                0.47518,                 0.7875,                0.52147,                0.31197,                0.01796,                 2.6581,                  1.452,               0.080941,               0.080941,               0.080941
