metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00246,0.69167,0.03287,0.02262,0.02477,8.7031,1.17051,0,1720003774,,False,1,de62f_00000,2024-07-03_10-49-34,26.658982515335083,26.658982515335083,38161,b70a672424f1,172.17.0.3,26.658982515335083,1
0.00301,0.8125,0.10067,0.05577,0.0238,8.23835,1.10723,1,1720003777,,False,2,de62f_00000,2024-07-03_10-49-37,3.099367141723633,29.758349657058716,38161,b70a672424f1,172.17.0.3,29.758349657058716,2
0.00212,0.6,0.1257,0.06263,0.02766,8.31853,1.18726,2,1720004022,,False,3,de62f_00000,2024-07-03_10-53-42,245.15741682052612,274.91576647758484,38161,b70a672424f1,172.17.0.3,274.91576647758484,3
0.0016,0.44167,0.06624,0.02234,0.03146,8.02531,1.33533,3,1720004025,,False,4,de62f_00000,2024-07-03_10-53-45,2.347303628921509,277.26307010650635,38161,b70a672424f1,172.17.0.3,277.26307010650635,4
0.53789,0.22683,0.44724,0.27024,0.02829,6.11481,1.24119,4,1720004027,,False,5,de62f_00000,2024-07-03_10-53-47,2.507172107696533,279.7702422142029,38161,b70a672424f1,172.17.0.3,279.7702422142029,5
0.41725,0.4875,0.44645,0.16869,0.03962,5.54866,1.69708,5,1720004029,,False,6,de62f_00000,2024-07-03_10-53-49,2.3554909229278564,282.12573313713074,38161,b70a672424f1,172.17.0.3,282.12573313713074,6
0.35434,0.09516,0.20774,0.12736,0.03694,7.03688,1.51723,6,1720004032,,False,7,de62f_00000,2024-07-03_10-53-52,2.1589744091033936,284.28470754623413,38161,b70a672424f1,172.17.0.3,284.28470754623413,7
0.27144,0.27488,0.15337,0.08576,0.03569,9.79675,1.565,7,1720004034,,False,8,de62f_00000,2024-07-03_10-53-54,2.2515218257904053,286.53622937202454,38161,b70a672424f1,172.17.0.3,286.53622937202454,8
0.43916,0.43636,0.40279,0.23466,0.03182,5.51455,1.43704,8,1720004036,,False,9,de62f_00000,2024-07-03_10-53-56,2.1626994609832764,288.6989288330078,38161,b70a672424f1,172.17.0.3,288.6989288330078,9
0.46861,0.79167,0.52061,0.28694,0.03194,4.38173,1.40551,9,1720004038,,False,10,de62f_00000,2024-07-03_10-53-58,2.240635395050049,290.93956422805786,38161,b70a672424f1,172.17.0.3,290.93956422805786,10
0.43699,0.64167,0.43797,0.23184,0.03274,4.63322,1.38412,10,1720004041,,True,11,de62f_00000,2024-07-03_10-54-01,2.42209529876709,293.36165952682495,38161,b70a672424f1,172.17.0.3,293.36165952682495,11
