metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00261,0.71667,0.00768,0.00424,0.0101,6.00476,1.31541,0,1720004071,,False,1,de62f_00006,2024-07-03_10-54-31,26.042070865631104,26.042070865631104,44553,b70a672424f1,172.17.0.3,26.042070865631104,1
0.00203,0.59167,0.04463,0.0122,0.01104,5.74715,1.34257,1,1720004074,,False,2,de62f_00006,2024-07-03_10-54-34,2.6601223945617676,28.70219326019287,44553,b70a672424f1,172.17.0.3,28.70219326019287,2
0.0028,0.78333,0.04961,0.02844,0.01125,5.55239,1.28872,2,1720004077,,False,3,de62f_00006,2024-07-03_10-54-37,2.80261492729187,31.50480818748474,44553,b70a672424f1,172.17.0.3,31.50480818748474,3
0.00281,0.8,0.15489,0.04817,0.01356,5.05328,1.36615,3,1720004079,,False,4,de62f_00006,2024-07-03_10-54-39,2.537637233734131,34.04244542121887,44553,b70a672424f1,172.17.0.3,34.04244542121887,4
0.54641,0.16471,0.40475,0.1815,0.01453,4.25329,1.62043,4,1720004082,,False,5,de62f_00006,2024-07-03_10-54-42,2.490426778793335,36.53287220001221,44553,b70a672424f1,172.17.0.3,36.53287220001221,5
0.40184,0.41667,0.344,0.17359,0.0132,3.99542,1.31377,5,1720004084,,False,6,de62f_00006,2024-07-03_10-54-44,2.261003255844116,38.79387545585632,44553,b70a672424f1,172.17.0.3,38.79387545585632,6
0.3991,0.54197,0.46105,0.18342,0.01337,3.70847,1.37413,6,1720004086,,False,7,de62f_00006,2024-07-03_10-54-46,2.2782363891601562,41.07211184501648,44553,b70a672424f1,172.17.0.3,41.07211184501648,7
0.3849,0.6,0.43761,0.231,0.01428,3.64602,1.47785,7,1720004088,,False,8,de62f_00006,2024-07-03_10-54-48,2.3414859771728516,43.41359782218933,44553,b70a672424f1,172.17.0.3,43.41359782218933,8
0.44257,0.58333,0.42672,0.20448,0.01496,3.52099,1.58342,8,1720004091,,False,9,de62f_00006,2024-07-03_10-54-51,2.216770648956299,45.63036847114563,44553,b70a672424f1,172.17.0.3,45.63036847114563,9
0.39388,0.59583,0.39312,0.21541,0.01266,4.42243,1.38868,9,1720004093,,False,10,de62f_00006,2024-07-03_10-54-53,2.542473554611206,48.172842025756836,44553,b70a672424f1,172.17.0.3,48.172842025756836,10
0.45365,0.6497,0.48426,0.27847,0.0117,3.35822,1.30255,10,1720004096,,False,11,de62f_00006,2024-07-03_10-54-56,2.308077096939087,50.48091912269592,44553,b70a672424f1,172.17.0.3,50.48091912269592,11
0.43953,0.60447,0.43959,0.24049,0.01381,3.80459,1.36687,11,1720004098,,False,12,de62f_00006,2024-07-03_10-54-58,2.181546449661255,52.66246557235718,44553,b70a672424f1,172.17.0.3,52.66246557235718,12
0.47253,0.7391,0.5153,0.26902,0.01354,2.6461,1.40961,12,1720004100,,False,13,de62f_00006,2024-07-03_10-55-00,2.048891305923462,54.71135687828064,44553,b70a672424f1,172.17.0.3,54.71135687828064,13
0.41793,0.65,0.46525,0.25794,0.01367,2.8546,1.39481,13,1720004102,,False,14,de62f_00006,2024-07-03_10-55-02,2.09671950340271,56.80807638168335,44553,b70a672424f1,172.17.0.3,56.80807638168335,14
0.43069,0.72083,0.45777,0.23868,0.01416,2.72109,1.42658,14,1720004104,,False,15,de62f_00006,2024-07-03_10-55-04,2.1357624530792236,58.94383883476257,44553,b70a672424f1,172.17.0.3,58.94383883476257,15
0.42045,0.70061,0.51611,0.29432,0.01347,2.53701,1.40216,15,1720004106,,False,16,de62f_00006,2024-07-03_10-55-06,2.2702901363372803,61.21412897109985,44553,b70a672424f1,172.17.0.3,61.21412897109985,16
0.45746,0.71388,0.49047,0.26115,0.0131,2.50019,1.41286,16,1720004108,,False,17,de62f_00006,2024-07-03_10-55-08,2.1453514099121094,63.35948038101196,44553,b70a672424f1,172.17.0.3,63.35948038101196,17
0.41496,0.77929,0.45217,0.23246,0.01451,2.64821,1.48656,17,1720004111,,False,18,de62f_00006,2024-07-03_10-55-11,2.215956687927246,65.57543706893921,44553,b70a672424f1,172.17.0.3,65.57543706893921,18
0.45602,0.80417,0.47535,0.23436,0.01396,2.56355,1.44335,18,1720004113,,False,19,de62f_00006,2024-07-03_10-55-13,2.205037832260132,67.78047490119934,44553,b70a672424f1,172.17.0.3,67.78047490119934,19
0.45941,0.72962,0.52216,0.22774,0.01594,2.567,1.59838,19,1720004115,,False,20,de62f_00006,2024-07-03_10-55-15,2.088886260986328,69.86936116218567,44553,b70a672424f1,172.17.0.3,69.86936116218567,20
0.44945,0.87083,0.50112,0.26267,0.01358,2.80708,1.41129,20,1720004117,,False,21,de62f_00006,2024-07-03_10-55-17,2.0678322315216064,71.93719339370728,44553,b70a672424f1,172.17.0.3,71.93719339370728,21
0.49231,0.75263,0.50203,0.21225,0.01634,2.29898,1.58341,21,1720004119,,False,22,de62f_00006,2024-07-03_10-55-19,2.291553020477295,74.22874641418457,44553,b70a672424f1,172.17.0.3,74.22874641418457,22
0.48089,0.77083,0.5027,0.27235,0.01287,2.20898,1.34723,22,1720004122,,False,23,de62f_00006,2024-07-03_10-55-22,2.1558010578155518,76.38454747200012,44553,b70a672424f1,172.17.0.3,76.38454747200012,23
0.46105,0.786,0.48364,0.2349,0.01481,2.19497,1.51376,23,1720004124,,False,24,de62f_00006,2024-07-03_10-55-24,2.2146804332733154,78.59922790527344,44553,b70a672424f1,172.17.0.3,78.59922790527344,24
