metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00045,0.12917,0.00032,0.00013,0.00438,25.70477,1.31651,0,1720448144,,False,1,75b99_00002,2024-07-08_14-15-44,42.9603316783905,42.9603316783905,3939,b70a672424f1,172.17.0.3,42.9603316783905,1
0.0016,0.45833,0.03946,0.00824,0.00413,24.21028,1.28157,1,1720448147,,False,2,75b99_00002,2024-07-08_14-15-47,2.7589643001556396,45.71929597854614,3939,b70a672424f1,172.17.0.3,45.71929597854614,2
0.00032,0.09167,0.04704,0.02688,0.00383,23.56515,1.14811,2,1720448150,,False,3,75b99_00002,2024-07-08_14-15-50,2.705751657485962,48.425047636032104,3939,b70a672424f1,172.17.0.3,48.425047636032104,3
0.0024,0.69167,0.33447,0.18235,0.0057,20.22316,1.31082,3,1720448152,,False,4,75b99_00002,2024-07-08_14-15-52,2.3518548011779785,50.77690243721008,3939,b70a672424f1,172.17.0.3,50.77690243721008,4
0.40348,0.10417,0.37407,0.23823,0.0047,19.15035,1.23997,4,1720448154,,False,5,75b99_00002,2024-07-08_14-15-54,2.266765594482422,53.043668031692505,3939,b70a672424f1,172.17.0.3,53.043668031692505,5
0.39693,0.44167,0.43331,0.25432,0.00495,14.64843,1.21315,5,1720448157,,False,6,75b99_00002,2024-07-08_14-15-57,2.2811057567596436,55.32477378845215,3939,b70a672424f1,172.17.0.3,55.32477378845215,6
0.49565,0.21284,0.45952,0.33098,0.00462,17.35554,1.18199,6,1720448159,,False,7,75b99_00002,2024-07-08_14-15-59,2.35371994972229,57.67849373817444,3939,b70a672424f1,172.17.0.3,57.67849373817444,7
0.37681,0.46667,0.37627,0.22531,0.00524,16.50023,1.36552,7,1720448162,,False,8,75b99_00002,2024-07-08_14-16-02,2.4277503490448,60.10624408721924,3939,b70a672424f1,172.17.0.3,60.10624408721924,8
0.37756,0.35,0.28122,0.15869,0.00588,16.62178,1.44299,8,1720448164,,False,9,75b99_00002,2024-07-08_14-16-04,2.2312817573547363,62.337525844573975,3939,b70a672424f1,172.17.0.3,62.337525844573975,9
0.39217,0.52917,0.41755,0.23882,0.00514,13.36831,1.34035,9,1720448166,,False,10,75b99_00002,2024-07-08_14-16-06,2.222914218902588,64.56044006347656,3939,b70a672424f1,172.17.0.3,64.56044006347656,10
0.45946,0.68354,0.478,0.29603,0.00492,12.55157,1.30831,10,1720448168,,False,11,75b99_00002,2024-07-08_14-16-08,2.135955572128296,66.69639563560486,3939,b70a672424f1,172.17.0.3,66.69639563560486,11
0.42347,0.6291,0.49043,0.29416,0.00494,12.46573,1.27663,11,1720448170,,False,12,75b99_00002,2024-07-08_14-16-10,2.107255697250366,68.80365133285522,3939,b70a672424f1,172.17.0.3,68.80365133285522,12
0.40401,0.57917,0.44445,0.26883,0.00514,13.54975,1.33123,12,1720448172,,False,13,75b99_00002,2024-07-08_14-16-12,1.9827535152435303,70.78640484809875,3939,b70a672424f1,172.17.0.3,70.78640484809875,13
0.40948,0.6625,0.48736,0.26026,0.00533,15.13885,1.37115,13,1720448174,,False,14,75b99_00002,2024-07-08_14-16-14,2.0315797328948975,72.81798458099365,3939,b70a672424f1,172.17.0.3,72.81798458099365,14
0.45092,0.77083,0.49378,0.31546,0.00482,10.53049,1.21574,14,1720448176,,False,15,75b99_00002,2024-07-08_14-16-16,1.9980902671813965,74.81607484817505,3939,b70a672424f1,172.17.0.3,74.81607484817505,15
0.39832,0.73212,0.52817,0.36093,0.00437,10.46573,1.17841,15,1720448179,,False,16,75b99_00002,2024-07-08_14-16-19,2.166644334793091,76.98271918296814,3939,b70a672424f1,172.17.0.3,76.98271918296814,16
0.47121,0.66803,0.51995,0.30549,0.0054,12.87625,1.32186,16,1720448181,,False,17,75b99_00002,2024-07-08_14-16-21,2.1107869148254395,79.09350609779358,3939,b70a672424f1,172.17.0.3,79.09350609779358,17
0.41101,0.6135,0.42989,0.28365,0.00436,11.23104,1.22726,17,1720448183,,False,18,75b99_00002,2024-07-08_14-16-23,2.0657527446746826,81.15925884246826,3939,b70a672424f1,172.17.0.3,81.15925884246826,18
0.56862,0.61654,0.55505,0.37244,0.00413,10.29279,1.18311,18,1720448185,,False,19,75b99_00002,2024-07-08_14-16-25,2.101452589035034,83.2607114315033,3939,b70a672424f1,172.17.0.3,83.2607114315033,19
0.42018,0.6593,0.50929,0.34888,0.00433,9.69026,1.20835,19,1720448187,,False,20,75b99_00002,2024-07-08_14-16-27,2.1497013568878174,85.41041278839111,3939,b70a672424f1,172.17.0.3,85.41041278839111,20
0.46117,0.85833,0.56889,0.35734,0.00486,9.35377,1.26057,20,1720448189,,False,21,75b99_00002,2024-07-08_14-16-29,2.0169477462768555,87.42736053466797,3939,b70a672424f1,172.17.0.3,87.42736053466797,21
0.45691,0.725,0.52459,0.30562,0.00503,9.71722,1.2965,21,1720448191,,False,22,75b99_00002,2024-07-08_14-16-31,1.9998500347137451,89.42721056938171,3939,b70a672424f1,172.17.0.3,89.42721056938171,22
0.44641,0.58333,0.48801,0.30768,0.00459,11.80107,1.25488,22,1720448193,,False,23,75b99_00002,2024-07-08_14-16-33,2.1790902614593506,91.60630083084106,3939,b70a672424f1,172.17.0.3,91.60630083084106,23
0.41771,0.61243,0.50568,0.26311,0.00588,12.40728,1.39852,23,1720448195,,False,24,75b99_00002,2024-07-08_14-16-35,2.1347711086273193,93.74107193946838,3939,b70a672424f1,172.17.0.3,93.74107193946838,24
0.49009,0.7357,0.56195,0.34976,0.00466,8.7736,1.21408,24,1720448197,,False,25,75b99_00002,2024-07-08_14-16-37,2.0122246742248535,95.75329661369324,3939,b70a672424f1,172.17.0.3,95.75329661369324,25
0.49197,0.70988,0.52358,0.30458,0.00496,8.96937,1.25065,25,1720448199,,False,26,75b99_00002,2024-07-08_14-16-39,2.006178379058838,97.75947499275208,3939,b70a672424f1,172.17.0.3,97.75947499275208,26
0.44662,0.82212,0.53952,0.33758,0.00464,9.4,1.20198,26,1720448201,,False,27,75b99_00002,2024-07-08_14-16-41,2.0484230518341064,99.80789804458618,3939,b70a672424f1,172.17.0.3,99.80789804458618,27
0.35465,0.68409,0.45213,0.28777,0.00452,9.11795,1.22745,27,1720448204,,False,28,75b99_00002,2024-07-08_14-16-44,2.0880391597747803,101.89593720436096,3939,b70a672424f1,172.17.0.3,101.89593720436096,28
0.39217,0.7875,0.47558,0.3018,0.00502,8.69692,1.27636,28,1720448206,,False,29,75b99_00002,2024-07-08_14-16-46,2.077796697616577,103.97373390197754,3939,b70a672424f1,172.17.0.3,103.97373390197754,29
0.48915,0.575,0.47359,0.27124,0.00533,9.70028,1.37075,29,1720448208,,False,30,75b99_00002,2024-07-08_14-16-48,2.106473684310913,106.08020758628845,3939,b70a672424f1,172.17.0.3,106.08020758628845,30
0.40089,0.5875,0.42389,0.26413,0.00499,11.27669,1.32821,30,1720448210,,True,31,75b99_00002,2024-07-08_14-16-50,2.123671770095825,108.20387935638428,3939,b70a672424f1,172.17.0.3,108.20387935638428,31
