metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00187,0.52917,0.02395,0.01421,0.0264,22.49104,1.49066,0,1720448269,,False,1,75b99_00006,2024-07-08_14-17-49,34.95178270339966,34.95178270339966,8512,b70a672424f1,172.17.0.3,34.95178270339966,1
0.00264,0.74167,0.0254,0.01495,0.02725,20.9503,1.3972,1,1720448271,,False,2,75b99_00006,2024-07-08_14-17-51,2.4437198638916016,37.39550256729126,8512,b70a672424f1,172.17.0.3,37.39550256729126,2
0.00115,0.31667,0.01828,0.01266,0.02587,20.22968,1.33945,2,1720448274,,False,3,75b99_00006,2024-07-08_14-17-54,2.399144411087036,39.794646978378296,8512,b70a672424f1,172.17.0.3,39.794646978378296,3
0.54636,0.04167,0.06158,0.01547,0.03152,21.55613,1.49954,3,1720448276,,False,4,75b99_00006,2024-07-08_14-17-56,2.312615394592285,42.10726237297058,8512,b70a672424f1,172.17.0.3,42.10726237297058,4
0.26927,0.30762,0.27465,0.10847,0.03113,17.2714,1.39785,4,1720448278,,False,5,75b99_00006,2024-07-08_14-17-58,2.339315176010132,44.44657754898071,8512,b70a672424f1,172.17.0.3,44.44657754898071,5
0.20565,0.44224,0.18963,0.0656,0.03498,17.01975,1.7717,5,1720448281,,False,6,75b99_00006,2024-07-08_14-18-01,2.257068634033203,46.703646183013916,8512,b70a672424f1,172.17.0.3,46.703646183013916,6
0.44065,0.5625,0.4355,0.18953,0.03343,13.64565,1.58172,6,1720448283,,False,7,75b99_00006,2024-07-08_14-18-03,2.325401544570923,49.02904772758484,8512,b70a672424f1,172.17.0.3,49.02904772758484,7
0.36446,0.38464,0.2899,0.15975,0.03187,13.5329,1.60259,7,1720448286,,False,8,75b99_00006,2024-07-08_14-18-06,2.268808126449585,51.297855854034424,8512,b70a672424f1,172.17.0.3,51.297855854034424,8
0.40521,0.5,0.38501,0.16892,0.03534,12.77409,1.72069,8,1720448288,,False,9,75b99_00006,2024-07-08_14-18-08,2.129983425140381,53.427839279174805,8512,b70a672424f1,172.17.0.3,53.427839279174805,9
0.46765,0.54167,0.45069,0.23122,0.03249,10.68339,1.39888,9,1720448290,,False,10,75b99_00006,2024-07-08_14-18-10,2.152348756790161,55.580188035964966,8512,b70a672424f1,172.17.0.3,55.580188035964966,10
0.42413,0.72917,0.47338,0.1923,0.03439,15.4158,1.53678,10,1720448292,,True,11,75b99_00006,2024-07-08_14-18-12,2.2526543140411377,57.8328423500061,8512,b70a672424f1,172.17.0.3,57.8328423500061,11
