                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8417,                 5.3681,                 1.5479,                0.50133,                0.14167,                 0.2599,                0.20718,                 1.6801,                 37.735,                 1.7091,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.3385,                 3.0528,                 1.2941,                 0.0012,                0.08333,                0.00059,                0.00026,                 1.9833,                 86.113,                  1.795,             0.00044786,             0.00044786,             0.00044786
                      3,                 1.3737,                 2.5195,                 1.4031,                0.28634,                0.47083,                 0.2394,                0.14947,                 1.4454,                 7.7007,                 1.4877,              0.0006767,              0.0006767,              0.0006767
                      4,                 1.3046,                 2.1732,                 1.3679,                0.00062,                0.16667,                0.00037,                0.00011,                 3.8675,                 180.09,                 13.473,             0.00090323,             0.00090323,             0.00090323
                      5,                  1.248,                 2.1901,                 1.4248,                0.00062,                0.16667,                0.00037,                0.00011,                 6.3033,                    inf,                 689.41,              0.0011275,              0.0011275,              0.0011275
                      6,                 1.3332,                  2.008,                 1.4003,                0.00066,                0.02083,                0.00047,                  5e-05,                    nan,                    nan,                    nan,              0.0013494,              0.0013494,              0.0013494
                      7,                 1.3598,                 2.0275,                 1.4531,                0.00066,                0.02083,                0.00047,                  5e-05,                 5.7369,                    inf,                 242.01,               0.001569,               0.001569,               0.001569
                      8,                 1.3016,                 1.7411,                 1.3702,                0.00073,                0.01667,                 0.0091,                0.00455,                 3.4869,                 6.8402,                 15.097,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.3115,                 1.6751,                 1.3977,                0.00073,                0.01667,                 0.0091,                0.00455,                 4.0346,                    inf,                 13.046,               0.001601,               0.001601,               0.001601
                     10,                 1.3072,                 1.7509,                 1.4152,                0.22219,                0.60417,                 0.2783,                0.16817,                 1.4655,                 2.9463,                 1.5295,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.3344,                 1.7302,                 1.3957,                0.26725,                  0.275,                0.16102,                0.08765,                 1.8282,                 5.9456,                 2.1366,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.2817,                 1.6708,                 1.3845,                0.44402,                0.58333,                0.43927,                0.28309,                 1.2478,                 2.4345,                 1.3605,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.2571,                 1.5487,                 1.3216,                0.44308,                0.55165,                0.46912,                0.29038,                 1.1731,                 2.9812,                 1.3128,               0.001568,               0.001568,               0.001568
                     14,                 1.3587,                  1.672,                  1.438,                0.30654,                 0.3875,                0.24914,                  0.144,                 1.6917,                 2.2924,                 1.6129,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.2319,                 1.4628,                 1.3153,                0.35984,                0.63927,                0.45354,                0.29748,                 1.2051,                 1.7092,                 1.3001,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.1761,                 1.5127,                 1.3122,                0.47335,                0.67831,                0.44344,                0.31001,                 1.2408,                 1.7794,                 1.3136,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.1917,                 1.4183,                  1.289,                0.48126,                0.64167,                0.45948,                0.33141,                 1.2058,                 1.8359,                 1.2279,               0.001535,               0.001535,               0.001535
                     18,                 1.1622,                  1.391,                 1.2627,                0.41919,                 0.5875,                0.48486,                0.32618,                  1.231,                 1.6352,                 1.2356,              0.0015267,              0.0015267,              0.0015267
                     19,                  1.173,                  1.368,                  1.232,                0.45905,                 0.6125,                0.48523,                0.33049,                 1.2374,                 1.6605,                 1.2926,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.2161,                 1.4728,                 1.3201,                0.44092,                0.63618,                0.45982,                0.32931,                 1.0884,                 1.4272,                 1.1785,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.1593,                 1.3587,                 1.2387,                0.49005,                0.76667,                0.50992,                0.36816,                 1.1367,                 1.2984,                 1.2151,               0.001502,               0.001502,               0.001502
                     22,                 1.1507,                 1.3779,                 1.2688,                0.39432,                0.64167,                0.40471,                 0.2718,                 1.3321,                  1.804,                 1.3806,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.1023,                 1.3271,                 1.2261,                0.45004,                 0.7433,                0.50101,                0.34677,                 1.2213,                 1.5022,                 1.2823,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.1465,                 1.3922,                  1.247,                0.41959,                0.72842,                0.44562,                 0.3013,                 1.2239,                 1.5391,                 1.2691,              0.0014772,              0.0014772,              0.0014772
                     25,                  1.124,                  1.317,                 1.2251,                0.48185,                0.83966,                0.54608,                0.37504,                   1.16,                 1.3802,                 1.2014,               0.001469,               0.001469,               0.001469
                     26,                 1.0937,                 1.3242,                 1.2038,                0.44412,                0.76498,                 0.4863,                0.34004,                 1.1712,                 1.4164,                 1.2248,              0.0014607,              0.0014607,              0.0014607
