                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0661,                 4.9822,                 1.6962,                0.00198,                0.56667,                 0.0104,                0.00451,                 1.0866,                 3.9909,                 1.1789,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.5569,                 3.7459,                 1.2933,                0.00211,                0.59583,                0.16654,                0.08357,                 1.1822,                 3.7294,                 1.1449,             0.00044786,             0.00044786,             0.00044786
                      3,                  1.362,                 2.9564,                 1.2287,                0.00272,                  0.775,                0.00505,                0.00249,                 1.2092,                  3.948,                 1.2409,              0.0006767,              0.0006767,              0.0006767
                      4,                 1.3715,                 2.8227,                 1.2673,                 0.0002,                0.05417,                0.00013,                  4e-05,                  1.423,                 3.9951,                 1.4902,             0.00090323,             0.00090323,             0.00090323
                      5,                 1.3367,                 2.4841,                  1.223,                 0.0025,                    0.7,                0.26314,                0.17622,                 1.1293,                 3.1397,                 1.1469,              0.0011275,              0.0011275,              0.0011275
                      6,                 1.3226,                 2.4645,                 1.2116,                0.25762,                0.28333,                0.21519,                0.13665,                 1.2474,                 3.3752,                  1.253,              0.0013494,              0.0013494,              0.0013494
                      7,                 1.2589,                 2.4164,                 1.2064,                0.38414,                0.68261,                0.46052,                0.28869,                 1.3213,                 2.1252,                 1.2353,               0.001569,               0.001569,               0.001569
                      8,                 1.3103,                 2.2896,                 1.1632,                0.45813,                0.56667,                0.42335,                0.27974,                 1.2414,                 2.0064,                 1.1598,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.2363,                 2.1199,                  1.137,                0.42045,                0.50424,                0.38262,                0.23595,                 1.4413,                 2.3999,                 1.2922,               0.001601,               0.001601,               0.001601
                     10,                 1.3152,                 2.2221,                 1.2183,                0.34827,                0.44583,                0.28021,                0.15619,                 1.5877,                 2.3788,                 1.4393,              0.0015927,              0.0015927,              0.0015927
                     11,                  1.287,                 2.0301,                 1.2136,                0.48321,                0.72383,                0.48474,                0.30094,                 1.3001,                 2.0993,                 1.2193,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.2619,                 1.9256,                  1.186,                0.40306,                0.66072,                0.41657,                0.25962,                 1.3131,                 2.2371,                 1.2179,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.2835,                 1.9171,                 1.1746,                 0.4358,                 0.7546,                0.45312,                0.27577,                 1.3409,                 1.7952,                 1.2184,               0.001568,               0.001568,               0.001568
                     14,                 1.3147,                 1.9097,                 1.1859,                0.44005,                0.75833,                0.51158,                0.33785,                 1.2208,                 1.8032,                 1.1258,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.2457,                 1.7748,                 1.1802,                0.49611,                0.64167,                 0.4812,                0.31934,                  1.122,                 1.7908,                 1.0823,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.2468,                 1.6697,                 1.1541,                0.47476,                0.56667,                0.44546,                0.31243,                 1.2681,                 2.4162,                 1.1554,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.2069,                 1.6504,                 1.1605,                0.45153,                0.64983,                0.46888,                0.31878,                 1.3179,                 1.7561,                  1.201,               0.001535,               0.001535,               0.001535
                     18,                 1.2262,                  1.647,                 1.1733,                0.49735,                  0.725,                0.48281,                0.32306,                 1.2455,                 1.5888,                 1.1806,              0.0015267,              0.0015267,              0.0015267
