                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0364,                 6.5215,                 1.7114,                0.62316,                0.11667,                 0.0744,                0.05882,                 1.2583,                 7.1611,                 1.3611,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.5866,                 3.2425,                  1.434,                0.17785,                0.22083,                0.06699,                0.04356,                 1.0985,                 3.5654,                 1.1274,             0.00044786,             0.00044786,             0.00044786
                      3,                 1.3676,                 2.5455,                 1.2737,                 0.1942,                 0.3625,                0.11571,                0.08047,                 1.3892,                 20.447,                 1.2368,              0.0006767,              0.0006767,              0.0006767
                      4,                 1.2312,                 1.8685,                 1.1565,                0.18684,                0.35833,                0.12726,                0.08316,                 1.6436,                 115.68,                 1.4169,             0.00090323,             0.00090323,             0.00090323
                      5,                 1.2805,                 1.7821,                 1.1908,                0.10153,                0.30833,                0.07561,                0.05038,                 1.3577,                 24.086,                  1.263,              0.0011275,              0.0011275,              0.0011275
                      6,                 1.3646,                 1.7798,                 1.2067,                0.21513,                  0.725,                0.28003,                0.18571,                 1.2758,                 5.0902,                 1.2254,              0.0013494,              0.0013494,              0.0013494
                      7,                  1.429,                 1.7287,                 1.2837,                0.14286,                0.25417,                 0.0978,                0.05942,                 1.8377,                 8.8509,                  2.013,               0.001569,               0.001569,               0.001569
                      8,                 1.2127,                 1.6133,                 1.1163,                 0.2261,                 0.3125,                0.17832,                0.08347,                 2.0795,                 3.6645,                 2.2051,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.2631,                 1.5532,                 1.1905,                0.14741,                0.09406,                0.03773,                0.01825,                 2.8507,                 14.681,                 9.7094,               0.001601,               0.001601,               0.001601
                     10,                 1.3921,                 1.6631,                 1.2729,                0.34426,                0.02083,                0.02671,                0.02044,                 3.5446,                 17.836,                 11.833,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.3459,                 1.5179,                  1.228,                0.50062,                0.59167,                0.46873,                0.29383,                 1.3491,                   1.54,                 1.2397,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.2736,                 1.5765,                 1.2064,                0.40502,                0.60833,                0.44959,                0.30395,                 1.2575,                 1.4867,                 1.1846,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.2569,                 1.4747,                 1.1853,                0.43276,                0.76587,                0.49424,                0.35455,                 1.1414,                 1.5485,                 1.1477,               0.001568,               0.001568,               0.001568
                     14,                 1.3649,                  1.582,                 1.2265,                0.41714,                0.66667,                 0.4125,                0.26006,                 1.3007,                 1.9456,                  1.182,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1894,                 1.3784,                 1.1419,                0.36501,                0.69583,                0.42576,                0.27316,                 1.2222,                 1.6508,                 1.1755,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.2299,                 1.4227,                  1.187,                0.16939,                 0.2625,                0.13157,                0.06877,                 1.9667,                 3.7707,                 2.4235,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.1545,                 1.3455,                 1.1379,                0.49866,                  0.353,                0.31424,                0.19417,                 1.4716,                 2.6242,                 1.4447,               0.001535,               0.001535,               0.001535
                     18,                 1.1365,                 1.3309,                 1.1225,                0.39755,                0.73333,                0.46853,                0.31392,                 1.1441,                 1.4218,                 1.1114,              0.0015267,              0.0015267,              0.0015267
                     19,                   1.13,                 1.2873,                 1.0858,                0.46053,                0.73798,                0.51132,                0.33463,                 1.1643,                 1.3559,                 1.1034,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.1714,                 1.3517,                 1.1535,                0.45719,                0.83006,                0.50898,                0.34697,                 1.1105,                  1.313,                 1.1201,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.1244,                  1.297,                 1.1228,                0.45577,                   0.75,                0.53099,                0.36852,                 1.1226,                 1.2802,                 1.0895,               0.001502,               0.001502,               0.001502
                     22,                  1.172,                 1.3068,                 1.1265,                0.49112,                 0.6778,                0.52782,                0.36159,                 1.2577,                 1.3489,                 1.1808,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.0346,                 1.2722,                 1.0714,                0.46256,                0.69167,                0.47561,                0.34052,                 1.1188,                 1.5776,                 1.1171,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.1747,                 1.3286,                  1.135,                0.39693,                0.53333,                0.41871,                0.30504,                 1.0811,                  1.647,                 1.1038,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.1349,                  1.291,                 1.1269,                0.48424,                0.70609,                0.49447,                0.36663,                 1.1383,                 1.4067,                 1.0832,               0.001469,               0.001469,               0.001469
                     26,                 1.0985,                 1.2655,                 1.1102,                0.51824,                0.68897,                0.49877,                0.38586,                 1.0117,                 1.4828,                 1.0472,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.1004,                 1.2642,                  1.097,                0.46826,                0.70833,                0.52222,                0.37291,                 1.0828,                 1.2873,                 1.0481,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.1337,                 1.2838,                 1.1196,                0.43494,                0.82083,                 0.5077,                0.37073,                 1.0277,                  1.227,                 1.0711,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.0617,                 1.2313,                 1.0809,                0.43261,                 0.7871,                0.51078,                0.34078,                 1.2299,                 1.2664,                 1.1523,               0.001436,               0.001436,               0.001436
                     30,                 1.1071,                 1.2308,                 1.0756,                0.43715,                0.80551,                0.53951,                0.38102,                  1.113,                 1.2289,                 1.0851,              0.0014277,              0.0014277,              0.0014277
