                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8108,                 4.6651,                 1.5543,                0.00247,                 0.6875,                0.01164,                0.00584,                 1.0432,                  4.318,                 1.1597,             0.00021671,             0.00021671,             0.00021671
                      2,                  1.446,                 3.6062,                 1.2934,                0.00256,                0.70417,                0.10366,                0.06302,                 1.0782,                 4.2046,                 1.2001,             0.00044786,             0.00044786,             0.00044786
                      3,                 1.3676,                 2.9354,                 1.2093,                0.00055,                0.15833,                0.00101,                0.00041,                 1.0792,                 4.3202,                 1.2214,              0.0006767,              0.0006767,              0.0006767
                      4,                 1.3727,                 2.5639,                 1.2246,                0.00058,                0.16667,                0.01915,                0.00582,                 1.5835,                 4.6664,                 1.5204,             0.00090323,             0.00090323,             0.00090323
                      5,                 1.4251,                 2.7872,                 1.2623,                0.00282,                0.73333,                0.17365,                0.11366,                 1.1904,                 3.5486,                 1.1344,              0.0011275,              0.0011275,              0.0011275
                      6,                 1.2671,                 2.4155,                 1.1962,                0.53346,                0.30243,                0.40881,                0.25504,                 1.3082,                 2.9325,                 1.2094,              0.0013494,              0.0013494,              0.0013494
                      7,                 1.2972,                 2.5036,                 1.2221,                0.39591,                0.55053,                0.37515,                0.26568,                 1.2281,                 2.8811,                 1.2487,               0.001569,               0.001569,               0.001569
                      8,                 1.2871,                 2.3735,                 1.2119,                0.32164,                0.40417,                0.27392,                0.17582,                 1.5279,                 4.1376,                  1.433,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.3043,                 2.2019,                  1.202,                0.44917,                    0.6,                0.41468,                0.29685,                 1.2304,                 2.8328,                 1.2031,               0.001601,               0.001601,               0.001601
                     10,                 1.2858,                 2.1805,                 1.2225,                 0.4024,                0.52083,                0.36482,                0.25575,                  1.319,                  2.719,                 1.2584,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.2982,                 2.0808,                 1.2328,                0.40673,                0.56283,                0.37394,                0.23111,                 1.2777,                 2.3655,                 1.2527,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.2028,                 1.9519,                 1.1773,                0.44242,                0.62917,                0.39941,                0.26808,                 1.2546,                 2.2226,                 1.2244,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.3041,                 1.8761,                 1.2688,                 0.4474,                0.44167,                0.36667,                0.25269,                 1.2681,                 2.6711,                 1.2547,               0.001568,               0.001568,               0.001568
                     14,                 1.1913,                  1.783,                 1.1536,                0.46104,                0.62501,                0.45689,                0.32857,                 1.0766,                 2.0005,                 1.1057,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1886,                  1.824,                 1.1634,                0.44349,                0.72661,                0.53372,                0.36607,                 1.1347,                 1.6577,                 1.0989,              0.0015515,              0.0015515,              0.0015515
                     16,                  1.211,                 1.6991,                 1.1561,                0.43506,                0.75735,                0.49712,                0.32577,                 1.1645,                 1.5935,                 1.1397,              0.0015432,              0.0015432,              0.0015432
                     17,                   1.15,                  1.639,                 1.1346,                0.41527,                0.82083,                 0.5191,                 0.3054,                 1.1444,                 1.6512,                 1.1584,               0.001535,               0.001535,               0.001535
                     18,                 1.1415,                 1.6239,                 1.0711,                0.45358,                0.90417,                0.53714,                0.34588,                 1.1796,                 1.4232,                 1.1509,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.1142,                 1.5407,                   1.11,                0.43903,                0.92083,                0.51586,                0.35362,                 1.0517,                 1.3777,                 1.0872,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.1308,                 1.5152,                 1.1188,                0.44172,                 0.8506,                0.51748,                0.37012,                 1.0289,                 1.5282,                 1.0871,              0.0015102,              0.0015102,              0.0015102
                     21,                  1.093,                 1.4643,                 1.0988,                0.46682,                  0.825,                0.53335,                0.35775,                 1.1499,                  1.427,                 1.1105,               0.001502,               0.001502,               0.001502
                     22,                 1.0807,                 1.4379,                 1.1064,                0.46241,                  0.825,                0.56163,                0.37402,                 1.1415,                 1.3434,                 1.1051,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.1241,                 1.4617,                 1.1342,                0.50185,                0.80417,                0.57897,                0.39994,                 1.0693,                 1.2855,                 1.0962,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.1023,                 1.3266,                 1.1149,                0.49362,                 0.8625,                0.56118,                0.41358,                0.95409,                 1.3007,                 1.0348,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.0839,                 1.3108,                 1.0927,                0.48375,                0.69529,                0.52018,                0.37813,                 1.0758,                 1.3096,                 1.1058,               0.001469,               0.001469,               0.001469
                     26,                  1.046,                 1.3659,                 1.0867,                0.54971,                0.71667,                0.69995,                0.47877,                  1.122,                 1.1928,                 1.1015,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.1194,                 1.3597,                 1.1046,                0.55459,                0.90833,                0.79353,                0.54786,                  1.063,                 1.1834,                 1.0922,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.1212,                 1.2752,                 1.0858,                0.70267,                0.76652,                0.76693,                 0.5404,                 1.0777,                 1.0718,                 1.0911,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.1051,                 1.2671,                 1.0904,                0.47103,                0.60346,                0.56561,                0.41569,                 1.0205,                 1.9219,                 1.0481,               0.001436,               0.001436,               0.001436
                     30,                0.98433,                 1.1806,                 1.0508,                0.80291,                0.59436,                0.77611,                0.59669,                 0.9535,                   1.08,                 1.0062,              0.0014277,              0.0014277,              0.0014277
                     31,                 1.0883,                 1.1961,                  1.068,                0.50393,                0.68357,                0.61495,                0.47306,                0.95319,                 1.9854,                 1.0215,              0.0014195,              0.0014195,              0.0014195
                     32,                 1.0641,                 1.1754,                  1.049,                0.49915,                0.57133,                0.57147,                0.41615,                 1.0581,                 2.9196,                 1.1146,              0.0014112,              0.0014112,              0.0014112
                     33,                  1.019,                 1.1469,                 1.0765,                 0.4396,                 0.6125,                0.51945,                0.38757,                 1.0855,                 4.1705,                 1.1398,              0.0014029,              0.0014029,              0.0014029
                     34,                 1.0127,                 1.1174,                 1.0398,                0.49586,                  0.525,                 0.4599,                 0.3329,                 1.1018,                 2.7531,                 1.1257,              0.0013947,              0.0013947,              0.0013947
                     35,                 1.0268,                 1.1178,                 1.0705,                 0.5038,                0.70373,                0.60609,                0.46077,                0.93863,                 2.0558,                 1.0157,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.0255,                 1.1618,                 1.0701,                0.44886,                0.61155,                0.58772,                 0.3909,                 1.1686,                 1.5002,                 1.1233,              0.0013782,              0.0013782,              0.0013782
                     37,                  1.071,                 1.1546,                 1.1017,                0.44492,                 0.5125,                0.52983,                0.37209,                 1.1135,                 1.7243,                 1.1312,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.0463,                 1.1459,                 1.1435,                0.53191,                0.58518,                0.58628,                0.43605,                  1.068,                 2.2293,                 1.1112,              0.0013617,              0.0013617,              0.0013617
                     39,                0.99665,                 1.0887,                 1.0548,                0.62637,                0.50421,                 0.5381,                0.40559,                 1.0059,                 2.7748,                  1.065,              0.0013534,              0.0013534,              0.0013534
                     40,                 0.9516,                0.97614,                 1.0349,                0.66436,                 0.4375,                0.54594,                0.41209,                 1.0893,                 3.2499,                 1.0835,              0.0013452,              0.0013452,              0.0013452
                     41,                0.98164,                0.95175,                 1.0476,                0.44324,                  0.625,                0.56097,                0.43387,                0.97913,                 2.8583,                  1.058,              0.0013369,              0.0013369,              0.0013369
                     42,                0.99593,                 1.0379,                 1.0508,                0.48457,                0.63333,                0.43304,                0.33673,                  1.114,                 3.5292,                 1.1596,              0.0013287,              0.0013287,              0.0013287
                     43,                0.98963,                 1.0163,                 1.0465,                0.26432,                   0.95,                 0.5196,                0.38969,                 1.0237,                 2.9484,                  1.069,              0.0013204,              0.0013204,              0.0013204
                     44,                0.98233,                0.89647,                 1.0211,                0.63386,                0.49221,                0.40971,                0.28106,                 1.1499,                 2.9463,                 1.1479,              0.0013122,              0.0013122,              0.0013122
                     45,                0.98317,                0.85825,                  1.039,                0.68798,                 0.4971,                 0.3775,                0.27339,                 1.0938,                 2.8101,                 1.1069,              0.0013039,              0.0013039,              0.0013039
                     46,                0.96933,                0.84501,                 1.0191,                0.36119,                0.84583,                0.52023,                0.39306,                 1.0627,                 2.8521,                  1.084,              0.0012957,              0.0012957,              0.0012957
                     47,                0.95845,                0.83796,                 1.0417,                 0.3161,                   0.85,                0.50534,                0.38612,                0.95711,                 2.7537,                 1.0354,              0.0012874,              0.0012874,              0.0012874
                     48,                0.99008,                0.85976,                 1.0353,                0.65938,                0.59772,                0.63054,                0.45824,                 1.0447,                 2.0716,                 1.0735,              0.0012792,              0.0012792,              0.0012792
                     49,                0.97576,                0.91867,                 1.0359,                0.69879,                 0.7875,                0.72722,                0.54052,                0.98943,                 1.3086,                 1.0355,              0.0012709,              0.0012709,              0.0012709
                     50,                0.99491,                0.93498,                 1.0572,                0.82716,                0.85978,                0.91354,                0.66371,                0.96167,                0.75121,                 1.0368,              0.0012627,              0.0012627,              0.0012627
                     51,                 0.9684,                0.86216,                 1.0298,                0.61102,                0.75833,                0.70469,                0.49395,                0.97398,                 1.3028,                 1.0445,              0.0012544,              0.0012544,              0.0012544
                     52,                0.99668,                0.82489,                 1.0257,                0.70964,                0.79406,                0.80671,                0.59027,                0.90012,                 1.0843,                 1.0092,              0.0012462,              0.0012462,              0.0012462
                     53,                 0.9978,                 0.8947,                 1.0528,                0.44609,                0.76667,                0.52413,                  0.353,                 1.0663,                 1.4734,                 1.0895,              0.0012379,              0.0012379,              0.0012379
                     54,                0.91702,                0.81567,                 1.0014,                0.50557,                0.55833,                0.51484,                0.39029,                0.97876,                 1.9586,                 1.0709,              0.0012297,              0.0012297,              0.0012297
                     55,                0.92225,                0.82563,                 1.0008,                0.73609,                0.75641,                0.77265,                0.56474,                0.95795,                 0.9724,                 1.0246,              0.0012214,              0.0012214,              0.0012214
                     56,                0.93165,                0.80082,                 1.0189,                0.66991,                0.80895,                0.79376,                0.59261,                0.92468,                 1.0088,                 1.0056,              0.0012132,              0.0012132,              0.0012132
                     57,                0.93857,                0.80456,                 1.0183,                 0.4628,                0.55417,                0.55827,                0.41041,                0.99485,                 1.5565,                 1.0407,              0.0012049,              0.0012049,              0.0012049
                     58,                0.94748,                0.81785,                 1.0395,                0.39034,                0.60833,                0.55719,                0.39116,                 1.0201,                 1.4258,                 1.0508,              0.0011967,              0.0011967,              0.0011967
                     59,                 0.8834,                0.77328,                   1.01,                0.58295,                0.79167,                 0.7448,                 0.4965,                 1.0138,                 1.1576,                 1.0407,              0.0011884,              0.0011884,              0.0011884
                     60,                0.86594,                0.74327,                0.99107,                0.39555,                      1,                0.54047,                   0.37,                 1.0072,                 1.5513,                 1.0456,              0.0011802,              0.0011802,              0.0011802
                     61,                0.86964,                0.81175,                 1.0024,                0.78526,                0.84059,                0.86314,                0.60078,                0.98338,                0.88038,                 1.0592,              0.0011719,              0.0011719,              0.0011719
                     62,                0.86635,                0.77501,                0.98459,                0.63573,                0.59443,                0.54223,                0.41688,                0.95451,                  2.285,                 1.0494,              0.0011636,              0.0011636,              0.0011636
                     63,                0.86636,                0.73572,                0.99387,                0.62997,                0.54404,                0.43699,                0.32152,                 1.0384,                 2.5539,                 1.0867,              0.0011554,              0.0011554,              0.0011554
                     64,                0.91406,                0.79963,                 1.0061,                 0.2759,                0.89167,                0.53714,                0.40948,                  1.047,                  2.839,                 1.1024,              0.0011471,              0.0011471,              0.0011471
                     65,                0.88437,                0.70972,                 1.0125,                 0.6152,                0.57128,                0.64423,                0.50771,                0.98623,                 2.1671,                 1.0571,              0.0011389,              0.0011389,              0.0011389
                     66,                0.87092,                0.67095,                 0.9971,                0.67144,                0.69543,                0.75171,                0.58237,                0.95905,                 1.3999,                 1.0178,              0.0011306,              0.0011306,              0.0011306
                     67,                0.86338,                0.71679,                 0.9987,                0.66677,                0.77284,                0.75707,                0.60363,                0.95457,                 1.3114,                 1.0237,              0.0011224,              0.0011224,              0.0011224
                     68,                0.88778,                0.69493,                0.98474,                0.87317,                0.83333,                0.89303,                0.69407,                 0.9048,                0.71243,                0.99746,              0.0011141,              0.0011141,              0.0011141
                     69,                0.85699,                0.67331,                0.97484,                0.78678,                0.67917,                0.80835,                0.57836,                 1.0563,                 1.0178,                 1.0603,              0.0011059,              0.0011059,              0.0011059
                     70,                0.83386,                0.69272,                0.97581,                0.68032,                0.55417,                0.68601,                0.48965,                0.91304,                 1.6956,                0.99711,              0.0010976,              0.0010976,              0.0010976
                     71,                0.87143,                0.74672,                0.99459,                0.93702,                0.79834,                0.91275,                0.68521,                0.98185,                0.68936,                 1.0364,              0.0010894,              0.0010894,              0.0010894
                     72,                0.93316,                0.71615,                 1.0183,                0.90272,                0.80718,                0.91715,                0.69951,                0.95388,                 0.6478,                 1.0598,              0.0010811,              0.0010811,              0.0010811
                     73,                0.86605,                0.69853,                0.95836,                0.35556,                0.96667,                 0.6362,                0.49447,                0.91324,                 2.2663,                 1.0016,              0.0010729,              0.0010729,              0.0010729
                     74,                0.84944,                0.70913,                0.98762,                0.37275,                 0.9125,                0.55056,                0.43607,                0.95886,                  2.605,                 1.0203,              0.0010646,              0.0010646,              0.0010646
                     75,                0.85449,                0.70482,                0.98932,                0.34018,                0.79583,                0.47863,                0.37692,                0.91223,                 2.9671,                 1.0132,              0.0010564,              0.0010564,              0.0010564
                     76,                0.85427,                0.75616,                0.96045,                0.68613,                0.55946,                0.59652,                0.47197,                0.93998,                 2.4159,                 1.0219,              0.0010481,              0.0010481,              0.0010481
                     77,                0.88324,                0.65683,                0.99637,                0.79845,                0.70417,                0.84846,                0.65052,                0.94425,                 1.0543,                 1.0298,              0.0010399,              0.0010399,              0.0010399
                     78,                0.86203,                0.70013,                0.98724,                0.70361,                0.84747,                0.88494,                0.67824,                0.91692,                0.84016,                 1.0214,              0.0010316,              0.0010316,              0.0010316
