                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 119.34,                      0,                      0,                      0,                      0,                      0,                      0,                 160.44,                      0,             0.00021671,             0.00021671,             0.00021671
                      2,                      0,                 100.68,                      0,                      0,                      0,                      0,                      0,                      0,                 156.03,                      0,             0.00044786,             0.00044786,             0.00044786
                      1,                 1.8149,                 4.6458,                 1.5301,                0.00222,                0.59583,                0.00402,                 0.0017,                 1.1855,                 4.5099,                  1.287,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.5157,                 3.6598,                 1.2794,                0.00255,                0.73333,                0.23119,                0.14789,                 1.0001,                 3.8596,                0.99134,             0.00044786,             0.00044786,             0.00044786
                      3,                 1.2755,                 2.8637,                 1.1923,                0.00154,                0.45833,                0.11267,                0.05881,                 1.0107,                 3.7913,                 1.0109,              0.0006767,              0.0006767,              0.0006767
                      4,                 1.2844,                 2.5219,                 1.1646,                0.00159,                0.45417,                0.00926,                0.00552,                 1.5033,                 4.1392,                 1.3003,             0.00090323,             0.00090323,             0.00090323
                      5,                 1.3034,                 2.6545,                 1.1642,                0.00051,                0.14583,                0.00121,                0.00039,                  1.564,                 4.6033,                 1.5453,              0.0011275,              0.0011275,              0.0011275
                      6,                  1.268,                  2.314,                 1.1745,                0.08281,                0.12917,                0.07432,                0.04587,                 1.2935,                 3.1103,                 1.2299,              0.0013494,              0.0013494,              0.0013494
                      7,                 1.3259,                 2.4979,                 1.2581,                0.09497,                0.05833,                0.03378,                0.01705,                 1.5281,                 5.1956,                 1.5065,               0.001569,               0.001569,               0.001569
                      8,                 1.3247,                 2.2775,                 1.2032,                0.20639,                0.24583,                0.11072,                  0.059,                 1.4956,                 6.7497,                  1.473,              0.0016092,              0.0016092,              0.0016092
                      9,                  1.285,                 2.2204,                 1.1852,                0.77446,                0.11667,                0.26554,                0.16994,                 1.4733,                  3.706,                 1.4294,               0.001601,               0.001601,               0.001601
                     10,                 1.2949,                 2.1234,                 1.2316,                0.43839,                0.23333,                0.28508,                0.18988,                  1.454,                 3.2296,                 1.4602,              0.0015927,              0.0015927,              0.0015927
                     11,                  1.257,                 2.0155,                 1.2191,                0.42118,                0.15099,                0.30507,                0.17362,                 1.5354,                 3.2549,                 1.5991,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.2156,                 1.8887,                 1.1879,                0.43315,                0.66667,                0.50615,                0.33276,                  1.259,                 2.0477,                 1.1926,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.2908,                 1.8859,                 1.2608,                0.40796,                0.55841,                0.39073,                0.22625,                 1.3364,                  2.496,                 1.3006,               0.001568,               0.001568,               0.001568
                     14,                 1.2674,                 1.8066,                 1.2038,                0.47903,                  0.825,                0.54501,                0.39154,                 1.0427,                 2.0647,                 1.0883,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1847,                 1.7767,                 1.1596,                0.47425,                  0.725,                0.54184,                0.38987,                 1.0596,                 1.7545,                 1.0873,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.2232,                 1.6933,                 1.1601,                0.45378,                0.78455,                0.52186,                0.36035,                 1.1541,                 1.8374,                 1.1724,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.1829,                  1.587,                 1.1313,                0.48812,                0.76937,                0.54591,                0.38009,                 1.0811,                 1.6484,                 1.1086,               0.001535,               0.001535,               0.001535
