                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8149,                 4.6458,                 1.5301,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.5489,                 3.7605,                 1.3022,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00043524,             0.00043524,             0.00043524
                      3,                 1.3209,                 2.9209,                 1.1945,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063836,             0.00063836,             0.00063836
                      4,                 1.3075,                 2.5785,                 1.1978,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00082608,             0.00082608,             0.00082608
                      5,                 1.3443,                 2.6407,                 1.2401,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009984,              0.0009984,              0.0009984
                      6,                 1.2139,                 2.3177,                  1.164,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011553,              0.0011553,              0.0011553
                      7,                  1.284,                 2.4956,                 1.2558,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012968,              0.0012968,              0.0012968
                      8,                 1.2091,                  2.318,                  1.175,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.1651,                 2.1665,                 1.1398,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.1982,                 2.1721,                 1.1953,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.2215,                 2.0718,                 1.2041,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.1529,                 1.8908,                 1.1518,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.2755,                 1.9272,                 1.2387,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010069,              0.0010069,              0.0010069
                     14,                  1.159,                 1.7935,                 1.1374,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.1211,                 1.7631,                 1.1208,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.1069,                 1.6805,                  1.096,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.0823,                  1.556,                 1.0691,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.0731,                 1.6135,                 1.0372,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.0704,                 1.5431,                 1.0695,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.0419,                  1.547,                 1.0661,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062179,             0.00062179,             0.00062179
                     21,                0.97476,                 1.5997,                 1.0764,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00056678,             0.00056678,             0.00056678
                     22,                0.96093,                 1.5032,                 1.0555,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00051177,             0.00051177,             0.00051177
                     23,                0.90719,                 1.5152,                 1.0198,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00045676,             0.00045676,             0.00045676
                     24,                0.88493,                 1.4484,                 1.0067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040175,             0.00040175,             0.00040175
                     25,                0.83091,                  1.425,                0.98322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034674,             0.00034674,             0.00034674
                     26,                0.86002,                 1.3867,                 1.0091,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029172,             0.00029172,             0.00029172
                     27,                0.86431,                 1.4084,                  1.002,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023671,             0.00023671,             0.00023671
                     28,                 0.8406,                 1.3724,                0.99987,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001817,              0.0001817,              0.0001817
                     29,                0.82845,                 1.3499,                0.97894,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012669,             0.00012669,             0.00012669
                     30,                0.78501,                 1.3372,                0.96419,                0.47964,                0.82917,                0.51605,                0.38053,                0.94888,                 1.3592,                 1.0182,             7.1681e-05,             7.1681e-05,             7.1681e-05
