                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8473,                 4.6848,                 1.5505,                0.00215,                0.60833,                0.01926,                0.01157,                 1.0922,                 4.4361,                  1.245,             0.00021671,             0.00021671,             0.00021671
                      1,                 1.7012,                  6.429,                 1.4048,                0.00118,                0.33333,                0.09718,                0.05308,                 1.0622,                 4.1278,                  1.108,             0.00043342,             0.00043342,             0.00043342
                      2,                 1.4073,                 4.2412,                 1.2512,                0.00097,                0.28333,                0.00089,                0.00023,                 1.5716,                 4.2429,                 1.3606,             0.00087914,             0.00087914,             0.00087914
                      3,                 1.4467,                 4.1515,                 1.3105,                0.65297,                0.12339,                0.30478,                0.18448,                  1.322,                 4.5231,                 1.2847,              0.0013204,              0.0013204,              0.0013204
                      4,                 1.4682,                 3.8817,                 1.3272,                0.00139,                0.42083,                 0.0071,                0.00332,                 1.9311,                 4.8853,                 1.9125,              0.0016422,              0.0016422,              0.0016422
                      1,                 1.6407,                 4.2466,                 1.3938,                0.00119,                0.33333,                0.05744,                 0.0242,                  1.133,                 4.0914,                 1.1081,             0.00043342,             0.00043342,             0.00043342
                      2,                 1.3164,                 2.7542,                 1.2093,                0.00268,                0.75417,                 0.3257,                0.22894,                 1.1043,                 3.3572,                 1.0854,             0.00087914,             0.00087914,             0.00087914
                      3,                 1.2698,                 2.5589,                 1.2059,                0.46451,                0.40275,                0.42131,                 0.2874,                 1.2098,                 2.7258,                 1.2639,              0.0013204,              0.0013204,              0.0013204
                      4,                 1.2708,                 2.3774,                  1.186,                 0.2584,                 0.3375,                0.18421,                 0.1173,                 1.3532,                 3.2303,                 1.3328,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.2777,                 2.2113,                 1.2001,                0.53017,                0.54505,                0.42871,                0.27332,                 1.4486,                 2.9005,                 1.3764,               0.001634,               0.001634,               0.001634
                      6,                 1.2427,                 2.0087,                 1.1619,                0.39547,                0.34167,                0.27472,                0.13241,                 2.0385,                 3.1769,                 1.9993,              0.0016257,              0.0016257,              0.0016257
                      7,                  1.245,                 1.9249,                  1.178,                0.45737,                0.66667,                0.48123,                0.28053,                 1.2737,                 3.7214,                 1.2218,              0.0016175,              0.0016175,              0.0016175
