                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8473,                 4.6848,                 1.5505,                0.00215,                0.60833,                0.01926,                0.01157,                 1.0922,                 4.4361,                  1.245,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.4725,                 3.7543,                 1.2678,                0.00131,                0.37917,                0.14536,                0.08495,                0.99547,                 4.0731,                 1.0454,             0.00044786,             0.00044786,             0.00044786
                      3,                 1.4325,                 3.0579,                 1.2333,                0.00082,                 0.2375,                0.09969,                0.05424,                 1.0848,                 4.2002,                 1.1057,              0.0006767,              0.0006767,              0.0006767
                      4,                 1.3466,                 2.6461,                 1.1916,                0.71139,                0.04167,                0.27529,                0.17954,                 1.1003,                 3.5573,                 1.0589,             0.00090323,             0.00090323,             0.00090323
                      5,                 1.3336,                 2.7694,                 1.2396,                0.00274,                0.77083,                0.23807,                0.15674,                 1.1422,                 3.4895,                 1.1798,              0.0011275,              0.0011275,              0.0011275
                      6,                 1.2758,                 2.3923,                 1.1861,                0.47008,                 0.2977,                0.45153,                0.32203,                  1.167,                 2.8371,                 1.1978,              0.0013494,              0.0013494,              0.0013494
                      7,                 1.3956,                 2.5359,                 1.2967,                 0.4202,                0.71688,                0.45349,                0.29658,                 1.1432,                 2.2697,                 1.1489,               0.001569,               0.001569,               0.001569
                      8,                 1.3048,                  2.334,                 1.2061,                0.44892,                0.32652,                0.33232,                0.18913,                 1.4962,                 3.1052,                 1.4323,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.2909,                 2.1883,                 1.2224,                0.44059,                0.44167,                 0.4132,                0.25722,                 1.3379,                 2.8586,                  1.253,               0.001601,               0.001601,               0.001601
                     10,                 1.2759,                 2.1341,                 1.2282,                0.44265,                0.67277,                0.45932,                0.27234,                 1.3021,                 2.1682,                 1.2061,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.2831,                 2.1351,                 1.2524,                0.47022,                0.55417,                0.46245,                 0.3182,                 1.1487,                  2.807,                 1.1669,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.2214,                 1.9245,                 1.2016,                0.44795,                  0.725,                0.47391,                0.30845,                 1.3643,                 2.1397,                 1.2671,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.2945,                 1.8937,                 1.2549,                0.21263,                0.24793,                 0.1815,                0.10388,                 1.7028,                 3.4969,                 1.6603,               0.001568,               0.001568,               0.001568
                     14,                 1.2255,                 1.7523,                 1.1634,                0.44519,                0.71667,                0.47111,                  0.328,                 1.1641,                 2.0231,                 1.1689,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1701,                 1.7959,                 1.1653,                0.42989,                0.72917,                0.49117,                0.35521,                 1.0155,                 1.9215,                 1.0947,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.1381,                 1.6807,                 1.1158,                0.44439,                 0.6625,                0.48339,                0.35829,                 1.1286,                 1.6975,                 1.1457,              0.0015432,              0.0015432,              0.0015432
                     17,                  1.155,                 1.5486,                 1.1003,                0.48212,                0.70417,                0.51484,                 0.3455,                  1.167,                 1.4941,                 1.1463,               0.001535,               0.001535,               0.001535
                     18,                 1.1426,                 1.6121,                 1.0665,                0.49166,                0.76758,                0.49597,                0.34353,                 1.1944,                 1.6318,                  1.176,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.1556,                 1.5334,                 1.1142,                0.48739,                0.79555,                0.50699,                0.35664,                 1.0545,                 1.5387,                 1.0977,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.1356,                 1.5331,                 1.1242,                0.44944,                 0.8625,                0.51842,                0.37997,                  1.039,                 1.3617,                   1.05,              0.0015102,              0.0015102,              0.0015102
                     21,                  1.083,                 1.5144,                 1.1056,                0.43019,                 0.7875,                0.52002,                0.37269,                 1.1035,                 1.3587,                 1.0764,               0.001502,               0.001502,               0.001502
                     22,                 1.0247,                 1.4423,                 1.1009,                 0.4548,                0.72191,                0.49422,                0.31915,                 1.2335,                 1.6372,                  1.193,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.1132,                 1.5306,                 1.1629,                0.45779,                0.69773,                0.46361,                0.34879,                 1.0808,                 1.7512,                 1.1094,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.0854,                 1.3879,                 1.1223,                0.47079,                0.77083,                0.45944,                0.33537,                 1.1355,                 1.5852,                 1.1145,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.1133,                 1.3974,                 1.0957,                0.48375,                0.77083,                0.49596,                0.33728,                 1.1115,                 1.4973,                 1.1229,               0.001469,               0.001469,               0.001469
                     26,                 1.0003,                 1.3897,                 1.0746,                0.47874,                0.74516,                0.51522,                0.36815,                 1.1103,                 1.3087,                  1.121,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.0451,                 1.3573,                  1.075,                0.47571,                0.77742,                0.52664,                0.37013,                 1.1105,                 1.2507,                 1.1291,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.1035,                 1.3456,                 1.0848,                0.44813,                0.84167,                  0.519,                0.36204,                 1.0662,                 1.2777,                 1.0748,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.1296,                 1.3466,                 1.0886,                0.46532,                0.82083,                 0.4915,                0.35844,                 1.0417,                 1.2754,                 1.0541,               0.001436,               0.001436,               0.001436
                     30,                0.97989,                 1.2934,                 1.0419,                0.44776,                0.73866,                0.49289,                0.36953,                0.95546,                 1.2421,                 1.0264,              0.0014277,              0.0014277,              0.0014277
